council_key,year_start,source_council,panel_council,raw_operating_ratio,normalized_operating_ratio,panel_operating_ratio,difference_pp,source_url,sheet,excel_cell
brokenhill,2020,Broken Hill ,Broken Hill,-3.62,-3.62,-3.62,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA20
brokenhill,2021,Broken Hill ,Broken Hill,1.77,1.77,1.77,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA20
brokenhill,2022,Broken Hill ,Broken Hill,10.72,10.72,10.72,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA20
burwood,2021,Burwood,Burwood,-7.22,-7.22,-7.22,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA21
burwood,2022,Burwood,Burwood,-4.26,-4.26,-4.26,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA21
burwood,2023,Burwood,Burwood,0.0291,2.91,2.91,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA21
byron,2020,Byron ,Byron,-7.15,-7.15,-7.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA22
byron,2021,Byron ,Byron,-5.41,-5.41,-5.41,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA22
byron,2022,Byron ,Byron,4.37,4.37,4.37,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA22
cabonne,2020,Cabonne,Cabonne,-18.0,-18.0,-18.0,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA23
cabonne,2021,Cabonne,Cabonne,-10.44,-10.44,-10.44,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA23
cabonne,2022,Cabonne,Cabonne,-4.54,-4.54,-4.54,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA23
cabonne,2023,Cabonne,Cabonne,-0.23550000000000001,-23.55,-23.55,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA23
camden,2020,Camden,Camden,-25.33,-25.33,-25.33,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA24
camden,2021,Camden,Camden,-9.66,-9.66,-9.66,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA24
camden,2022,Camden,Camden,-7.63,-7.63,-7.63,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA24
carrathool,2019,Carrathool ,Carrathool,13.52,13.52,13.52,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA28
carrathool,2020,Carrathool ,Carrathool,-5.84,-5.84,-5.84,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA28
carrathool,2021,Carrathool ,Carrathool,23.98,23.98,23.98,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA28
carrathool,2022,Carrathool ,Carrathool,26.35,26.35,26.35,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA28
centralcoast,2019,Central Coast,Central Coast,-15.9,-15.9,-15.9,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA29
centralcoast,2020,Central Coast,Central Coast,-10.26,-10.26,-10.26,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA29
centralcoast,2021,Central Coast,Central Coast,7.73,7.73,7.73,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA29
centralcoast,2022,Central Coast,Central Coast,6.19,6.19,6.19,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA29
centraldarling,2020,Central Darling ,Central Darling,-0.4,-0.4,-0.4,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA30
centraldarling,2021,Central Darling ,Central Darling,7.01,7.01,7.01,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA30
centraldarling,2022,Central Darling ,Central Darling,15.4,15.4,15.4,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA30
cessnock,2020,Cessnock ,Cessnock,-5.19,-5.19,-5.19,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA31
cessnock,2021,Cessnock ,Cessnock,3.42,3.42,3.42,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA31
cessnock,2022,Cessnock ,Cessnock,-18.55,-18.55,-18.55,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA31
clarencevalley,2021,Clarence Valley,Clarence Valley,0.15,0.15,0.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA32
clarencevalley,2022,Clarence Valley,Clarence Valley,-5.64,-5.64,-5.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA32
clarencevalley,2023,Clarence Valley,Clarence Valley,-0.1213,-12.13,-12.13,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA32
coonamble,2019,Coonamble ,Coonamble,-12.2,-12.2,-12.2,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA36
coonamble,2020,Coonamble ,Coonamble,7.5,7.5,7.5,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA36
coonamble,2021,Coonamble ,Coonamble,13.33,13.33,13.33,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA36
cootamundragundagai,2019,Cootamundra-Gundagai Regional,Cootamundra-Gundagai Regional,-19.5,-19.5,-19.5,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA37
cootamundragundagai,2020,Cootamundra-Gundagai Regional,Cootamundra-Gundagai Regional,-15.31,-15.31,-15.31,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA37
cootamundragundagai,2021,Cootamundra-Gundagai Regional,Cootamundra-Gundagai Regional,-4.98,-4.98,-4.98,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA37
dungog,2019,Dungog ,Dungog,-13.55,-13.55,-13.55,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA41
dungog,2020,Dungog ,Dungog,-13.91,-13.91,-13.91,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA41
dungog,2021,Dungog ,Dungog,-23.44,-23.44,-23.44,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA41
dungog,2022,Dungog ,Dungog,-25.16,-25.16,-25.16,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA41
edwardriver,2021,Edward River,Edward River,10.97,10.97,10.97,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA42
edwardriver,2022,Edward River,Edward River,2.76,2.76,2.76,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA42
edwardriver,2023,Edward River,Edward River,0.2768,27.68,27.68,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA42
federation,2019,Federation,Federation,-10.35,-10.35,-10.35,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA45
federation,2020,Federation,Federation,-6.35,-6.35,-6.35,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA45
federation,2021,Federation,Federation,-0.03,-0.03,-0.03,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA45
federation,2022,Federation,Federation,-3.98,-3.98,-3.98,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA45
federation,2023,Federation,Federation,0.16449999999999998,16.45,16.45,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA45
forbes,2020,Forbes ,Forbes,-13.87,-13.87,-13.87,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA46
forbes,2021,Forbes ,Forbes,-9.85,-9.85,-9.85,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA46
forbes,2022,Forbes ,Forbes,-1.73,-1.73,-1.73,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA46
georgesriver,2020,Georges River,Georges River,-3.75,-3.75,-3.75,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA47
georgesriver,2021,Georges River,Georges River,-1.8,-1.8,-1.8,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA47
georgesriver,2022,Georges River,Georges River,7.6,7.6,7.6,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA47
gleninnessevern,2021,Glen Innes Severn,Glen Innes Severn,1.23,1.23,1.23,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA49
gleninnessevern,2022,Glen Innes Severn,Glen Innes Severn,,,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA49
gleninnessevern,2023,Glen Innes Severn,Glen Innes Severn,-0.1116,-11.16,-11.16,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA49
goulburnmulwaree,2021,Goulburn Mulwaree,Goulburn Mulwaree,6.16,6.16,6.16,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA50
goulburnmulwaree,2022,Goulburn Mulwaree,Goulburn Mulwaree,1.17,1.17,1.17,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA50
goulburnmulwaree,2023,Goulburn Mulwaree,Goulburn Mulwaree,-0.0449,-4.49,-4.49,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA50
greaterhume,2019,Greater Hume ,Greater Hume,-10.51,-10.51,-10.51,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA51
greaterhume,2020,Greater Hume ,Greater Hume,0.04,0.04,0.04,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA51
greaterhume,2021,Greater Hume ,Greater Hume,-0.41,-0.41,-0.41,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA51
gwydir,2019,Gwydir ,Gwydir,-4.11,-4.11,-4.11,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA54
gwydir,2020,Gwydir ,Gwydir,-3.67,-3.67,-3.67,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA54
gwydir,2021,Gwydir ,Gwydir,-15.15,-15.15,-15.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA54
gwydir,2022,Gwydir ,Gwydir,-7.48,-7.48,-7.48,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA54
gwydir,2023,Gwydir ,Gwydir,-0.0091,-0.91,-0.91,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA54
hawkesbury,2020,Hawkesbury ,Hawkesbury,-5.13,-5.13,-5.13,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA55
hawkesbury,2021,Hawkesbury ,Hawkesbury,10.52,10.52,10.52,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA55
hawkesbury,2022,Hawkesbury ,Hawkesbury,14.06,14.06,14.06,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA55
hay,2019,Hay ,Hay,-7.92,-7.92,-7.92,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA56
hay,2020,Hay ,Hay,-0.16,-0.16,-0.16,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA56
hay,2021,Hay ,Hay,12.89,12.89,12.89,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA56
hilltops,2019,Hilltops,Hilltops,-21.4,-21.4,-21.4,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA58
hilltops,2020,Hilltops,Hilltops,-9.12,-9.12,-9.12,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA58
hilltops,2021,Hilltops,Hilltops,5.24,5.24,5.24,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA58
hilltops,2022,Hilltops,Hilltops,-7.28,-7.28,-7.28,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA57
hilltops,2023,Hilltops,Hilltops,-0.0942,-9.42,-9.42,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA57
huntershill,2019,Hunters Hill ,Hunters Hill,3.42,3.42,3.42,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA60
huntershill,2020,Hunters Hill ,Hunters Hill,-12.43,-12.43,-12.43,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA60
huntershill,2021,Hunters Hill ,Hunters Hill,-12.99,-12.99,-12.99,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA60
junee,2020,Junee ,Junee,-3.33,-3.33,-3.33,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA63
junee,2021,Junee ,Junee,9.3,9.3,9.3,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA63
junee,2022,Junee ,Junee,11.0,11.0,11.0,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA62
kyogle,2019,Kyogle,Kyogle,11.88,11.88,11.88,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA67
kyogle,2020,Kyogle,Kyogle,7.05,7.05,7.05,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA67
kyogle,2021,Kyogle,Kyogle,28.9,28.9,28.9,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA67
kyogle,2022,Kyogle,Kyogle,14.26,14.26,14.26,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA66
kyogle,2023,Kyogle,Kyogle,0.1499,14.99,14.99,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA66
leeton,2020,Leeton ,Leeton,-13.88,-13.88,-13.88,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA71
leeton,2021,Leeton ,Leeton,0.12,0.12,0.12,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA71
leeton,2022,Leeton ,Leeton,3.82,3.82,3.82,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA70
lithgow,2020,Lithgow ,Lithgow,-2.19,-2.19,-2.19,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA73
lithgow,2021,Lithgow ,Lithgow,4.91,4.91,4.91,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA73
lithgow,2022,Lithgow ,Lithgow,20.89,20.89,20.89,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA72
liverpoolplains,2019,Liverpool Plains ,Liverpool Plains,-35.28,-35.28,-35.28,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA75
liverpoolplains,2020,Liverpool Plains ,Liverpool Plains,-33.87,-33.87,-33.87,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA75
liverpoolplains,2021,Liverpool Plains ,Liverpool Plains,-19.42,-19.42,-19.42,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA75
liverpoolplains,2022,Liverpool Plains ,Liverpool Plains,-4.24,-4.24,-4.24,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA74
liverpoolplains,2023,Liverpool Plains ,Liverpool Plains,-0.0801,-8.01,-8.01,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA74
lockhart,2021,Lockhart ,Lockhart,2.64,2.64,2.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA76
lockhart,2022,Lockhart ,Lockhart,11.7,11.7,11.7,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA75
lockhart,2023,Lockhart ,Lockhart,-0.1697,-16.97,-16.97,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA75
maitland,2021,Maitland ,Maitland,3.2,3.2,3.2,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA77
maitland,2022,Maitland ,Maitland,-2.37,-2.37,-2.37,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA76
maitland,2023,Maitland ,Maitland,-0.1492,-14.92,-14.92,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA76
moreeplains,2021,Moree Plains ,Moree Plains,-6.37,-6.37,-6.37,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA80
moreeplains,2022,Moree Plains ,Moree Plains,2.32,2.32,2.32,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA79
moreeplains,2023,Moree Plains ,Moree Plains,0.059500000000000004,5.95,5.95,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA79
murrayriver,2019,Murray River,Murray River,-14.23,-14.23,-14.23,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA82
murrayriver,2020,Murray River,Murray River,-11.51,-11.51,-11.51,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA82
murrayriver,2021,Murray River,Murray River,-31.18,-31.18,-31.18,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA82
murrayriver,2022,Murray River,Murray River,-25.9,-25.9,-25.9,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA81
murrayriver,2023,Murray River,Murray River,-0.0707,-7.07,-7.07,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA81
murrumbidgee,2019,Murrumbidgee,Murrumbidgee,-9.13,-9.13,-9.13,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA83
murrumbidgee,2020,Murrumbidgee,Murrumbidgee,-10.86,-10.86,-10.86,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA83
