case_id,council_key,year_start,period,mapped_burn_ha,mapped_burn_status,physical_flood_status,bushfire_declarations,flood_declarations,all_declarations,bushfire_agrns,flood_agrns,declaration_status,panel_direct_damage_flag,panel_damage_evidence_ids,verified_damage_amount_aud,verified_reconstruction_amount_aud,operating_disaster_grant_aud,capital_disaster_grant_aud,counter_disaster_reactive_maintenance_aud,financial_evidence,source_urls,payment_timing_caveat
hilltops_2021,hilltops,2020,exposure,160.16,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,1,2,,923,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hilltops_2021,hilltops,2021,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1001,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
coonamble_2021,coonamble,2019,prior,759.0999999999998,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,898|918,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
coonamble_2021,coonamble,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
coonamble_2021,coonamble,2021,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,987,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2023,murrayriver,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,FY2022–23 notes document $3.992m counter-disaster/reactive maintenance expenditure; $2m flood assistance under capital grants; additional operating road funding and $3m extra FAG advance. Recovery applications were not yet accepted: do not label expected reimbursement as cash received.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/ipampr-docs-and-budgets/mrc-annual_financial_statements-2023-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2023,murrayriver,2022,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,2000000.0,3992000.0,FY2022–23 notes document $3.992m counter-disaster/reactive maintenance expenditure; $2m flood assistance under capital grants; additional operating road funding and $3m extra FAG advance. Recovery applications were not yet accepted: do not label expected reimbursement as cash received.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/ipampr-docs-and-budgets/mrc-annual_financial_statements-2023-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2023,murrayriver,2023,target,189.6,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,FY2022–23 notes document $3.992m counter-disaster/reactive maintenance expenditure; $2m flood assistance under capital grants; additional operating road funding and $3m extra FAG advance. Recovery applications were not yet accepted: do not label expected reimbursement as cash received.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/ipampr-docs-and-budgets/mrc-annual_financial_statements-2023-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
centralcoast_2021,centralcoast,2019,prior,23969.42,mapped_burn_positive,unknown_no_complete_inundation_inventory,1,1,2,871,898,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
centralcoast_2021,centralcoast,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,3,3,,922|936|960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
centralcoast_2021,centralcoast,2021,target,43.55,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lithgow_2022,lithgow,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lithgow_2022,lithgow,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,3,4,,987|1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lithgow_2022,lithgow,2022,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brokenhill_2021,brokenhill,2019,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brokenhill_2021,brokenhill,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brokenhill_2021,brokenhill,2021,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1014,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brewarrina_2021,brewarrina,2019,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,916,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brewarrina_2021,brewarrina,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,2,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
brewarrina_2021,brewarrina,2021,target,23.83,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,987|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hay_2021,hay,2019,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.hay.nsw.gov.au/LinkClick.aspx?fileticket=H1oYw0BKpL8%3D&portalid=0,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hay_2021,hay,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.hay.nsw.gov.au/LinkClick.aspx?fileticket=H1oYw0BKpL8%3D&portalid=0,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hay_2021,hay,2021,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1001,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.hay.nsw.gov.au/LinkClick.aspx?fileticket=H1oYw0BKpL8%3D&portalid=0,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
wollongong_2023,wollongong,2021,prior,32.03,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.wollongong.nsw.gov.au/__data/assets/pdf_file/0032/258836/Annual-Financial-Statements-for-the-year-ended-30-June-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
wollongong_2023,wollongong,2022,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1049,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.wollongong.nsw.gov.au/__data/assets/pdf_file/0032/258836/Annual-Financial-Statements-for-the-year-ended-30-June-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
wollongong_2023,wollongong,2023,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1119|1129,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence.,https://www.wollongong.nsw.gov.au/__data/assets/pdf_file/0032/258836/Annual-Financial-Statements-for-the-year-ended-30-June-2024.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
shellharbour_2023,shellharbour,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
shellharbour_2023,shellharbour,2022,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
shellharbour_2023,shellharbour,2023,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1119|1129,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lockhart_2023,lockhart,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1001,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lockhart_2023,lockhart,2022,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
lockhart_2023,lockhart,2023,target,78.32,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hawkesbury_2022,hawkesbury,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hawkesbury_2022,hawkesbury,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hawkesbury_2022,hawkesbury,2022,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
walgett_2022,walgett,2020,prior,195.24,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
walgett_2022,walgett,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
walgett_2022,walgett,2022,target,2722.95,mapped_burn_positive,unknown_no_complete_inundation_inventory,1,1,2,1052,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
woollahra_2022,woollahra,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
woollahra_2022,woollahra,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
woollahra_2022,woollahra,2022,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
maitland_2023,maitland,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
maitland_2023,maitland,2022,exposure,1.84,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
maitland_2023,maitland,2023,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,1,1,2,1090,1119,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
warrumbungle_2022,warrumbungle,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
warrumbungle_2022,warrumbungle,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,987,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
warrumbungle_2022,warrumbungle,2022,target,1234.69,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1030|1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
leeton_2022,leeton,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
leeton_2022,leeton,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1001,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
leeton_2022,leeton,2022,target,78.98,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1030|1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
camden_2022,camden,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
camden_2022,camden,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,1012|1025,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
camden_2022,camden,2022,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
tenterfield_2023,tenterfield,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1012,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
tenterfield_2023,tenterfield,2022,exposure,2693.01,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
tenterfield_2023,tenterfield,2023,target,44346.0,mapped_burn_positive,unknown_no_complete_inundation_inventory,2,0,2,1075|1114,,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
kyogle_2021,kyogle,2019,prior,21151.76,mapped_burn_positive,unknown_no_complete_inundation_inventory,2,1,3,871|880,898,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
kyogle_2021,kyogle,2020,exposure,510.91,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,3,3,,943|954|960,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
kyogle_2021,kyogle,2021,target,149.48,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,987|1012,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2021,murrayriver,2019,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary disaster-finance attribution established within this case period. Later 2022 floods must not explain an outcome ending June 2022.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/financial-statements/mrc-2021-2022-annual-financial-statements.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2021,murrayriver,2020,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary disaster-finance attribution established within this case period. Later 2022 floods must not explain an outcome ending June 2022.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/financial-statements/mrc-2021-2022-annual-financial-statements.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
murrayriver_2021,murrayriver,2021,target,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary disaster-finance attribution established within this case period. Later 2022 floods must not explain an outcome ending June 2022.,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/financial-statements/mrc-2021-2022-annual-financial-statements.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
edwardriver_2023,edwardriver,2021,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,1001,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
edwardriver_2023,edwardriver,2022,exposure,364.57,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,1,1,,1034,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
edwardriver_2023,edwardriver,2023,target,499.16,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,1,1,,1086,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
federation_2023,federation,2021,prior,133.36,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,987|1001,listed_event_onset,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
