source_id,url,accessed_at,http_status,local_file,sha256,title,preview,document_version_date,date_type,first_publication_date,date_caveat,local_access_status,review_channel
qra_3,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2023-tropical-cyclone-jasper-exceptional-circumstances-package,2026-09-19T02:44:59.862543+00:00,200,sources/qra_3.html,8645e6ff6181e740d9a9b68afea8f9d1b058c1ca2c0a8e80563601d5e18b34e7,2023 Tropical Cyclone Jasper - exceptional circumstances package | Queensland Reconstruction Authority,2023 Tropical Cyclone Jasper - exceptional circumstances package | Queensland Reconstruction Authority Skip to main cont,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_4,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2023-southern-queensland-bushfires-exceptional-circumstances-package,2026-09-19T02:44:59.864978+00:00,200,sources/qra_4.html,e648d89fffd67d2682ed69eb74c546483916b532f785e167496baa0d48a4c142,2023 Southern Queensland Bushfires - exceptional circumstances package | Queensland Reconstruction Authority,2023 Southern Queensland Bushfires - exceptional circumstances package | Queensland Reconstruction Authority Skip to mai,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_5,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package,2026-09-19T02:44:59.862228+00:00,200,sources/qra_5.html,63045a44af3f88b9d48f8d4b5c19da4fe9514a2c78210a0855842f9df1751be9,2022-23 Monsoon and Flooding - exceptional circumstances package | Queensland Reconstruction Authority,2022-23 Monsoon and Flooding - exceptional circumstances package | Queensland Reconstruction Authority Skip to main cont,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_6,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2021-22-queensland-rainfall-and-flooding-exceptional-circumstances-package,2026-09-19T02:44:59.885773+00:00,200,sources/qra_6.html,ccc2f2994b20ed5a3a4c8252ad9dbaad65a0977cb55e12a163eb766f610cb857,2021-22 Queensland Rainfall and Flooding - exceptional circumstances package | Queensland Reconstruction Authority,2021-22 Queensland Rainfall and Flooding - exceptional circumstances package | Queensland Reconstruction Authority Skip ,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_7,https://www.qra.qld.gov.au/recovery/recovery-operations/2025-26,2026-09-19T02:45:00.125420+00:00,200,sources/qra_7.html,693d9cacd94d6e49f5ddf59fc487814b5e598dcbd3d79d699bf385140f85faff,"2025-26 North Queensland Monsoon Trough, Associated TC Koji and Severe Weather - recovery operation | Queensland Reconstruction Authority","2025-26 North Queensland Monsoon Trough, Associated TC Koji and Severe Weather - recovery operation | Queensland Reconst",,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
datastore_schema,https://data.gov.au/data/api/3/action/datastore_search?resource_id=ada7908b-afe6-48f3-966b-789aa26c1391&limit=0,2026-09-19T02:45:01.244291+00:00,200,sources/datastore_schema.json,73704847f255c1208c4e7a4ed0228118f677a25b3b898ac2f7e6f4ac942c8608,datastore_schema,,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
official_csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv,2026-09-19T02:45:00.849742+00:00,200,sources/official_csv.csv,6b2bebc520bb32741bc44c296c28f9830b1deacfa1e6b71bedb1ab41c2a88201,official_csv,"Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDR",2026-08-11T01:47:19.980280,publisher resource last modified,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
drfa2018,https://www.nema.gov.au/sites/default/files/2024-08/disaster-recovery-funding-arrangements-2018.pdf,2026-09-19T02:45:01.193977+00:00,200,sources/drfa2018.pdf,4ca9db97fd771de7552bf9e880bbba7a36831d8e173bd6fe1539cb0a1f17c257,drfa2018," 
 
1 
 
DISASTER RECOVERY FUNDING 
ARRANGEMENTS 2018 
  
 
  
  
2 
 
Table of Contents 
1. Definitions and Interpretat",,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qld1046_pp,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/extraordinary-recovery-grants-primary-producers,2026-09-19T02:45:00.315421+00:00,200,sources/qld1046_pp.html,02636097e82291574bfe25d1a75cc8130d3189da936ca8ba7fbedd2a7affa746,Extraordinary Recovery Grants for Primary Producers | Queensland Reconstruction Authority,Extraordinary Recovery Grants for Primary Producers | Queensland Reconstruction Authority Skip to main content Queenslan,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
vic1037,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/Victoria/victoria-floods-06102022.aspx,2026-09-19T02:45:01.531218+00:00,200,sources/vic1037.html,15429ea128689bb7776fc076fa90190c822107a2afe26c918e5e4e6a28609e73,"
	
  Victorian floods: 6 October 2022 - 13 January 2023

",Victorian floods: 6 October 2022 - 13 January 2023 Skip to navigation Skip to main content Loading Menu  Menu Home Affa,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
tas1038,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/Tasmania/tasmanian-severe-weather-oct-2022-onwards.aspx,2026-09-19T02:45:01.356913+00:00,200,sources/tas1038.html,773578f62bf1e5ba02944cbfdbad0f838cf3d79acc624803c863a5fe93f460f3,"
	
  Tasmanian severe weather: 13 October 2022 onwards

",Tasmanian severe weather: 13 October 2022 onwards Skip to navigation Skip to main content Loading Menu  Menu Home Affai,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qld1046,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/Queensland/northern-queensland-monsoon-flooding-20-dec-2022.aspx,2026-09-19T02:45:02.167947+00:00,200,sources/qld1046.html,feecc68cb2dfad034422675cb4dc7ead780578033e990b34d9b09c9458865f7b,"
	
  Northern and Central Queensland monsoon and flooding: 20 December 2022 - 30 April 2023

",Northern and Central Queensland monsoon and flooding: 20 December 2022 - 30 April 2023 Skip to navigation Skip to main c,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_activations,https://www.qra.qld.gov.au/disaster-funding-activations/activations,2026-09-19T02:45:36.437178+00:00,200,sources/qra_activations.html,683f035a03a1fd576a708614e3a41d00af7a003e9b744079301f796ae6bd0226,Activations | Queensland Reconstruction Authority,Activations | Queensland Reconstruction Authority Skip to main content Queensland Reconstruction Authority Main navigati,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
raa_declarations,https://www.raa.nsw.gov.au/disaster-assistance/declarations,2026-09-19T02:45:36.296414+00:00,403,sources/raa_declarations.html,a1c7bcc5282bdf1257daef42645ca52f5402a30caeb537716072b664a92bee41,Just a moment...,Just a moment... Enable JavaScript and cookies to continue,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",blocked_or_missing_content,official web indexed text reviewed; local copy blocked/missing
tas1038_pp,https://alert.tas.gov.au/recovery/financial-support-small-business-primary-producer,2026-09-19T02:45:36.442726+00:00,200,sources/tas1038_pp.html,c7d60fd430cd2957f2eed366c042dda682282fa24a3d4ab4fc5e6e6c0d33a182,Financial support for primary producers - TasALERT,Financial support for primary producers - TasALERT Skip to content Get Ready Alerts Recovery Recovery In an emergency ca,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
vic1037_business,https://business.vic.gov.au/grants-and-programs/business-and-community-sport-flood-recovery-grants/frequently-asked-questions,2026-09-19T02:45:36.304003+00:00,403,sources/vic1037_business.html,2ff1b8265ceec285b59cfa10a36d66b83c989260cb0905e6056e678c757c3251,Just a moment...,Just a moment... Enable JavaScript and cookies to continue,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",blocked_or_missing_content,official web indexed text reviewed; local copy blocked/missing
vic1037_councils,https://www.localgovernment.vic.gov.au/resilience-and-emergency-management/emergency-recovery-funding-programs,2026-09-19T02:45:36.299048+00:00,403,sources/vic1037_councils.html,93741c0e03a689a1b8ec2d5447fc08fed42925b75d108cbd09a39cf63757af68,Just a moment...,Just a moment... Enable JavaScript and cookies to continue,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",blocked_or_missing_content,cached official document
wa950,https://dfes.wa.gov.au/annualreport2021/wooroloo-bushfire/,2026-09-19T02:45:37.177251+00:00,200,sources/wa950.html,56b86d492e1dba68bb64cb8832e0d1ac0582a12b96fc73c91e7593ac5c87006b,Wooroloo Bushfire | 2020/21 Annual Report,Wooroloo Bushfire | 2020/21 Annual Report Skip to main content Contact Us Alerts & Warnings Accessibility Contact Us 000,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
tas1144,https://nre.tas.gov.au/agriculture/government-and-community-programs/primary-producer-storm-recovery-2024,2026-09-19T02:45:36.560393+00:00,404,sources/tas1144.html,acb38606a9475fdd67024f4f4e4990f5d49824a5ee4742f88fa223fe4a01dfe4,tas1144,File Not Found,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",failed_http,official web indexed text reviewed; local copy blocked/missing
nt1269_letter,https://www.katherine.nt.gov.au/council-meetings/ordinary-council-meetings/ordinary-meeting-of-council-26-may-2026/239/documents/agenda-ordinary-meeting-of-council-26-may-2026.pdf,2026-09-19T02:45:40.338935+00:00,200,sources/nt1269_letter.pdf,64daaa94ed57dfa45c699cf8643ed7b0085b89d271a606dceee4d6189795332f,nt1269_letter," 
 
 
 
 
  
 
 
 
 
AGENDA 
 
 Ordinary Meeting of Council  
 To be held on Tuesday 26 May 2026  
 At 6:00 pm  
 Top Di",,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1243,https://www.qra.qld.gov.au/sites/default/files/2026-07/V61_Activation_Summary_Queensland_Monsoon_Trough_Cyclone_Koji_Cyclone_Narelle_and_Severe_Weather_24_December_2025_to_24_April_2026.pdf,2026-09-19T02:46:34.300688+00:00,200,sources/activation_1243.pdf,eea1176dda7b50ba35eca3763911dbffc52206ba01d86e9e45918db8ea5d586c,activation_1243,"     
  
Further information: 
Ph: 1800 110 841 
Version 61                  Email: info@qra.qld.gov.au  
Current as at ",2026-07-09,v61 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1202,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,2026-09-19T02:46:17.610642+00:00,200,sources/activation_1202.pdf,067374d5fea4c5eeafe574edd11462917c615e841f78e1e691434699634f0cc6,activation_1202,"    
   
Further information: 
Ph: 1800 110 841 
Version 24                  Email: info@qra.qld.gov.au  
Current as at ",2025-07-23,v24 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1195,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,2026-09-19T02:46:23.839683+00:00,200,sources/activation_1195.pdf,29ce895cc41952413dc57d7986b2af4dd8957edb6580886b6d26a3a08586db19,activation_1195,"Further information: 
Ph: 1800 110 841 
Version 16 Email: info@qra.qld.gov.au 
Current as at 2 July 2025    Website:  ww",2025-07-02,v16 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1174,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,2026-09-19T02:46:32.747873+00:00,200,sources/activation_1174.pdf,1bed597bf39ae429cdb2ce02aa52f47087f528222abbcff056438b27e328b111,activation_1174,"    
   
Further information: 
Ph: 1800 110 841 
Version 22                  Email: info@qra.qld.gov.au  
Current as at ",2025-07-23,v22 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1088,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,2026-09-19T02:46:28.802675+00:00,200,sources/activation_1088.pdf,892371b218e22fe8e57f96efc860e7bcff02672d8c867866efa63c7b82546135,activation_1088," 
 
Further information 
Tel: (07) 3740 1700 
info@qra.qld.gov.au 
www.qra.qld.gov.au 
Version 18 
Current as at 16 Janu",2025-01-16,v18 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1078,https://www.qra.qld.gov.au/sites/default/files/2024-05/Version_8_Activation_Summary_Southern_Queensland_fires_8_September_to_7_November_2023.pdf,2026-09-19T02:46:14.502279+00:00,200,sources/activation_1078.pdf,7aa5651ec01e56339551e2e39a93dd5000a1a4c6c48eba903c3f46e68d5e2063,activation_1078," 
 
Further information 
Tel: (07) 3740 1700 
info@qra.qld.gov.au 
www.qra.qld.gov.au 
Version 8 
Current as at 3 May 20",2024-05-03,v8 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
activation_1046,https://www.qra.qld.gov.au/sites/default/files/2024-01/v16_activation_summary_northern_and_central_queensland_monsoon_and_flooding_20_december_2022_-_30_april_2023.pdf,2026-09-19T02:46:30.782774+00:00,200,sources/activation_1046.pdf,1ca68ae3b7ddd42e8c21f9d96ee1376b5649f2c163c52fae38acee1a917dbc24,activation_1046," 
                                                                                                                      ",2024-01-17,v16 as-of date,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
1046_tourism,https://www.qra.qld.gov.au/tourism-recovery-and-resilience-program-115-million,2026-09-19T02:47:44.704573+00:00,200,sources/1046_tourism.html,2fceffc9df8319aed0b76bf19e11ce88df0d351201a1151b97b0ad1ab39fd1a0,Tourism Recovery and Resilience Program - $1.15 million | Queensland Reconstruction Authority,Tourism Recovery and Resilience Program - $1.15 million | Queensland Reconstruction Authority Skip to main content Queen,2024-12-03,page last updated,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
1046_mental,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,2026-09-19T02:47:44.906680+00:00,200,sources/1046_mental.html,535ff50825f94f485f152ecdd317565159a64a87e4bc5d0ef0aa3f4e23e8808c,Community Mental Health Package - $1 million | Queensland Reconstruction Authority,Community Mental Health Package - $1 million | Queensland Reconstruction Authority Skip to main content Queensland Recon,2024-12-16,page last updated,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
1046_officers,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-recovery-and-resilience-officers,2026-09-19T02:47:44.704623+00:00,200,sources/1046_officers.html,8c1dafd1a842fbd36d994b6b5c19d3ab2add8534df37aa95332996680fb5130f,Community Recovery and Resilience Officers | Queensland Reconstruction Authority,Community Recovery and Resilience Officers | Queensland Reconstruction Authority Skip to main content Queensland Reconst,2026-05-25,page last updated,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
sa984,https://business.sa.gov.au/news/storm-recovery-grants-available,2026-09-19T02:47:44.733808+00:00,200,sources/sa984.html,ca418b1c58c20051e2b2465578441ab551276599856fbcded8564a7c45ad8a88,Small and Family Business | Storm recovery grants available,Small and Family Business | Storm recovery grants available Skip navigation Toggle High Contrast Mode Accessibility Opti,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
sa1209,https://www.recovery.sa.gov.au/__data/assets/pdf_file/0007/1172752/Community-Recovery-Fund-EXTERNAL-Guidelines.pdf,2026-09-19T02:47:44.581412+00:00,403,sources/sa1209.html,3e6913d8aa84288ed708688a5777ade0c28459a07aa443b74bf625a7b3f35731,Just a moment...,Just a moment... Enable JavaScript and cookies to continue,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",blocked_or_missing_content,official web indexed text reviewed; local copy blocked/missing
wa965,https://www.dfes.wa.gov.au/annualreport2021/tropical-cyclone-seroja/,2026-09-19T02:47:44.755016+00:00,200,sources/wa965.html,a3cf67ae3f6bbb52d1ef7bee58b105f1da28ca745e0398161fc625b61432ce64,Tropical Cyclone Seroja | 2020/21 Annual Report,Tropical Cyclone Seroja | 2020/21 Annual Report Skip to main content Contact Us Alerts & Warnings Accessibility Contact ,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
wa1044,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Joint-media-statement---Recovery-grants-for-disaster-impacted-farmers-and-small-businesses-20230706,2026-09-19T02:47:45.250539+00:00,200,sources/wa1044.html,73474934a599e694db3dcb602a54e5fbc26ce2e6ae38be24eeda39a8cd77f2f0,Joint media statement - Recovery grants for disaster-impacted farmers and small businesses | Western Australian Government,Joint media statement - Recovery grants for disaster-impacted farmers and small businesses | Western Australian Governme,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
tas1227,https://alert.tas.gov.au/recovery/incidents/tasmania-bushfires-december-2025,2026-09-19T02:47:44.949665+00:00,200,sources/tas1227.html,1cabe8f80454564b3eea6a3b8b97415827b38dc75b0381ab1e1eb7bc412f8460,Tasmania Bushfires December 2025 - TasALERT,Tasmania Bushfires December 2025 - TasALERT Skip to content Get Ready Alerts Recovery Recovery In an emergency call 000 ,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
vic1166,https://business.vic.gov.au/grants-and-programs/business-bushfire-recovery-grant,2026-09-19T02:47:44.787634+00:00,403,sources/vic1166.html,db336afaf43b35fe7bfca3e7992f10c92bac783edea63e7ec65814acb922c9b8,Just a moment...,Just a moment... Enable JavaScript and cookies to continue,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",blocked_or_missing_content,official web indexed text reviewed; local copy blocked/missing
vic1242,https://www.vic.gov.au/community-recovery-grants-2026-bushfires,2026-09-19T02:47:45.803317+00:00,200,sources/vic1242.html,5538367bdc82caf099f547edd14d14b8ba79c89281a2de5a153283b6a60a6469,Community recovery grants for January 2026 bushfires | vic.gov.au,Community recovery grants for January 2026 bushfires | vic.gov.au Skip to main content Menu ⁠ Education and training ⁠ E,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
bondi1240,https://www.service.nsw.gov.au/guidelines/small-business-grant-bondi-agrn1240,2026-09-19T02:47:45.246064+00:00,200,sources/bondi1240.html,57531f856b59e38ecb1a7d9a5cf508817a77a9a4c738b20e2123bb096659c587,Small Business Support Grant Bondi Beach December 2025 – Guidelines | Service NSW,Small Business Support Grant Bondi Beach December 2025 – Guidelines | Service NSW Home Guidelines Small Business Support,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
dea_water,https://knowledge.dea.ga.gov.au/data/product/dea-water-observations-landsat/,2026-09-19T02:47:44.970954+00:00,200,sources/dea_water.html,2d725dc4d20b981deb53b7291071b6a9403577d29d5e658e86b22516105ba6dc,DEA Water Observations (Landsat) - DEA Knowledge Hub,DEA Water Observations (Landsat) - DEA Knowledge Hub Skip to main content Back to top Ctrl + K Site Navigation Data Prod,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
seifa2021,https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/socio-economic-indexes-areas-seifa-technical-paper/2021,2026-09-19T02:47:45.010441+00:00,200,sources/seifa2021.html,2a647cc9277298b4bb2d154f1431ff683668f54922528523c9de6d9974213baf,"Socio-Economic Indexes for Areas (SEIFA): Technical Paper, 2021 | Australian Bureau of Statistics","Socio-Economic Indexes for Areas (SEIFA): Technical Paper, 2021 | Australian Bureau of Statistics Australian Bureau of S",,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qdfg,https://www.qra.qld.gov.au/qdfg,2026-09-19T02:49:30.122448+00:00,200,sources/qdfg.html,25676de06ecb8b220211c9251e892d100e47810e89c2397f5af3f9da2b0c30e9,Queensland Disaster Funding Guidelines (QDFG) | Queensland Reconstruction Authority,Queensland Disaster Funding Guidelines (QDFG) | Queensland Reconstruction Authority Skip to main content Queensland Reco,2026-07-20,page last updated,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qld_drfa_start,https://www.qra.qld.gov.au/funding/drfa,2026-09-19T02:49:29.982363+00:00,200,sources/qld_drfa_start.html,5655975db75ded2894c0206236347a498d3d5dbd411d90fbede5c53a53bb0ee6,Disaster Recovery Funding Arrangements (DRFA) | Queensland Reconstruction Authority,Disaster Recovery Funding Arrangements (DRFA) | Queensland Reconstruction Authority Skip to main content Queensland Reco,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
nsw954,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/New-South-Wales/north-coast-storms-floods-19-february-2021.aspx,2026-09-19T02:49:30.251285+00:00,200,sources/nsw954.html,483311706f823657c79b51637ade6a52e8c7664ad95f0e1fc23a9df3d0a2b66b,"
	
  North Coast Storms and Floods: 19 February 2021

",North Coast Storms and Floods: 19 February 2021 Skip to navigation Skip to main content Loading Menu  Menu Home Affairs,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
nsw1212_grant,https://www.service.nsw.gov.au/guidelines/east-coast-weather-event-small-business-recovery-grant-agrn-1212,2026-09-19T02:49:30.329165+00:00,200,sources/nsw1212_grant.html,5d3a6c0cbd9db685d104577e4fb0bcc65a787171e761d1e99be828cbe1c39c60,Recovery Grant for Small Businesses and Non-Profit Organisations – East Coast Severe Weather Event (AGRN 1212) – Guidelines | Service NSW,Recovery Grant for Small Businesses and Non-Profit Organisations – East Coast Severe Weather Event (AGRN 1212) – Guideli,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
