agrn,Location_code,Location_Name,STATE,council_key,join_rule,boundary_vintage_verified
960,10180,Armidale,New South Wales,,unmatched; outside frozen 103 councils,False
1012,15050,Maitland,New South Wales,maitland,exact normalized name/key; NSW only,False
1212,15050,Maitland,New South Wales,maitland,exact normalized name/key; NSW only,False
960,15240,Mid-Coast,New South Wales,,unmatched; outside frozen 103 councils,False
1012,15240,Mid-Coast,New South Wales,,unmatched; outside frozen 103 councils,False
1198,15240,Mid-Coast,New South Wales,,unmatched; outside frozen 103 councils,False
1212,15240,Mid-Coast,New South Wales,,unmatched; outside frozen 103 councils,False
1012,15270,Mid-Western,New South Wales,midwestern,exact normalized name/key; NSW only,False
960,15300,Moree Plains,New South Wales,moreeplains,exact normalized name/key; NSW only,False
960,15650,Muswellbrook,New South Wales,muswellbrook,exact normalized name/key; NSW only,False
1012,15650,Muswellbrook,New South Wales,muswellbrook,exact normalized name/key; NSW only,False
1212,15650,Muswellbrook,New South Wales,muswellbrook,exact normalized name/key; NSW only,False
954,15700,Nambucca Valley,New South Wales,nambuccavalley,exact normalized name/key; NSW only,False
960,15700,Nambucca Valley,New South Wales,nambuccavalley,exact normalized name/key; NSW only,False
1012,15700,Nambucca Valley,New South Wales,nambuccavalley,exact normalized name/key; NSW only,False
1198,15700,Nambucca Valley,New South Wales,nambuccavalley,exact normalized name/key; NSW only,False
1212,15700,Nambucca Valley,New South Wales,nambuccavalley,exact normalized name/key; NSW only,False
960,15750,Narrabri,New South Wales,narrabri,exact normalized name/key; NSW only,False
960,15850,Narromine,New South Wales,narromine,exact normalized name/key; NSW only,False
960,15900,Newcastle,New South Wales,newcastle,exact normalized name/key; NSW only,False
1012,15900,Newcastle,New South Wales,newcastle,exact normalized name/key; NSW only,False
1212,15900,Newcastle,New South Wales,newcastle,exact normalized name/key; NSW only,False
960,15990,Northern Beaches,New South Wales,,unmatched; outside frozen 103 councils,False
1012,15990,Northern Beaches,New South Wales,,unmatched; outside frozen 103 councils,False
960,16100,Oberon,New South Wales,oberon,exact normalized name/key; NSW only,False
960,16150,Orange,New South Wales,orange,exact normalized name/key; NSW only,False
960,16260,Parramatta,New South Wales,,unmatched; outside frozen 103 councils,False
1012,16260,Parramatta,New South Wales,,unmatched; outside frozen 103 councils,False
960,16350,Penrith,New South Wales,penrith,exact normalized name/key; NSW only,False
1012,16350,Penrith,New South Wales,penrith,exact normalized name/key; NSW only,False
954,16380,Port Macquarie-Hastings,New South Wales,portmacquariehastings,exact normalized name/key; NSW only,False
960,16380,Port Macquarie-Hastings,New South Wales,portmacquariehastings,exact normalized name/key; NSW only,False
1012,16380,Port Macquarie-Hastings,New South Wales,portmacquariehastings,exact normalized name/key; NSW only,False
1198,16380,Port Macquarie-Hastings,New South Wales,portmacquariehastings,exact normalized name/key; NSW only,False
1212,16380,Port Macquarie-Hastings,New South Wales,portmacquariehastings,exact normalized name/key; NSW only,False
960,16400,Port Stephens,New South Wales,portstephens,exact normalized name/key; NSW only,False
1012,16400,Port Stephens,New South Wales,portstephens,exact normalized name/key; NSW only,False
1212,16400,Port Stephens,New South Wales,portstephens,exact normalized name/key; NSW only,False
960,16490,Queanbeyan-Palerang,New South Wales,,unmatched; outside frozen 103 councils,False
1012,16490,Queanbeyan-Palerang,New South Wales,,unmatched; outside frozen 103 councils,False
954,16610,Richmond Valley,New South Wales,richmondvalley,exact normalized name/key; NSW only,False
960,16610,Richmond Valley,New South Wales,richmondvalley,exact normalized name/key; NSW only,False
1012,16610,Richmond Valley,New South Wales,richmondvalley,exact normalized name/key; NSW only,False
1198,16610,Richmond Valley,New South Wales,richmondvalley,exact normalized name/key; NSW only,False
1012,16700,Ryde,New South Wales,ryde,exact normalized name/key; NSW only,False
1012,16900,Shellharbour,New South Wales,shellharbour,exact normalized name/key; NSW only,False
960,16950,Shoalhaven,New South Wales,shoalhaven,exact normalized name/key; NSW only,False
1012,16950,Shoalhaven,New South Wales,shoalhaven,exact normalized name/key; NSW only,False
960,17000,Singleton,New South Wales,singleton,exact normalized name/key; NSW only,False
1012,17000,Singleton,New South Wales,singleton,exact normalized name/key; NSW only,False
1212,17000,Singleton,New South Wales,singleton,exact normalized name/key; NSW only,False
960,17040,Snowy Monaro,New South Wales,,unmatched; outside frozen 103 councils,False
1012,17040,Snowy Monaro,New South Wales,,unmatched; outside frozen 103 councils,False
1012,17100,Strathfield,New South Wales,strathfield,exact normalized name/key; NSW only,False
960,17150,Sutherland,New South Wales,sutherland,exact normalized name/key; NSW only,False
1012,17150,Sutherland,New South Wales,sutherland,exact normalized name/key; NSW only,False
960,17310,Tamworth,New South Wales,tamworth,exact normalized name/key; NSW only,False
960,17350,Temora,New South Wales,temora,exact normalized name/key; NSW only,False
960,17400,Tenterfield,New South Wales,tenterfield,exact normalized name/key; NSW only,False
1012,17400,Tenterfield,New South Wales,tenterfield,exact normalized name/key; NSW only,False
1198,17400,Tenterfield,New South Wales,tenterfield,exact normalized name/key; NSW only,False
960,17420,The Hills,New South Wales,,unmatched; outside frozen 103 councils,False
1012,17420,The Hills,New South Wales,,unmatched; outside frozen 103 councils,False
960,17550,Tweed,New South Wales,tweed,exact normalized name/key; NSW only,False
1012,17550,Tweed,New South Wales,tweed,exact normalized name/key; NSW only,False
1198,17550,Tweed,New South Wales,tweed,exact normalized name/key; NSW only,False
1012,17620,Upper Hunter,New South Wales,upperhunter,exact normalized name/key; NSW only,False
1212,17620,Upper Hunter,New South Wales,upperhunter,exact normalized name/key; NSW only,False
960,17640,Upper Lachlan,New South Wales,upperlachlan,exact normalized name/key; NSW only,False
960,17650,Uralla,New South Wales,uralla,exact normalized name/key; NSW only,False
960,17850,Walcha,New South Wales,walcha,exact normalized name/key; NSW only,False
1198,17850,Walcha,New South Wales,walcha,exact normalized name/key; NSW only,False
1212,17850,Walcha,New South Wales,walcha,exact normalized name/key; NSW only,False
960,17900,Walgett,New South Wales,walgett,exact normalized name/key; NSW only,False
960,17950,Warren,New South Wales,warren,exact normalized name/key; NSW only,False
1012,18050,Waverley,New South Wales,waverley,exact normalized name/key; NSW only,False
1240,18050,Waverley,New South Wales,waverley,exact normalized name/key; NSW only,False
1012,18250,Willoughby,New South Wales,willoughby,exact normalized name/key; NSW only,False
960,18350,Wingecarribee,New South Wales,wingecarribee,exact normalized name/key; NSW only,False
1012,18350,Wingecarribee,New South Wales,wingecarribee,exact normalized name/key; NSW only,False
1212,18350,Wingecarribee,New South Wales,wingecarribee,exact normalized name/key; NSW only,False
960,18400,Wollondilly,New South Wales,wollondilly,exact normalized name/key; NSW only,False
1012,18400,Wollondilly,New South Wales,wollondilly,exact normalized name/key; NSW only,False
1212,18400,Wollondilly,New South Wales,wollondilly,exact normalized name/key; NSW only,False
1012,18450,Wollongong,New South Wales,wollongong,exact normalized name/key; NSW only,False
1198,19399,Unincorporated NSW,New South Wales,,unmatched; outside frozen 103 councils,False
1037,20110,Alpine,Victoria,,unmatched; outside frozen 103 councils,False
1242,20110,Alpine,Victoria,,unmatched; outside frozen 103 councils,False
1037,20260,Ararat,Victoria,,unmatched; outside frozen 103 councils,False
1166,20260,Ararat,Victoria,,unmatched; outside frozen 103 councils,False
1242,20260,Ararat,Victoria,,unmatched; outside frozen 103 councils,False
1037,20570,Ballarat,Victoria,,unmatched; outside frozen 103 councils,False
1037,20660,Banyule,Victoria,,unmatched; outside frozen 103 councils,False
1037,20830,Baw Baw,Victoria,,unmatched; outside frozen 103 councils,False
1037,21010,Benalla,Victoria,,unmatched; outside frozen 103 councils,False
1242,21010,Benalla,Victoria,,unmatched; outside frozen 103 councils,False
1037,21110,Boroondara,Victoria,,unmatched; outside frozen 103 councils,False
1037,21180,Brimbank,Victoria,,unmatched; outside frozen 103 councils,False
1037,21270,Buloke,Victoria,,unmatched; outside frozen 103 councils,False
1037,21370,Campaspe,Victoria,,unmatched; outside frozen 103 councils,False
1242,21370,Campaspe,Victoria,,unmatched; outside frozen 103 councils,False
1037,21450,Cardinia,Victoria,,unmatched; outside frozen 103 councils,False
1037,21610,Casey,Victoria,,unmatched; outside frozen 103 councils,False
1037,21670,Central Goldfields,Victoria,,unmatched; outside frozen 103 councils,False
1037,21750,Colac Otway,Victoria,,unmatched; outside frozen 103 councils,False
1242,21750,Colac Otway,Victoria,,unmatched; outside frozen 103 councils,False
1037,21830,Corangamite,Victoria,,unmatched; outside frozen 103 councils,False
1242,21830,Corangamite,Victoria,,unmatched; outside frozen 103 councils,False
1037,22110,East Gippsland,Victoria,,unmatched; outside frozen 103 councils,False
1242,22110,East Gippsland,Victoria,,unmatched; outside frozen 103 councils,False
1037,22250,Gannawarra,Victoria,,unmatched; outside frozen 103 councils,False
1037,22410,Glenelg,Victoria,,unmatched; outside frozen 103 councils,False
1037,22490,Golden Plains,Victoria,,unmatched; outside frozen 103 councils,False
1242,22490,Golden Plains,Victoria,,unmatched; outside frozen 103 councils,False
1037,22620,Greater Bendigo,Victoria,,unmatched; outside frozen 103 councils,False
1242,22620,Greater Bendigo,Victoria,,unmatched; outside frozen 103 councils,False
1037,22750,Greater Geelong,Victoria,,unmatched; outside frozen 103 councils,False
1037,22830,Greater Shepparton,Victoria,,unmatched; outside frozen 103 councils,False
1242,22830,Greater Shepparton,Victoria,,unmatched; outside frozen 103 councils,False
1037,22910,Hepburn,Victoria,,unmatched; outside frozen 103 councils,False
1166,22910,Hepburn,Victoria,,unmatched; outside frozen 103 councils,False
1037,22980,Hindmarsh,Victoria,,unmatched; outside frozen 103 councils,False
1166,22980,Hindmarsh,Victoria,,unmatched; outside frozen 103 councils,False
1037,23190,Horsham,Victoria,,unmatched; outside frozen 103 councils,False
1166,23190,Horsham,Victoria,,unmatched; outside frozen 103 councils,False
1242,23190,Horsham,Victoria,,unmatched; outside frozen 103 councils,False
1037,23270,Hume,Victoria,,unmatched; outside frozen 103 councils,False
1037,23350,Indigo,Victoria,,unmatched; outside frozen 103 councils,False
1037,23810,Latrobe (Vic.),Victoria,,unmatched; outside frozen 103 councils,False
1037,23940,Loddon,Victoria,,unmatched; outside frozen 103 councils,False
1037,24130,Macedon Ranges,Victoria,,unmatched; outside frozen 103 councils,False
1166,24130,Macedon Ranges,Victoria,,unmatched; outside frozen 103 councils,False
1242,24130,Macedon Ranges,Victoria,,unmatched; outside frozen 103 councils,False
1037,24210,Manningham,Victoria,,unmatched; outside frozen 103 councils,False
1037,24250,Mansfield,Victoria,,unmatched; outside frozen 103 councils,False
1242,24250,Mansfield,Victoria,,unmatched; outside frozen 103 councils,False
1037,24330,Maribyrnong,Victoria,,unmatched; outside frozen 103 councils,False
1037,24410,Maroondah,Victoria,,unmatched; outside frozen 103 councils,False
1037,24600,Melbourne,Victoria,,unmatched; outside frozen 103 councils,False
1037,24650,Melton,Victoria,,unmatched; outside frozen 103 councils,False
1037,24780,Mildura,Victoria,,unmatched; outside frozen 103 councils,False
1242,24780,Mildura,Victoria,,unmatched; outside frozen 103 councils,False
1037,24850,Mitchell,Victoria,,unmatched; outside frozen 103 councils,False
1242,24850,Mitchell,Victoria,,unmatched; outside frozen 103 councils,False
1037,24900,Moira,Victoria,,unmatched; outside frozen 103 councils,False
1242,24900,Moira,Victoria,,unmatched; outside frozen 103 councils,False
1037,25060,Moonee Valley,Victoria,,unmatched; outside frozen 103 councils,False
1037,25150,Moorabool,Victoria,,unmatched; outside frozen 103 councils,False
1037,25340,Mornington Peninsula,Victoria,,unmatched; outside frozen 103 councils,False
1037,25430,Mount Alexander,Victoria,,unmatched; outside frozen 103 councils,False
1242,25430,Mount Alexander,Victoria,,unmatched; outside frozen 103 councils,False
1037,25490,Moyne,Victoria,,unmatched; outside frozen 103 councils,False
1037,25620,Murrindindi,Victoria,,unmatched; outside frozen 103 councils,False
1242,25620,Murrindindi,Victoria,,unmatched; outside frozen 103 councils,False
1037,25710,Nillumbik,Victoria,,unmatched; outside frozen 103 councils,False
1037,25810,Northern Grampians,Victoria,,unmatched; outside frozen 103 councils,False
1166,25810,Northern Grampians,Victoria,,unmatched; outside frozen 103 councils,False
1242,25810,Northern Grampians,Victoria,,unmatched; outside frozen 103 councils,False
1037,25990,Pyrenees,Victoria,,unmatched; outside frozen 103 councils,False
1242,25990,Pyrenees,Victoria,,unmatched; outside frozen 103 councils,False
1037,26170,South Gippsland,Victoria,,unmatched; outside frozen 103 councils,False
1037,26260,Southern Grampians,Victoria,,unmatched; outside frozen 103 councils,False
1166,26260,Southern Grampians,Victoria,,unmatched; outside frozen 103 councils,False
1037,26430,Strathbogie,Victoria,,unmatched; outside frozen 103 councils,False
1242,26430,Strathbogie,Victoria,,unmatched; outside frozen 103 councils,False
1037,26490,Surf Coast,Victoria,,unmatched; outside frozen 103 councils,False
1037,26610,Swan Hill,Victoria,,unmatched; outside frozen 103 councils,False
1037,26670,Towong,Victoria,,unmatched; outside frozen 103 councils,False
1242,26670,Towong,Victoria,,unmatched; outside frozen 103 councils,False
1037,26700,Wangaratta,Victoria,,unmatched; outside frozen 103 councils,False
1037,26730,Warrnambool,Victoria,,unmatched; outside frozen 103 councils,False
1037,26810,Wellington,Victoria,,unmatched; outside frozen 103 councils,False
1242,26810,Wellington,Victoria,,unmatched; outside frozen 103 councils,False
1037,26890,West Wimmera,Victoria,,unmatched; outside frozen 103 councils,False
1166,26890,West Wimmera,Victoria,,unmatched; outside frozen 103 councils,False
1242,26890,West Wimmera,Victoria,,unmatched; outside frozen 103 councils,False
1037,27070,Whittlesea,Victoria,,unmatched; outside frozen 103 councils,False
1242,27070,Whittlesea,Victoria,,unmatched; outside frozen 103 councils,False
1037,27170,Wodonga,Victoria,,unmatched; outside frozen 103 councils,False
1242,27170,Wodonga,Victoria,,unmatched; outside frozen 103 councils,False
1037,27260,Wyndham,Victoria,,unmatched; outside frozen 103 councils,False
1037,27350,Yarra,Victoria,,unmatched; outside frozen 103 councils,False
1037,27450,Yarra Ranges,Victoria,,unmatched; outside frozen 103 councils,False
1242,27450,Yarra Ranges,Victoria,,unmatched; outside frozen 103 councils,False
1037,27630,Yarriambiack,Victoria,,unmatched; outside frozen 103 councils,False
1242,27630,Yarriambiack,Victoria,,unmatched; outside frozen 103 councils,False
1037,29399,Unincorporated Vic,Victoria,,unmatched; outside frozen 103 councils,False
1242,29399,Unincorporated Vic,Victoria,,unmatched; outside frozen 103 councils,False
1046,30250,Aurukun,Queensland,,unmatched; outside frozen 103 councils,False
1088,30250,Aurukun,Queensland,,unmatched; outside frozen 103 councils,False
1174,30250,Aurukun,Queensland,,unmatched; outside frozen 103 councils,False
1243,30250,Aurukun,Queensland,,unmatched; outside frozen 103 councils,False
986,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
1011,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
1020,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
1078,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
1202,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
1243,30300,Balonne,Queensland,,unmatched; outside frozen 103 councils,False
986,30370,Banana,Queensland,,unmatched; outside frozen 103 councils,False
1094,30370,Banana,Queensland,,unmatched; outside frozen 103 councils,False
1202,30370,Banana,Queensland,,unmatched; outside frozen 103 councils,False
1243,30370,Banana,Queensland,,unmatched; outside frozen 103 councils,False
986,30410,Barcaldine,Queensland,,unmatched; outside frozen 103 councils,False
1046,30410,Barcaldine,Queensland,,unmatched; outside frozen 103 councils,False
1174,30410,Barcaldine,Queensland,,unmatched; outside frozen 103 councils,False
1202,30410,Barcaldine,Queensland,,unmatched; outside frozen 103 councils,False
1243,30410,Barcaldine,Queensland,,unmatched; outside frozen 103 councils,False
986,30450,Barcoo,Queensland,,unmatched; outside frozen 103 councils,False
1046,30450,Barcoo,Queensland,,unmatched; outside frozen 103 councils,False
1202,30450,Barcoo,Queensland,,unmatched; outside frozen 103 councils,False
1243,30450,Barcoo,Queensland,,unmatched; outside frozen 103 councils,False
986,30760,Blackall Tambo,Queensland,,unmatched; outside frozen 103 councils,False
1046,30760,Blackall Tambo,Queensland,,unmatched; outside frozen 103 councils,False
1174,30760,Blackall Tambo,Queensland,,unmatched; outside frozen 103 councils,False
1202,30760,Blackall Tambo,Queensland,,unmatched; outside frozen 103 councils,False
1243,30760,Blackall Tambo,Queensland,,unmatched; outside frozen 103 councils,False
986,30900,Boulia,Queensland,,unmatched; outside frozen 103 councils,False
1046,30900,Boulia,Queensland,,unmatched; outside frozen 103 councils,False
1174,30900,Boulia,Queensland,,unmatched; outside frozen 103 councils,False
1202,30900,Boulia,Queensland,,unmatched; outside frozen 103 councils,False
1243,30900,Boulia,Queensland,,unmatched; outside frozen 103 councils,False
1011,31000,Brisbane,Queensland,,unmatched; outside frozen 103 councils,False
1020,31000,Brisbane,Queensland,,unmatched; outside frozen 103 councils,False
1094,31000,Brisbane,Queensland,,unmatched; outside frozen 103 councils,False
1195,31000,Brisbane,Queensland,,unmatched; outside frozen 103 councils,False
1202,31750,Bulloo,Queensland,,unmatched; outside frozen 103 councils,False
1243,31750,Bulloo,Queensland,,unmatched; outside frozen 103 councils,False
986,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
994,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1011,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1020,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1078,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1195,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1243,31820,Bundaberg,Queensland,,unmatched; outside frozen 103 councils,False
1046,31900,Burdekin,Queensland,,unmatched; outside frozen 103 councils,False
1174,31900,Burdekin,Queensland,,unmatched; outside frozen 103 councils,False
1202,31900,Burdekin,Queensland,,unmatched; outside frozen 103 councils,False
1243,31900,Burdekin,Queensland,,unmatched; outside frozen 103 councils,False
1046,31950,Burke,Queensland,,unmatched; outside frozen 103 councils,False
1174,31950,Burke,Queensland,,unmatched; outside frozen 103 councils,False
1202,31950,Burke,Queensland,,unmatched; outside frozen 103 councils,False
1243,31950,Burke,Queensland,,unmatched; outside frozen 103 councils,False
1046,32080,Cairns,Queensland,,unmatched; outside frozen 103 councils,False
1088,32080,Cairns,Queensland,,unmatched; outside frozen 103 councils,False
1174,32080,Cairns,Queensland,,unmatched; outside frozen 103 councils,False
1243,32080,Cairns,Queensland,,unmatched; outside frozen 103 councils,False
994,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1046,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1088,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1174,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1202,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1243,32250,Carpentaria,Queensland,,unmatched; outside frozen 103 councils,False
1046,32260,Cassowary Coast,Queensland,,unmatched; outside frozen 103 councils,False
1088,32260,Cassowary Coast,Queensland,,unmatched; outside frozen 103 councils,False
1174,32260,Cassowary Coast,Queensland,,unmatched; outside frozen 103 councils,False
1243,32260,Cassowary Coast,Queensland,,unmatched; outside frozen 103 councils,False
986,32270,Central Highlands (Qld),Queensland,,unmatched; outside frozen 103 councils,False
