agrn,Location_code,Location_Name,STATE,council_key,disaster_start_date,feature,original_value,usable_value,unit,source_year,measurement_date,publication_date,lag_days,missingness_status,source_dataset,source_file,source_sheet,source_excel_row,retrospective_eligible,strict_ex_ante_certified,leakage_note,definition_status
960,10180,Armidale,New South Wales,,2021-03-10,prior_recorded_disaster_events,2.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10180,Armidale,New South Wales,,2021-03-10,prior_recorded_C_events,0.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10180,Armidale,New South Wales,,2021-03-10,prior_recorded_D_events,0.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10180,Armidale,New South Wales,,2021-03-10,staffing_FTE,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
960,10180,Armidale,New South Wales,,2021-03-10,remoteness,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
960,10180,Armidale,New South Wales,,2021-03-10,prior_funding_receipt_experience,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1012,10180,Armidale,New South Wales,,2022-02-22,cash_cover_months,,,months,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,current_ratio,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,operating_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,own_source_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,grants_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,debt_service_cover,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,debt_service_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,population,,,persons,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,road_km,,,km,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1012,10180,Armidale,New South Wales,,2022-02-22,prior_recorded_activation_events,4.0,,events,snapshot 2026-08-11,2021-10-14,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1012,10180,Armidale,New South Wales,,2022-02-22,prior_recorded_disaster_events,4.0,,events,snapshot 2026-08-11,2021-10-14,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1012,10180,Armidale,New South Wales,,2022-02-22,prior_recorded_C_events,1.0,,events,snapshot 2026-08-11,2021-10-14,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1012,10180,Armidale,New South Wales,,2022-02-22,prior_recorded_D_events,1.0,,events,snapshot 2026-08-11,2021-10-14,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1012,10180,Armidale,New South Wales,,2022-02-22,staffing_FTE,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1012,10180,Armidale,New South Wales,,2022-02-22,remoteness,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1012,10180,Armidale,New South Wales,,2022-02-22,prior_funding_receipt_experience,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1198,10180,Armidale,New South Wales,,2025-03-03,cash_cover_months,,,months,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,current_ratio,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,operating_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,own_source_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,grants_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,debt_service_cover,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,debt_service_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,population,,,persons,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,road_km,,,km,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1198,10180,Armidale,New South Wales,,2025-03-03,prior_recorded_activation_events,8.0,,events,snapshot 2026-08-11,2024-04-01,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1198,10180,Armidale,New South Wales,,2025-03-03,prior_recorded_disaster_events,8.0,,events,snapshot 2026-08-11,2024-04-01,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1198,10180,Armidale,New South Wales,,2025-03-03,prior_recorded_C_events,2.0,,events,snapshot 2026-08-11,2024-04-01,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1198,10180,Armidale,New South Wales,,2025-03-03,prior_recorded_D_events,2.0,,events,snapshot 2026-08-11,2024-04-01,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1198,10180,Armidale,New South Wales,,2025-03-03,staffing_FTE,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1198,10180,Armidale,New South Wales,,2025-03-03,remoteness,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1198,10180,Armidale,New South Wales,,2025-03-03,prior_funding_receipt_experience,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1212,10180,Armidale,New South Wales,,2025-05-18,cash_cover_months,,,months,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,current_ratio,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,operating_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,own_source_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,grants_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,debt_service_cover,,,multiple,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,debt_service_ratio_pct,,,percent,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,population,,,persons,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,road_km,,,km,,,,,OUTSIDE_FISCAL_PANEL,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,,,,False,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
1212,10180,Armidale,New South Wales,,2025-05-18,prior_recorded_activation_events,9.0,,events,snapshot 2026-08-11,2025-03-03,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1212,10180,Armidale,New South Wales,,2025-05-18,prior_recorded_disaster_events,9.0,,events,snapshot 2026-08-11,2025-03-03,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1212,10180,Armidale,New South Wales,,2025-05-18,prior_recorded_C_events,3.0,,events,snapshot 2026-08-11,2025-03-03,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1212,10180,Armidale,New South Wales,,2025-05-18,prior_recorded_D_events,3.0,,events,snapshot 2026-08-11,2025-03-03,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
1212,10180,Armidale,New South Wales,,2025-05-18,staffing_FTE,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1212,10180,Armidale,New South Wales,,2025-05-18,remoteness,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1212,10180,Armidale,New South Wales,,2025-05-18,prior_funding_receipt_experience,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
960,10250,Ballina,New South Wales,ballina,2021-03-10,cash_cover_months,9.99,9.99,months,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit"
960,10250,Ballina,New South Wales,ballina,2021-03-10,current_ratio,2.59,2.59,multiple,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,operating_ratio_pct,3.39,3.39,percent,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,AASB15/1058 and lease regime
960,10250,Ballina,New South Wales,ballina,2021-03-10,own_source_pct,69.59,69.59,percent,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,grants_pct,30.409999999999997,30.409999999999997,percent,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,debt_service_cover,2.59,2.59,multiple,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,debt_service_ratio_pct,12.3624923460231,12.3624923460231,percent,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,population,44628.0,44628.0,persons,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,road_km,703.757,703.757,km,2019-20,2020-06-30,,253.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2019-2020.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,see frozen V2 dictionary
960,10250,Ballina,New South Wales,ballina,2021-03-10,prior_recorded_activation_events,1.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10250,Ballina,New South Wales,ballina,2021-03-10,prior_recorded_disaster_events,1.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10250,Ballina,New South Wales,ballina,2021-03-10,prior_recorded_C_events,0.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10250,Ballina,New South Wales,ballina,2021-03-10,prior_recorded_D_events,0.0,,events,snapshot 2026-08-11,2020-12-10,2026-08-11,,LOWER_BOUND_BACKFILLED_HISTORY,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,drfa_activation_history_by_location_2026_august_11.csv,,,False,False,"Earlier onset is not earlier C/D decision; decision dates missing; left-truncated history. Count is descriptive only; 0 means none recorded, not no prior experience.",not a pre-onset certified predictor
960,10250,Ballina,New South Wales,ballina,2021-03-10,staffing_FTE,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
960,10250,Ballina,New South Wales,ballina,2021-03-10,remoteness,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
960,10250,Ballina,New South Wales,ballina,2021-03-10,prior_funding_receipt_experience,,,not recovered,,,,,NOT_IN_BACKBONE,,,,,False,False,Requires separately dated source; activation is not receipt,unavailable
1012,10250,Ballina,New South Wales,ballina,2022-02-22,cash_cover_months,13.12,13.12,months,2020-21,2021-06-30,,237.0,OBSERVED_PRE_ONSET,Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,time-series-data-2020-2021.xlsx,Councils,6,True,False,Prior full financial year only; current retrieved vintage may be revised; first publication not certified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit"
