agrn,n_lga_rows,cat_C_positive,cat_D_positive,state,event_name,disaster_start_date,hazard_type,cat_C_zero,cat_C_proportion,cat_C_pattern,cat_D_zero,cat_D_proportion,cat_D_pattern,descriptive_event_scope,distinct_C_measures_recovered_minimum,C_measure_inventory_complete,independent_funding_decision_count,usable_positive_negative_contrasts
945,4,0,0,New South Wales,AGRN 945 - NSW Storms (28 November 2020 onwards),2020-11-28,Storm,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
949,3,0,0,New South Wales,AGRN 949 - NSW Storms (2 December 2020 onwards),2020-12-02,Storm,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
943,19,0,0,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),2020-12-10,Storm,19,0.0,no-C,19,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
963,3,0,0,Western Australia,AGRN 963 - Tropical Low & Associated flooding in the Pilbara & Goldfields Regions (11-12 December 2020),2020-12-11,Storm,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
944,6,0,0,Queensland,AGRN 944 - South East Queensland Coastal Trough (12 - 15 December 2020),2020-12-12,Storm,6,0.0,no-C,6,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
947,5,0,0,Queensland,AGRN 947 - Western Queensland Thunderstorms (21-30 December 2020),2020-12-21,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
959,1,0,0,New South Wales,AGRN 959 - Eurobodalla Storms (26 December 2020 onwards),2020-12-26,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
946,20,0,0,Queensland,AGRN 946 - Tropical Cyclone Imogen and Associated Low Pressure System (2 - 12 January 2021),2021-01-02,Cyclone,20,0.0,no-C,20,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
948,4,0,0,New South Wales,AGRN 948 - NSW Storms and Floods (2 January 2021 onwards),2021-01-02,Storm,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
953,1,0,0,Tasmania,AGRN 953 - Flinders Island Storm (4 January 2021),2021-01-04,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
952,9,0,0,Queensland,ARGN 952 - Far North Queensland Tropical Low (24-30 January 2021),2021-01-24,Flood,9,0.0,no-C,9,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
951,8,0,0,Western Australia,AGRN 951 - Tropical Low and Low and Associated Flooding (28 January - 8 February 2021),2021-01-28,Storm,8,0.0,no-C,8,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
950,2,2,0,Western Australia,AGRN 950 - Wooroloo Bushfire (1 February 2021),2021-02-01,Bushfire,0,1.0,all-C,2,0.0,no-D,All listed LGA rows flagged; does not prove one decision,,False,,0
967,1,0,0,New South Wales,AGRN 967 - Snowy Valleys Storms (3 February 2021 onwards),2021-02-03,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
964,1,0,0,Western Australia,AGRN 964 - Thunderstorms and Associated Flooding in the Shire of Wiluna (16-18 February 2021),2021-02-16,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
954,7,7,7,New South Wales,AGRN 954 - North Coast Storms and Floods (19 February 2021 onwards),2021-02-19,Storm,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
955,4,0,0,Northern Territory,AGRN 955 - February-March 2021 Floods (February 2021),2021-02-22,Flood,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
956,8,0,5,Queensland,AGRN 956 - TC Niran and associated low pressure system (25 Feb - 3 March 2021),2021-02-25,Cyclone,8,0.0,no-C,3,0.625,mixed-D,Measure-specific decision scope unresolved,,False,,0
962,9,0,0,Western Australia,"AGRN 962 - Storms, heavy rainfall and associated flooding in the Mid West & South West Land Division (1-5 March 2021)",2021-03-01,Storm,9,0.0,no-C,9,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
972,2,0,0,Tasmania,AGRN 972 - TAS - East Coast Storms (24-25 March 2021),2021-03-01,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
960,79,78,78,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),2021-03-10,Flood,1,0.9873417721518988,mixed-C,1,0.9873417721518988,mixed-D,Measure-specific decision scope unresolved,,False,,0
961,13,0,2,Queensland,AGRN 961 - Southern Queensland Severe Weather (20-31 March 2021),2021-03-20,Flood,13,0.0,no-C,11,0.15384615384615385,mixed-D,Measure-specific decision scope unresolved,,False,,0
966,1,0,0,Victoria,AGRN 966 - Wellington Storms and Floods (commencing 23 March 2021),2021-03-23,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
965,16,16,16,Western Australia,AGRN 965 - Severe Tropical Cyclone Seroja (11-12 April 2021),2021-04-11,Cyclone,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
968,6,0,0,Queensland,AGRN 968 - Far North Queensland Low Pressure System (15-26 April 2021),2021-04-15,Storm,6,0.0,no-C,6,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
970,4,0,0,New South Wales,AGRN 970 - Southern NSW Storms and Floods (5 May 2021 onwards),2021-05-05,Storm,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
974,2,0,0,Western Australia,AGRN 974 - WA - Flooding in the Gascoyne and Murchison Regions (29-31 May 2021),2021-05-29,Flood,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
969,41,0,41,Victoria,AGRN 969 - Victorian Storms and Floods (commencing 9 June 2021),2021-06-09,Flood,41,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
971,1,0,0,Western Australia,AGRN 971 - WA - Torrential Rain and Associated Flooding in the Shire of Exmouth (9-10 June 2021),2021-06-09,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
976,1,0,0,New South Wales,AGRN 976 - NSW Storms (10 June 2021 onwards),2021-06-10,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
973,5,0,0,Western Australia,AGRN 973 - WA - Severe Weather and Associated Flooding across the South Coastal District (20-21 June 2021),2021-06-20,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
975,2,0,0,New South Wales,AGRN 975 - NSW Storms and Floods ( from 16 July 2021 onwards),2021-07-16,Flood,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
978,13,0,0,Western Australia,AGRN 978 - WA - Severe Weather across the Lower South West Land Division (20-31 July 2021),2021-07-20,Storm,13,0.0,no-C,13,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
992,2,0,0,New South Wales,AGRN 992 - NSW Storms and Floods (30 July 2021 onwards),2021-07-30,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
981,1,0,0,New South Wales,AGRN 981 - NSW Storms and Floods from 22 August 2021,2021-08-22,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
977,3,0,0,Victoria,AGRN 977 - Eastern Victoria Floods (commencing 3 September 2021),2021-09-03,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
999,2,0,0,Victoria,AGRN 999 - VIC - Victorian Earthquake (22 September 2021),2021-09-22,Earthquake,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
985,3,0,0,Victoria,AGRN 985 - South East Victorian Storms (30 September 2021),2021-09-30,Storm,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
989,1,0,0,New South Wales,AGRN 989 - NSW - Narrabri Storm and Tornado (30 September 2021),2021-09-30,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
979,1,0,0,New South Wales,AGRN 979 - NSW - Armidale Storm (14 October 2021),2021-10-14,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
991,2,0,0,Victoria,AGRN 991 - VIC - South East Victorian Storms (commencing 15 October 2021),2021-10-15,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
980,1,0,1,New South Wales,AGRN 980 - North East NSW Severe Weather (20 October 2021 onwards),2021-10-20,Storm,1,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
982,1,0,0,New South Wales,AGRN 982 - Severe Weather Event Accross NSW (23 October 2021 onwards),2021-10-23,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
984,24,24,0,South Australia,AGRN 984 - SA State-wide Storms (28 October 2021 onwards),2021-10-28,Storm,0,1.0,all-C,24,0.0,no-D,All listed LGA rows flagged; does not prove one decision,,False,,0
1000,3,0,0,Tasmania,AGRN 1000 - TAS - Central Tasmania Flooding (October and November 2021),2021-10-29,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
983,39,0,17,Victoria,AGRN 983 - Victoria Storms (29 October 2021),2021-10-29,Storm,39,0.0,no-C,22,0.4358974358974359,mixed-D,Measure-specific decision scope unresolved,,False,,0
990,3,0,0,Northern Territory,AGRN 990 - NT - Central Australia Floods (November 2021),2021-11-01,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
987,62,0,62,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,2021-11-09,Flood,62,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
986,27,27,27,Queensland,"AGRN 986 - QLD - Central, Southern and Western Queensland Rainfall and Flooding (10 Nov - 3 Dec 2021)",2021-11-10,Flood,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
988,4,0,0,Victoria,AGRN 988 - VIC - East Victorian Storms (commencing 12 November 2021,2021-11-12,Storm,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1002,1,0,0,Tasmania,AGRN 1002 - TAS - Southern Tasmanian Storm (December 2021),2021-12-02,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
997,1,0,0,Victoria,AGRN 997 - VIC - Baw Baw Storms (2 December 2021),2021-12-02,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
993,1,0,1,New South Wales,AGRN 993 - NSW - Northern Beaches Severe Storm (19 December 2021),2021-12-19,Storm,1,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
1001,21,0,21,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),2022-01-05,Flood,21,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
995,5,0,0,Victoria,AGRN 995 - VIC - Central West Victorian Storms (5 January 2022),2022-01-05,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
994,9,9,9,Queensland,AGRN 994 - QLD - Ex Tropical Cyclone Seth (7-10 January 2022),2022-01-07,Flood,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
998,4,0,0,Queensland,AGRN 998 - QLD - Tropical Cyclone Tiffany (10-11 January 2022),2022-01-10,Cyclone,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
996,1,0,1,New South Wales,AGRN 996 - NSW - Lithgow Severe Storm (11 January 2022),2022-01-11,Storm,1,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
1003,5,0,0,Northern Territory,AGRN 1003 - NT - Tropical Cyclone Tiffany (January 2022),2022-01-12,Cyclone,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1004,2,0,0,Victoria,AGRN 1004 - VIC - Towong Floods and Storms (commencing 14 January 2022),2022-01-14,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1018,3,0,0,Northern Territory,AGRN 1018 - NT - Central Australia Floods (15 January - 4 February 2022),2022-01-15,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1005,14,0,0,Queensland,AGRN 1005 - QLD - Western Queensland Low Pressure Trough (19-24 January 2022),2022-01-19,Storm surge,14,0.0,no-C,14,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1006,15,0,0,South Australia,AGRN 1006 - SA Severe weather and flooding (21 January - 2 February 2022),2022-01-21,Flood,15,0.0,no-C,15,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1007,10,0,0,Victoria,AGRN 1007 - VIC - Victorian Floods and Storms (commencing 26 January 2022),2022-01-26,Flood,10,0.0,no-C,10,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1008,4,0,0,Queensland,AGRN 1008 - QLD - Far North Queensland Low Pressure Trough (1-7 February 2022),2022-02-01,Storm surge,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1013,3,0,0,Western Australia,AGRN 1013 - Tropical Low and Associated Flooding in the Kimberley Region (1-4 February 2022),2022-02-01,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1009,1,0,0,Western Australia,AGRN 1009 - Bridgetown Bushfire (5-12 February 2022),2022-02-05,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1010,2,0,0,Western Australia,AGRN 1010 - Shackelton Complex Bushfire (6-15 February 2022),2022-02-06,Bushfire,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1015,1,0,0,Western Australia,AGRN 1015 - Severe Thunderstorms and Flooding in the Pilbara Region (7-10 February 2022),2022-02-07,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1011,23,23,23,Queensland,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),2022-02-22,Flood,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
1012,62,62,62,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),2022-02-22,Flood,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
1017,4,0,0,Queensland,AGRN 1017 - Cape York Tropical Low and Rainfall (22-28 February 2022),2022-02-22,Storm surge,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1024,1,0,0,Western Australia,AGRN 1024 - Tropical Cyclone Anika (26 February - 4 March 2022),2022-02-26,Cyclone,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1014,1,0,0,New South Wales,AGRN 1014 - Broken Hill Severe Thunderstorm (15 March 2022),2022-03-15,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1021,7,0,0,Western Australia,AGRN 1021 - WA Flooding in the Midwest and Gascoyne Regions (26 March - 3 April 2022),2022-03-26,Flood,7,0.0,no-C,7,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1016,1,0,0,Victoria,AGRN 1016 - Victorian Floods and Storms (2 April 2022),2022-04-02,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1023,2,0,0,Western Australia,AGRN 1023 - Storms and Flooding in the South Coastal District (11-14 April 2022),2022-04-11,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1027,1,0,0,New South Wales,AGRN 1027 - Wingecarribee Severe Storm (19 April 2022),2022-04-19,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1019,28,0,0,Queensland,AGRN 1019 - Northern and Central Queensland Rainfall and Flooding (21 - 28 April 2022),2022-04-21,Flood,28,0.0,no-C,28,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1020,21,21,21,Queensland,AGRN 1020 - Southern Queensland Flooding (6-20 May 2022),2022-05-06,Flood,0,1.0,all-C,0,1.0,all-D,All listed LGA rows flagged; does not prove one decision,,False,,0
1035,1,0,0,Western Australia,AGRN 1035 - Heavy Rainfall and Flooding in the Shire of Wiluna in Western Australia (21-24 May 2022),2022-05-21,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1031,1,0,0,Western Australia,AGRN 1031 - Heavy Rainfall and Flooding Pilbara Region (29 May - 1 June 2022),2022-05-29,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1022,2,0,0,Victoria,AGRN 1022 - South East Victorian Storms (commencing 6 June 2022),2022-06-06,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1026,2,0,0,Tasmania,AGRN 1026 - North-West Tasmania Storm (11-12 June 2022),2022-06-11,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1025,51,0,51,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),2022-06-27,Flood,51,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
1028,2,0,0,Queensland,AGRN 1028 - South Queensland East Coast Low (July 2022),2022-07-21,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1041,2,0,0,Western Australia,AGRN 1041 - Storms in the South West of Western Australia (1-3 August 2022),2022-08-01,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1030,28,0,28,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),2022-08-04,Flood,28,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
1029,5,0,0,Victoria,AGRN 1029 - South-East Victorian Storms (Commencing 13 August 2022),2022-08-13,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1039,2,0,0,Tasmania,AGRN 1039 - Huon Valley and Derwent Valley Flash Flooding (13-14 August 2022),2022-08-13,Flood,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1033,1,0,0,Victoria,AGRN 1033 - Wodonga Floods (commencing 29 August 2022),2022-08-29,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1032,4,0,0,Queensland,AGRN 1032 - South West Queensland Low Pressure Trough (7-15 September 2022),2022-09-07,Flood,4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1034,76,0,75,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),2022-09-14,Flood,76,0.0,no-C,1,0.9868421052631579,mixed-D,Measure-specific decision scope unresolved,,False,,0
1036,2,0,0,Queensland,AGRN 1036 - South East Queensland Severe Storms (22-23 September 2022),2022-09-22,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1037,65,64,64,Victoria,AGRN 1037 - Victorian Floods (commencing 6 October 2022),2022-10-06,Flood,1,0.9846153846153847,mixed-C,1,0.9846153846153847,mixed-D,Measure-specific decision scope unresolved,,False,,0
1038,18,17,0,Tasmania,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),2022-10-13,Flood,1,0.9444444444444444,mixed-C,18,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1040,5,0,0,Queensland,AGRN 1040 - Southern Queensland Severe Weather (October - November 2022),2022-10-18,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1043,1,0,0,Northern Territory,AGRN 1043 - Alice Springs Severe Thunderstorm (November 2022),2022-11-12,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1042,9,0,9,South Australia,AGRN 1042 - South Australian Floods (commencing 15 November 2022),2022-11-15,Flood,9,0.0,no-C,0,1.0,all-D,Measure-specific decision scope unresolved,,False,,0
1050,1,0,0,Queensland,AGRN 1050 - Whitsunday Rainfall and Flooding (30 Nov - 1 Dec 2022),2022-11-30,Flood,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
1046,45,5,7,Queensland,AGRN 1046 - Northern and Central Queensland Monsoon and flooding (20 Dec 2022 - March 2023),2022-12-20,Flood,40,0.1111111111111111,mixed-C,38,0.15555555555555556,mixed-D,Measure-specific decision scope unresolved,3,False,,0
