test_year,model,node,leaf,feature,threshold,n,prediction
2022,tree_fiscal_only,9,True,,,23,3.5278260869565217
2022,tree_fiscal_only,10,True,,,21,9.185714285714287
2022,tree_level,0,False,operating_ratio_pct__prior,-1.0699999928474426,243,-1.0040329218106991
2022,tree_level,1,False,operating_ratio_pct__prior,-6.394999980926514,67,-7.200447761194029
2022,tree_level,2,True,,,29,-11.243448275862068
2022,tree_level,3,True,,,38,-4.115000000000001
2022,tree_level,4,False,operating_ratio_pct__prior,8.375,176,1.3548295454545451
2022,tree_level,5,False,population__prior,6805.0,132,-0.26962121212121204
2022,tree_level,6,True,,,26,2.7611538461538454
2022,tree_level,7,True,,,106,-1.013018867924528
2022,tree_level,8,False,debt_service_cover__prior,12.484999656677246,44,6.22818181818182
2022,tree_level,9,True,,,23,3.5278260869565226
2022,tree_level,10,True,,,21,9.185714285714287
2022,tree_change,0,False,operating_ratio_pct__prior,1.7199999690055847,243,-3.3243209876543234
2022,tree_change,1,False,operating_ratio_pct__prior,-8.025000095367432,101,0.41524752475247545
2022,tree_change,2,True,,,20,5.261500000000001
2022,tree_change,3,False,population__prior,7192.0,81,-0.781358024691358
2022,tree_change,4,True,,,20,3.1365000000000007
2022,tree_change,5,True,,,61,-2.0659016393442617
2022,tree_change,6,False,road_km__prior,1729.3199462890625,142,-5.984154929577468
2022,tree_change,7,False,own_source_pct__prior,54.9900016784668,118,-4.664067796610168
2022,tree_change,8,True,,,25,-0.7284
2022,tree_change,9,True,,,93,-5.722043010752687
2022,tree_change,10,True,,,24,-12.474583333333335
2023,tree_fiscal_only,0,False,operating_ratio_pct__prior,-12.565000057220459,367,-0.17460490463215275
2023,tree_fiscal_only,1,True,,,22,-14.816363636363638
2023,tree_fiscal_only,2,False,operating_ratio_pct__prior,8.384999752044678,345,0.7590724637681162
2023,tree_fiscal_only,3,False,operating_ratio_pct__prior,0.004999999888241291,287,-0.6426480836236939
2023,tree_fiscal_only,4,True,,,119,-2.6710924369747904
2023,tree_fiscal_only,5,True,,,168,0.7941666666666665
2023,tree_fiscal_only,6,False,own_source_pct__prior,52.96500015258789,58,7.695172413793103
2023,tree_fiscal_only,7,True,,,20,12.813999999999998
2023,tree_fiscal_only,8,True,,,38,5.001052631578949
2023,tree_level,0,False,operating_ratio_pct__prior,-12.565000057220459,367,-0.17460490463215275
2023,tree_level,1,True,,,22,-14.816363636363635
2023,tree_level,2,False,operating_ratio_pct__prior,8.384999752044678,345,0.7590724637681159
2023,tree_level,3,False,operating_ratio_pct__prior,0.004999999888241291,287,-0.6426480836236935
2023,tree_level,4,True,,,119,-2.671092436974793
2023,tree_level,5,True,,,168,0.7941666666666665
2023,tree_level,6,False,own_source_pct__prior,52.96500015258789,58,7.695172413793103
2023,tree_level,7,True,,,20,12.813999999999998
2023,tree_level,8,True,,,38,5.001052631578949
2023,tree_change,0,False,operating_ratio_pct__prior,-1.6150000095367432,367,-1.538310626702998
2023,tree_change,1,False,operating_ratio_pct__prior,-9.699999809265137,114,3.7648245614035076
2023,tree_change,2,True,,,32,7.347187499999998
2023,tree_change,3,False,debt_service_cover__prior,7.5950000286102295,82,2.366829268292683
2023,tree_change,4,True,,,52,0.7369230769230769
2023,tree_change,5,True,,,30,5.1919999999999975
2023,tree_change,6,False,operating_ratio_pct__prior,13.275000095367432,253,-3.927865612648223
2023,tree_change,7,False,operating_ratio_pct__prior,6.2149999141693115,233,-3.228326180257513
2023,tree_change,8,True,,,157,-2.182738853503184
2023,tree_change,9,True,,,76,-5.388289473684209
2023,tree_change,10,True,,,20,-12.077499999999997
