council_key,target_year,forecast_cutoff,announced_target_fag_advance_pct
bourke,2018,2018-07-01,50.0
bourke,2019,2019-07-01,52.0
bourke,2020,2020-07-01,50.0
bourke,2021,2021-07-01,50.0
bourke,2022,2022-07-01,75.0
bourke,2023,2023-07-01,100.0
bourke,2024,2024-07-01,85.0
brewarrina,2017,2017-07-01,50.0
brewarrina,2018,2018-07-01,50.0
brewarrina,2019,2019-07-01,52.0
brewarrina,2020,2020-07-01,50.0
brewarrina,2021,2021-07-01,50.0
brewarrina,2022,2022-07-01,75.0
brewarrina,2023,2023-07-01,100.0
brewarrina,2024,2024-07-01,85.0
brokenhill,2017,2017-07-01,50.0
brokenhill,2018,2018-07-01,50.0
brokenhill,2019,2019-07-01,52.0
brokenhill,2020,2020-07-01,50.0
brokenhill,2021,2021-07-01,50.0
brokenhill,2022,2022-07-01,75.0
brokenhill,2023,2023-07-01,100.0
brokenhill,2024,2024-07-01,85.0
burwood,2017,2017-07-01,50.0
burwood,2018,2018-07-01,50.0
burwood,2019,2019-07-01,52.0
burwood,2020,2020-07-01,50.0
burwood,2021,2021-07-01,50.0
burwood,2022,2022-07-01,75.0
burwood,2023,2023-07-01,100.0
burwood,2024,2024-07-01,85.0
byron,2017,2017-07-01,50.0
byron,2018,2018-07-01,50.0
byron,2019,2019-07-01,52.0
byron,2020,2020-07-01,50.0
byron,2021,2021-07-01,50.0
byron,2022,2022-07-01,75.0
byron,2023,2023-07-01,100.0
byron,2024,2024-07-01,85.0
cabonne,2017,2017-07-01,50.0
cabonne,2018,2018-07-01,50.0
cabonne,2019,2019-07-01,52.0
cabonne,2020,2020-07-01,50.0
cabonne,2021,2021-07-01,50.0
cabonne,2022,2022-07-01,75.0
cabonne,2023,2023-07-01,100.0
cabonne,2024,2024-07-01,85.0
camden,2017,2017-07-01,50.0
camden,2018,2018-07-01,50.0
camden,2019,2019-07-01,52.0
camden,2020,2020-07-01,50.0
camden,2021,2021-07-01,50.0
camden,2022,2022-07-01,75.0
camden,2023,2023-07-01,100.0
camden,2024,2024-07-01,85.0
campbelltown,2017,2017-07-01,50.0
campbelltown,2018,2018-07-01,50.0
campbelltown,2019,2019-07-01,52.0
campbelltown,2020,2020-07-01,50.0
campbelltown,2021,2021-07-01,50.0
campbelltown,2022,2022-07-01,75.0
campbelltown,2023,2023-07-01,100.0
campbelltown,2024,2024-07-01,85.0
canadabay,2017,2017-07-01,50.0
canadabay,2018,2018-07-01,50.0
canadabay,2019,2019-07-01,52.0
canadabay,2020,2020-07-01,50.0
canadabay,2021,2021-07-01,50.0
canadabay,2022,2022-07-01,75.0
canadabay,2023,2023-07-01,100.0
canadabay,2024,2024-07-01,85.0
carrathool,2017,2017-07-01,50.0
carrathool,2018,2018-07-01,50.0
carrathool,2019,2019-07-01,52.0
carrathool,2020,2020-07-01,50.0
carrathool,2021,2021-07-01,50.0
carrathool,2022,2022-07-01,75.0
carrathool,2023,2023-07-01,100.0
carrathool,2024,2024-07-01,85.0
centraldarling,2017,2017-07-01,50.0
centraldarling,2018,2018-07-01,50.0
centraldarling,2019,2019-07-01,52.0
centraldarling,2020,2020-07-01,50.0
centraldarling,2021,2021-07-01,50.0
centraldarling,2022,2022-07-01,75.0
centraldarling,2023,2023-07-01,100.0
centraldarling,2024,2024-07-01,85.0
cessnock,2017,2017-07-01,50.0
cessnock,2018,2018-07-01,50.0
cessnock,2019,2019-07-01,52.0
cessnock,2020,2020-07-01,50.0
cessnock,2021,2021-07-01,50.0
cessnock,2022,2022-07-01,75.0
cessnock,2023,2023-07-01,100.0
cessnock,2024,2024-07-01,85.0
clarencevalley,2017,2017-07-01,50.0
clarencevalley,2018,2018-07-01,50.0
clarencevalley,2019,2019-07-01,52.0
clarencevalley,2020,2020-07-01,50.0
clarencevalley,2021,2021-07-01,50.0
clarencevalley,2022,2022-07-01,75.0
clarencevalley,2023,2023-07-01,100.0
clarencevalley,2024,2024-07-01,85.0
coffsharbour,2017,2017-07-01,50.0
coffsharbour,2018,2018-07-01,50.0
coffsharbour,2019,2019-07-01,52.0
coffsharbour,2020,2020-07-01,50.0
coffsharbour,2021,2021-07-01,50.0
coffsharbour,2022,2022-07-01,75.0
coffsharbour,2023,2023-07-01,100.0
coffsharbour,2024,2024-07-01,85.0
coolamon,2017,2017-07-01,50.0
coolamon,2018,2018-07-01,50.0
coolamon,2019,2019-07-01,52.0
coolamon,2020,2020-07-01,50.0
coolamon,2021,2021-07-01,50.0
coolamon,2022,2022-07-01,75.0
coolamon,2023,2023-07-01,100.0
coolamon,2024,2024-07-01,85.0
coonamble,2017,2017-07-01,50.0
coonamble,2018,2018-07-01,50.0
coonamble,2019,2019-07-01,52.0
coonamble,2020,2020-07-01,50.0
coonamble,2021,2021-07-01,50.0
coonamble,2022,2022-07-01,75.0
coonamble,2023,2023-07-01,100.0
coonamble,2024,2024-07-01,85.0
cowra,2017,2017-07-01,50.0
cowra,2018,2018-07-01,50.0
cowra,2019,2019-07-01,52.0
cowra,2020,2020-07-01,50.0
cowra,2021,2021-07-01,50.0
cowra,2022,2022-07-01,75.0
cowra,2023,2023-07-01,100.0
cowra,2024,2024-07-01,85.0
dungog,2017,2017-07-01,50.0
dungog,2018,2018-07-01,50.0
dungog,2019,2019-07-01,52.0
dungog,2020,2020-07-01,50.0
dungog,2021,2021-07-01,50.0
dungog,2022,2022-07-01,75.0
dungog,2023,2023-07-01,100.0
dungog,2024,2024-07-01,85.0
eurobodalla,2017,2017-07-01,50.0
eurobodalla,2018,2018-07-01,50.0
eurobodalla,2019,2019-07-01,52.0
eurobodalla,2020,2020-07-01,50.0
eurobodalla,2021,2021-07-01,50.0
eurobodalla,2022,2022-07-01,75.0
eurobodalla,2023,2023-07-01,100.0
eurobodalla,2024,2024-07-01,85.0
fairfield,2017,2017-07-01,50.0
fairfield,2018,2018-07-01,50.0
fairfield,2019,2019-07-01,52.0
fairfield,2020,2020-07-01,50.0
fairfield,2021,2021-07-01,50.0
fairfield,2022,2022-07-01,75.0
fairfield,2023,2023-07-01,100.0
fairfield,2024,2024-07-01,85.0
forbes,2017,2017-07-01,50.0
forbes,2018,2018-07-01,50.0
forbes,2019,2019-07-01,52.0
forbes,2020,2020-07-01,50.0
forbes,2021,2021-07-01,50.0
forbes,2022,2022-07-01,75.0
forbes,2023,2023-07-01,100.0
forbes,2024,2024-07-01,85.0
gilgandra,2017,2017-07-01,50.0
gilgandra,2018,2018-07-01,50.0
gilgandra,2019,2019-07-01,52.0
gilgandra,2020,2020-07-01,50.0
gilgandra,2021,2021-07-01,50.0
gilgandra,2022,2022-07-01,75.0
gilgandra,2023,2023-07-01,100.0
gilgandra,2024,2024-07-01,85.0
gleninnessevern,2017,2017-07-01,50.0
gleninnessevern,2018,2018-07-01,50.0
gleninnessevern,2019,2019-07-01,52.0
gleninnessevern,2020,2020-07-01,50.0
gleninnessevern,2021,2021-07-01,50.0
gleninnessevern,2022,2022-07-01,75.0
gleninnessevern,2023,2023-07-01,100.0
gleninnessevern,2024,2024-07-01,85.0
goulburnmulwaree,2017,2017-07-01,50.0
goulburnmulwaree,2018,2018-07-01,50.0
goulburnmulwaree,2019,2019-07-01,52.0
goulburnmulwaree,2020,2020-07-01,50.0
goulburnmulwaree,2021,2021-07-01,50.0
goulburnmulwaree,2022,2022-07-01,75.0
goulburnmulwaree,2023,2023-07-01,100.0
goulburnmulwaree,2024,2024-07-01,85.0
greaterhume,2017,2017-07-01,50.0
greaterhume,2018,2018-07-01,50.0
greaterhume,2019,2019-07-01,52.0
greaterhume,2020,2020-07-01,50.0
greaterhume,2021,2021-07-01,50.0
greaterhume,2022,2022-07-01,75.0
greaterhume,2023,2023-07-01,100.0
greaterhume,2024,2024-07-01,85.0
griffith,2017,2017-07-01,50.0
griffith,2018,2018-07-01,50.0
griffith,2019,2019-07-01,52.0
griffith,2020,2020-07-01,50.0
griffith,2021,2021-07-01,50.0
griffith,2022,2022-07-01,75.0
griffith,2023,2023-07-01,100.0
griffith,2024,2024-07-01,85.0
gunnedah,2017,2017-07-01,50.0
gunnedah,2018,2018-07-01,50.0
gunnedah,2019,2019-07-01,52.0
gunnedah,2020,2020-07-01,50.0
gunnedah,2021,2021-07-01,50.0
gunnedah,2022,2022-07-01,75.0
gunnedah,2023,2023-07-01,100.0
gunnedah,2024,2024-07-01,85.0
gwydir,2017,2017-07-01,50.0
gwydir,2018,2018-07-01,50.0
gwydir,2019,2019-07-01,52.0
gwydir,2020,2020-07-01,50.0
gwydir,2021,2021-07-01,50.0
gwydir,2022,2022-07-01,75.0
gwydir,2023,2023-07-01,100.0
gwydir,2024,2024-07-01,85.0
hawkesbury,2017,2017-07-01,50.0
hawkesbury,2018,2018-07-01,50.0
hawkesbury,2019,2019-07-01,52.0
hawkesbury,2020,2020-07-01,50.0
hawkesbury,2021,2021-07-01,50.0
hawkesbury,2022,2022-07-01,75.0
hawkesbury,2023,2023-07-01,100.0
hawkesbury,2024,2024-07-01,85.0
hay,2017,2017-07-01,50.0
hay,2018,2018-07-01,50.0
hay,2019,2019-07-01,52.0
hay,2020,2020-07-01,50.0
hay,2021,2021-07-01,50.0
hay,2022,2022-07-01,75.0
hay,2023,2023-07-01,100.0
hay,2024,2024-07-01,85.0
huntershill,2017,2017-07-01,50.0
huntershill,2018,2018-07-01,50.0
huntershill,2019,2019-07-01,52.0
huntershill,2020,2020-07-01,50.0
huntershill,2021,2021-07-01,50.0
huntershill,2022,2022-07-01,75.0
huntershill,2023,2023-07-01,100.0
huntershill,2024,2024-07-01,85.0
junee,2017,2017-07-01,50.0
junee,2018,2018-07-01,50.0
junee,2019,2019-07-01,52.0
junee,2020,2020-07-01,50.0
junee,2021,2021-07-01,50.0
junee,2022,2022-07-01,75.0
junee,2023,2023-07-01,100.0
junee,2024,2024-07-01,85.0
kempsey,2017,2017-07-01,50.0
kempsey,2018,2018-07-01,50.0
kempsey,2019,2019-07-01,52.0
kempsey,2020,2020-07-01,50.0
kempsey,2021,2021-07-01,50.0
kempsey,2022,2022-07-01,75.0
kempsey,2023,2023-07-01,100.0
kempsey,2024,2024-07-01,85.0
kiama,2017,2017-07-01,50.0
kiama,2018,2018-07-01,50.0
kiama,2019,2019-07-01,52.0
kiama,2020,2020-07-01,50.0
kiama,2021,2021-07-01,50.0
kiama,2022,2022-07-01,75.0
kiama,2023,2023-07-01,100.0
kiama,2024,2024-07-01,85.0
kuringgai,2017,2017-07-01,50.0
kuringgai,2018,2018-07-01,50.0
kuringgai,2019,2019-07-01,52.0
kuringgai,2020,2020-07-01,50.0
kuringgai,2021,2021-07-01,50.0
kuringgai,2022,2022-07-01,75.0
kuringgai,2023,2023-07-01,100.0
kuringgai,2024,2024-07-01,85.0
kyogle,2017,2017-07-01,50.0
kyogle,2018,2018-07-01,50.0
kyogle,2019,2019-07-01,52.0
kyogle,2020,2020-07-01,50.0
kyogle,2021,2021-07-01,50.0
kyogle,2022,2022-07-01,75.0
kyogle,2023,2023-07-01,100.0
kyogle,2024,2024-07-01,85.0
lakemacquarie,2017,2017-07-01,50.0
lakemacquarie,2018,2018-07-01,50.0
lakemacquarie,2019,2019-07-01,52.0
lakemacquarie,2020,2020-07-01,50.0
lakemacquarie,2021,2021-07-01,50.0
lakemacquarie,2022,2022-07-01,75.0
lakemacquarie,2023,2023-07-01,100.0
lakemacquarie,2024,2024-07-01,85.0
lanecove,2017,2017-07-01,50.0
lanecove,2018,2018-07-01,50.0
lanecove,2019,2019-07-01,52.0
lanecove,2020,2020-07-01,50.0
lanecove,2021,2021-07-01,50.0
lanecove,2022,2022-07-01,75.0
lanecove,2023,2023-07-01,100.0
lanecove,2024,2024-07-01,85.0
leeton,2017,2017-07-01,50.0
leeton,2018,2018-07-01,50.0
leeton,2019,2019-07-01,52.0
leeton,2020,2020-07-01,50.0
leeton,2021,2021-07-01,50.0
leeton,2022,2022-07-01,75.0
leeton,2023,2023-07-01,100.0
leeton,2024,2024-07-01,85.0
lismore,2017,2017-07-01,50.0
lismore,2018,2018-07-01,50.0
lismore,2019,2019-07-01,52.0
lismore,2020,2020-07-01,50.0
lismore,2021,2021-07-01,50.0
lismore,2022,2022-07-01,75.0
lismore,2023,2023-07-01,100.0
lismore,2024,2024-07-01,85.0
lithgow,2017,2017-07-01,50.0
lithgow,2018,2018-07-01,50.0
lithgow,2019,2019-07-01,52.0
lithgow,2020,2020-07-01,50.0
lithgow,2021,2021-07-01,50.0
lithgow,2022,2022-07-01,75.0
lithgow,2023,2023-07-01,100.0
lithgow,2024,2024-07-01,85.0
liverpool,2017,2017-07-01,50.0
liverpool,2018,2018-07-01,50.0
liverpool,2019,2019-07-01,52.0
liverpool,2020,2020-07-01,50.0
liverpool,2021,2021-07-01,50.0
liverpool,2022,2022-07-01,75.0
liverpool,2023,2023-07-01,100.0
liverpool,2024,2024-07-01,85.0
liverpoolplains,2017,2017-07-01,50.0
liverpoolplains,2018,2018-07-01,50.0
liverpoolplains,2019,2019-07-01,52.0
liverpoolplains,2020,2020-07-01,50.0
liverpoolplains,2021,2021-07-01,50.0
liverpoolplains,2022,2022-07-01,75.0
liverpoolplains,2023,2023-07-01,100.0
liverpoolplains,2024,2024-07-01,85.0
lockhart,2017,2017-07-01,50.0
lockhart,2018,2018-07-01,50.0
lockhart,2019,2019-07-01,52.0
lockhart,2020,2020-07-01,50.0
lockhart,2021,2021-07-01,50.0
lockhart,2022,2022-07-01,75.0
lockhart,2023,2023-07-01,100.0
lockhart,2024,2024-07-01,85.0
maitland,2017,2017-07-01,50.0
maitland,2018,2018-07-01,50.0
maitland,2019,2019-07-01,52.0
maitland,2020,2020-07-01,50.0
maitland,2021,2021-07-01,50.0
maitland,2022,2022-07-01,75.0
maitland,2023,2023-07-01,100.0
maitland,2024,2024-07-01,85.0
midwestern,2017,2017-07-01,50.0
midwestern,2018,2018-07-01,50.0
midwestern,2019,2019-07-01,52.0
midwestern,2020,2020-07-01,50.0
midwestern,2021,2021-07-01,50.0
midwestern,2022,2022-07-01,75.0
midwestern,2023,2023-07-01,100.0
midwestern,2024,2024-07-01,85.0
moreeplains,2017,2017-07-01,50.0
moreeplains,2018,2018-07-01,50.0
moreeplains,2019,2019-07-01,52.0
moreeplains,2020,2020-07-01,50.0
moreeplains,2021,2021-07-01,50.0
moreeplains,2022,2022-07-01,75.0
moreeplains,2023,2023-07-01,100.0
moreeplains,2024,2024-07-01,85.0
mosman,2017,2017-07-01,50.0
mosman,2018,2018-07-01,50.0
mosman,2019,2019-07-01,52.0
mosman,2020,2020-07-01,50.0
mosman,2021,2021-07-01,50.0
mosman,2022,2022-07-01,75.0
mosman,2023,2023-07-01,100.0
mosman,2024,2024-07-01,85.0
muswellbrook,2017,2017-07-01,50.0
muswellbrook,2018,2018-07-01,50.0
muswellbrook,2019,2019-07-01,52.0
muswellbrook,2020,2020-07-01,50.0
muswellbrook,2021,2021-07-01,50.0
muswellbrook,2022,2022-07-01,75.0
muswellbrook,2023,2023-07-01,100.0
muswellbrook,2024,2024-07-01,85.0
nambuccavalley,2017,2017-07-01,50.0
nambuccavalley,2018,2018-07-01,50.0
nambuccavalley,2019,2019-07-01,52.0
nambuccavalley,2020,2020-07-01,50.0
nambuccavalley,2021,2021-07-01,50.0
nambuccavalley,2022,2022-07-01,75.0
nambuccavalley,2023,2023-07-01,100.0
nambuccavalley,2024,2024-07-01,85.0
narrabri,2017,2017-07-01,50.0
narrabri,2018,2018-07-01,50.0
narrabri,2019,2019-07-01,52.0
narrabri,2020,2020-07-01,50.0
narrabri,2021,2021-07-01,50.0
narrabri,2022,2022-07-01,75.0
narrabri,2023,2023-07-01,100.0
narrabri,2024,2024-07-01,85.0
narrandera,2017,2017-07-01,50.0
narrandera,2018,2018-07-01,50.0
narrandera,2019,2019-07-01,52.0
narrandera,2020,2020-07-01,50.0
narrandera,2021,2021-07-01,50.0
narrandera,2022,2022-07-01,75.0
narrandera,2023,2023-07-01,100.0
narrandera,2024,2024-07-01,85.0
narromine,2017,2017-07-01,50.0
narromine,2018,2018-07-01,50.0
narromine,2019,2019-07-01,52.0
narromine,2020,2020-07-01,50.0
narromine,2021,2021-07-01,50.0
narromine,2022,2022-07-01,75.0
narromine,2023,2023-07-01,100.0
narromine,2024,2024-07-01,85.0
newcastle,2017,2017-07-01,50.0
newcastle,2018,2018-07-01,50.0
newcastle,2019,2019-07-01,52.0
newcastle,2020,2020-07-01,50.0
newcastle,2021,2021-07-01,50.0
newcastle,2022,2022-07-01,75.0
newcastle,2023,2023-07-01,100.0
newcastle,2024,2024-07-01,85.0
northsydney,2017,2017-07-01,50.0
northsydney,2018,2018-07-01,50.0
northsydney,2019,2019-07-01,52.0
northsydney,2020,2020-07-01,50.0
northsydney,2021,2021-07-01,50.0
northsydney,2022,2022-07-01,75.0
northsydney,2023,2023-07-01,100.0
northsydney,2024,2024-07-01,85.0
oberon,2017,2017-07-01,50.0
oberon,2018,2018-07-01,50.0
oberon,2019,2019-07-01,52.0
oberon,2020,2020-07-01,50.0
oberon,2021,2021-07-01,50.0
oberon,2022,2022-07-01,75.0
oberon,2023,2023-07-01,100.0
oberon,2024,2024-07-01,85.0
orange,2017,2017-07-01,50.0
orange,2018,2018-07-01,50.0
orange,2019,2019-07-01,52.0
orange,2020,2020-07-01,50.0
orange,2021,2021-07-01,50.0
orange,2022,2022-07-01,75.0
orange,2023,2023-07-01,100.0
orange,2024,2024-07-01,85.0
parkes,2017,2017-07-01,50.0
parkes,2018,2018-07-01,50.0
parkes,2019,2019-07-01,52.0
parkes,2020,2020-07-01,50.0
parkes,2021,2021-07-01,50.0
parkes,2022,2022-07-01,75.0
parkes,2023,2023-07-01,100.0
parkes,2024,2024-07-01,85.0
penrith,2017,2017-07-01,50.0
penrith,2018,2018-07-01,50.0
penrith,2019,2019-07-01,52.0
penrith,2020,2020-07-01,50.0
penrith,2021,2021-07-01,50.0
penrith,2022,2022-07-01,75.0
penrith,2023,2023-07-01,100.0
penrith,2024,2024-07-01,85.0
portmacquariehastings,2017,2017-07-01,50.0
portmacquariehastings,2018,2018-07-01,50.0
portmacquariehastings,2019,2019-07-01,52.0
portmacquariehastings,2020,2020-07-01,50.0
portmacquariehastings,2021,2021-07-01,50.0
portmacquariehastings,2022,2022-07-01,75.0
portmacquariehastings,2023,2023-07-01,100.0
portmacquariehastings,2024,2024-07-01,85.0
portstephens,2017,2017-07-01,50.0
portstephens,2018,2018-07-01,50.0
portstephens,2019,2019-07-01,52.0
portstephens,2020,2020-07-01,50.0
portstephens,2021,2021-07-01,50.0
portstephens,2022,2022-07-01,75.0
portstephens,2023,2023-07-01,100.0
portstephens,2024,2024-07-01,85.0
randwick,2017,2017-07-01,50.0
randwick,2018,2018-07-01,50.0
randwick,2019,2019-07-01,52.0
randwick,2020,2020-07-01,50.0
randwick,2021,2021-07-01,50.0
randwick,2022,2022-07-01,75.0
randwick,2023,2023-07-01,100.0
randwick,2024,2024-07-01,85.0
richmondvalley,2017,2017-07-01,50.0
richmondvalley,2018,2018-07-01,50.0
richmondvalley,2019,2019-07-01,52.0
richmondvalley,2020,2020-07-01,50.0
richmondvalley,2021,2021-07-01,50.0
richmondvalley,2022,2022-07-01,75.0
richmondvalley,2023,2023-07-01,100.0
richmondvalley,2024,2024-07-01,85.0
ryde,2017,2017-07-01,50.0
ryde,2018,2018-07-01,50.0
ryde,2019,2019-07-01,52.0
ryde,2020,2020-07-01,50.0
ryde,2021,2021-07-01,50.0
ryde,2022,2022-07-01,75.0
ryde,2023,2023-07-01,100.0
ryde,2024,2024-07-01,85.0
shellharbour,2017,2017-07-01,50.0
shellharbour,2018,2018-07-01,50.0
shellharbour,2019,2019-07-01,52.0
shellharbour,2020,2020-07-01,50.0
shellharbour,2021,2021-07-01,50.0
shellharbour,2022,2022-07-01,75.0
shellharbour,2023,2023-07-01,100.0
shellharbour,2024,2024-07-01,85.0
shoalhaven,2017,2017-07-01,50.0
shoalhaven,2018,2018-07-01,50.0
shoalhaven,2019,2019-07-01,52.0
shoalhaven,2020,2020-07-01,50.0
shoalhaven,2021,2021-07-01,50.0
shoalhaven,2022,2022-07-01,75.0
shoalhaven,2023,2023-07-01,100.0
shoalhaven,2024,2024-07-01,85.0
singleton,2017,2017-07-01,50.0
singleton,2018,2018-07-01,50.0
singleton,2019,2019-07-01,52.0
singleton,2020,2020-07-01,50.0
singleton,2021,2021-07-01,50.0
singleton,2022,2022-07-01,75.0
singleton,2023,2023-07-01,100.0
singleton,2024,2024-07-01,85.0
strathfield,2017,2017-07-01,50.0
strathfield,2018,2018-07-01,50.0
strathfield,2019,2019-07-01,52.0
strathfield,2020,2020-07-01,50.0
strathfield,2021,2021-07-01,50.0
strathfield,2022,2022-07-01,75.0
strathfield,2023,2023-07-01,100.0
strathfield,2024,2024-07-01,85.0
sutherland,2017,2017-07-01,50.0
sutherland,2018,2018-07-01,50.0
sutherland,2019,2019-07-01,52.0
sutherland,2020,2020-07-01,50.0
sutherland,2021,2021-07-01,50.0
sutherland,2022,2022-07-01,75.0
sutherland,2023,2023-07-01,100.0
sutherland,2024,2024-07-01,85.0
sydney,2017,2017-07-01,50.0
sydney,2018,2018-07-01,50.0
sydney,2019,2019-07-01,52.0
sydney,2020,2020-07-01,50.0
sydney,2021,2021-07-01,50.0
sydney,2022,2022-07-01,75.0
sydney,2023,2023-07-01,100.0
sydney,2024,2024-07-01,85.0
tamworth,2017,2017-07-01,50.0
tamworth,2018,2018-07-01,50.0
tamworth,2019,2019-07-01,52.0
tamworth,2020,2020-07-01,50.0
tamworth,2021,2021-07-01,50.0
tamworth,2022,2022-07-01,75.0
tamworth,2023,2023-07-01,100.0
tamworth,2024,2024-07-01,85.0
temora,2017,2017-07-01,50.0
temora,2018,2018-07-01,50.0
temora,2019,2019-07-01,52.0
temora,2020,2020-07-01,50.0
temora,2021,2021-07-01,50.0
temora,2022,2022-07-01,75.0
temora,2023,2023-07-01,100.0
temora,2024,2024-07-01,85.0
tenterfield,2017,2017-07-01,50.0
tenterfield,2018,2018-07-01,50.0
tenterfield,2019,2019-07-01,52.0
tenterfield,2020,2020-07-01,50.0
tenterfield,2021,2021-07-01,50.0
tenterfield,2022,2022-07-01,75.0
tenterfield,2023,2023-07-01,100.0
tenterfield,2024,2024-07-01,85.0
tweed,2017,2017-07-01,50.0
tweed,2018,2018-07-01,50.0
tweed,2019,2019-07-01,52.0
tweed,2020,2020-07-01,50.0
tweed,2021,2021-07-01,50.0
tweed,2022,2022-07-01,75.0
tweed,2023,2023-07-01,100.0
tweed,2024,2024-07-01,85.0
upperhunter,2017,2017-07-01,50.0
upperhunter,2018,2018-07-01,50.0
upperhunter,2019,2019-07-01,52.0
upperhunter,2020,2020-07-01,50.0
upperhunter,2021,2021-07-01,50.0
upperhunter,2022,2022-07-01,75.0
upperhunter,2023,2023-07-01,100.0
upperhunter,2024,2024-07-01,85.0
upperlachlan,2017,2017-07-01,50.0
upperlachlan,2018,2018-07-01,50.0
upperlachlan,2019,2019-07-01,52.0
upperlachlan,2020,2020-07-01,50.0
upperlachlan,2021,2021-07-01,50.0
upperlachlan,2022,2022-07-01,75.0
upperlachlan,2023,2023-07-01,100.0
upperlachlan,2024,2024-07-01,85.0
uralla,2017,2017-07-01,50.0
uralla,2018,2018-07-01,50.0
uralla,2019,2019-07-01,52.0
uralla,2020,2020-07-01,50.0
uralla,2021,2021-07-01,50.0
uralla,2022,2022-07-01,75.0
uralla,2023,2023-07-01,100.0
uralla,2024,2024-07-01,85.0
waggawagga,2017,2017-07-01,50.0
waggawagga,2018,2018-07-01,50.0
waggawagga,2019,2019-07-01,52.0
waggawagga,2020,2020-07-01,50.0
waggawagga,2021,2021-07-01,50.0
waggawagga,2022,2022-07-01,75.0
waggawagga,2023,2023-07-01,100.0
waggawagga,2024,2024-07-01,85.0
walcha,2017,2017-07-01,50.0
walcha,2018,2018-07-01,50.0
walcha,2019,2019-07-01,52.0
walcha,2020,2020-07-01,50.0
walcha,2021,2021-07-01,50.0
walcha,2022,2022-07-01,75.0
walcha,2023,2023-07-01,100.0
walcha,2024,2024-07-01,85.0
walgett,2017,2017-07-01,50.0
