variable,unit,definition,caveat,measurement_role,predictor_approval,source
operating_definition_regime,source/metadata,operating definition regime,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
debt_service_cover_requires_review,boolean; missing is unknown,debt service cover requires review,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
road_scope,source/metadata,road scope,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
road_km,km,Local and regional road length only; earlier broader-scope measure withheld,No invented conversion from all roads,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_gap_aud,nominal AUD,Actual less required maintenance; negative is shortfall,No inflation adjustment; not a causal crowd-out measure,"Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_calculated_pct,percent,"100 times actual/required maintenance, only for positive denominator",Arithmetic does not harmonise engineering need,"Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_difference_pp,percentage points,maintenance difference pp,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_conflict,boolean; missing is unknown,maintenance conflict,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_ratio_pct,percent,Calculated adequacy if reported/calculated difference <=1pp; conflicts withheld,Threshold accommodates integer rounding; no favourable-outcome trimming,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_basis,source/metadata,maintenance basis,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_burned_ha,hectares,fesm burned ha,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_burned_pct_raw,percent; inherited source definition,fesm burned pct raw,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_extent_only_ha,hectares,fesm extent only ha,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_min_fire_size_ha_exclusive,hectares,fesm min fire size ha exclusive,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_source_file,source/metadata,fesm source file,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_excel_total_row,1-based Excel row,fesm excel total row,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
fesm_status,source/metadata,fesm status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
boundary_change_flag,boolean; missing is unknown,boundary change flag,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
boundary_compatibility,source/metadata,boundary compatibility,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
physical_flood_status,source/metadata,physical flood status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
verified_zero_all_disaster_exposure,boolean; missing is unknown,verified zero all disaster exposure,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
bushfire_declared_event_count,event/record count; see inherited source definition,bushfire declared event count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
bushfire_agrns,source/metadata,bushfire agrns,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
bushfire_declaration_status,source/metadata,bushfire declaration status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
flood_declared_event_count,event/record count; see inherited source definition,flood declared event count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
flood_agrns,source/metadata,flood agrns,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
flood_declaration_status,source/metadata,flood declaration status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
all_declared_event_count,event/record count; see inherited source definition,all declared event count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
all_declaration_status,source/metadata,all declaration status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
source_list_disagreement_count,event/record count; see inherited source definition,source list disagreement count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
open_ended_onset_event_count,event/record count; see inherited source definition,open ended onset event count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
known_prior_year_carryover_count,event/record count; see inherited source definition,known prior year carryover count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
prior_fy_declared_event_count,event/record count; see inherited source definition,prior fy declared event count,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
direct_infrastructure_damage_documented,boolean; missing is unknown,direct infrastructure damage documented,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
direct_infrastructure_evidence_ids,source/metadata,direct infrastructure evidence ids,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
exposure_coverage_status,source/metadata,exposure coverage status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
rates_annual_charges_aud,nominal AUD,rates annual charges aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
user_charges_fees_aud,nominal AUD,user charges fees aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
other_revenue_aud,nominal AUD,other revenue aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
operating_grants_aud,nominal AUD,operating grants aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
capital_grants_aud,nominal AUD,capital grants aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
interest_investment_aud,nominal AUD,interest investment aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
employee_cost_aud,nominal AUD,employee cost aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
materials_services_aud,nominal AUD,materials services aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
borrowing_cost_aud,nominal AUD,borrowing cost aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
depreciation_impairment_aud,nominal AUD,depreciation impairment aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
other_expense_aud,nominal AUD,other expense aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
statement_total_revenue_aud,nominal AUD,statement total revenue aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
statement_total_expenses_aud,nominal AUD,statement total expenses aud,Sparse audited-statement transcription; publication date unverified; realised target values would leak,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
operating_revenue_ex_capital_aud,nominal AUD,Audited-statement total revenue less capital grants from the same statement vintage,Not adjusted OP denominator,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
candidate_only,boolean; missing is unknown,candidate only,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
strict_asof_predictor_panel,boolean; missing is unknown,strict asof predictor panel,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
