target,test_year,model,node,n,prediction
cash_cover_months,2023,fiscal_only_tree,12,24,30.73065
cash_cover_months,2023,change_tree,1,35,3.5660485714285723
cash_cover_months,2023,change_tree,4,21,4.045809523809523
cash_cover_months,2023,change_tree,5,143,0.9583594405594406
cash_cover_months,2023,change_tree,7,78,-2.493460256410257
cash_cover_months,2023,change_tree,8,91,0.5723175824175822
maintenance_ratio_pct,2021,full_level_tree,2,38,94.6999047440316
maintenance_ratio_pct,2021,full_level_tree,4,28,97.92206079056557
maintenance_ratio_pct,2021,full_level_tree,5,33,108.79824804199862
maintenance_ratio_pct,2021,full_level_tree,6,20,138.08599357359566
maintenance_ratio_pct,2021,fiscal_only_tree,2,38,94.69990474403163
maintenance_ratio_pct,2021,fiscal_only_tree,4,28,97.92206079056557
maintenance_ratio_pct,2021,fiscal_only_tree,5,33,108.79824804199862
maintenance_ratio_pct,2021,fiscal_only_tree,6,20,138.08599357359566
maintenance_ratio_pct,2021,change_tree,1,20,24.88884055453964
maintenance_ratio_pct,2021,change_tree,4,20,17.567875219805824
maintenance_ratio_pct,2021,change_tree,5,58,3.494976308950979
maintenance_ratio_pct,2021,change_tree,6,21,-23.06703324625911
maintenance_ratio_pct,2022,full_level_tree,3,20,90.45235873219859
maintenance_ratio_pct,2022,full_level_tree,4,121,98.56625725000457
maintenance_ratio_pct,2022,full_level_tree,6,55,108.9386081631951
maintenance_ratio_pct,2022,full_level_tree,7,22,101.4207349323497
maintenance_ratio_pct,2022,full_level_tree,8,21,147.10980656615624
maintenance_ratio_pct,2022,fiscal_only_tree,3,20,90.45235873219859
maintenance_ratio_pct,2022,fiscal_only_tree,4,121,98.56625725000461
maintenance_ratio_pct,2022,fiscal_only_tree,6,55,108.93860816319508
maintenance_ratio_pct,2022,fiscal_only_tree,7,22,101.42073493234967
maintenance_ratio_pct,2022,fiscal_only_tree,8,21,147.1098065661562
maintenance_ratio_pct,2022,change_tree,2,39,22.409896078894057
maintenance_ratio_pct,2022,change_tree,4,20,21.174109477311283
maintenance_ratio_pct,2022,change_tree,5,160,-0.307093405864876
maintenance_ratio_pct,2022,change_tree,6,20,-54.4290642816052
maintenance_ratio_pct,2023,full_level_tree,3,113,102.87060393578632
maintenance_ratio_pct,2023,full_level_tree,4,150,96.62727456901023
maintenance_ratio_pct,2023,full_level_tree,6,38,113.26718103681094
maintenance_ratio_pct,2023,full_level_tree,7,24,102.91692663961737
maintenance_ratio_pct,2023,full_level_tree,8,36,137.91519648583392
maintenance_ratio_pct,2023,fiscal_only_tree,3,113,102.87060393578628
maintenance_ratio_pct,2023,fiscal_only_tree,4,150,96.62727456901018
maintenance_ratio_pct,2023,fiscal_only_tree,6,38,113.26718103681094
maintenance_ratio_pct,2023,fiscal_only_tree,7,24,102.91692663961733
maintenance_ratio_pct,2023,fiscal_only_tree,8,36,137.91519648583392
maintenance_ratio_pct,2023,change_tree,3,33,18.427809798399707
maintenance_ratio_pct,2023,change_tree,4,21,37.01580859913572
maintenance_ratio_pct,2023,change_tree,6,141,5.366651098239454
maintenance_ratio_pct,2023,change_tree,7,145,-3.6453595875144518
maintenance_ratio_pct,2023,change_tree,8,21,-78.67637294097304
maintenance_ratio_pct,2024,full_level_tree,3,26,102.27086599297681
maintenance_ratio_pct,2024,full_level_tree,4,31,126.78371548454939
maintenance_ratio_pct,2024,full_level_tree,6,22,82.60698088716634
maintenance_ratio_pct,2024,full_level_tree,7,328,100.05834856129556
maintenance_ratio_pct,2024,full_level_tree,9,25,111.72792864157799
maintenance_ratio_pct,2024,full_level_tree,11,27,160.94526890096697
maintenance_ratio_pct,2024,full_level_tree,12,22,123.07892379499363
maintenance_ratio_pct,2024,fiscal_only_tree,3,26,102.27086599297681
maintenance_ratio_pct,2024,fiscal_only_tree,4,31,126.78371548454942
maintenance_ratio_pct,2024,fiscal_only_tree,6,22,82.60698088716634
maintenance_ratio_pct,2024,fiscal_only_tree,7,328,100.05834856129546
maintenance_ratio_pct,2024,fiscal_only_tree,9,25,111.72792864157799
maintenance_ratio_pct,2024,fiscal_only_tree,11,27,160.94526890096694
maintenance_ratio_pct,2024,fiscal_only_tree,12,22,123.07892379499363
maintenance_ratio_pct,2024,change_tree,3,20,39.86833420897758
maintenance_ratio_pct,2024,change_tree,4,53,18.701150266300957
maintenance_ratio_pct,2024,change_tree,6,67,12.796676078467597
maintenance_ratio_pct,2024,change_tree,7,315,-0.0863792528846761
maintenance_ratio_pct,2024,change_tree,8,26,-68.2588402718993
