target,test_year,split,feature,n,missing_n
cash_cover_months,2023,train,debt_service_cover__prior,368,0
cash_cover_months,2023,train,maintenance_ratio_pct__prior,368,5
cash_cover_months,2023,train,population__prior,368,0
cash_cover_months,2023,train,road_km__prior,368,0
cash_cover_months,2023,train,fesm_burned_ha__event,368,0
cash_cover_months,2023,train,bushfire_declared_event_count__event,368,0
cash_cover_months,2023,train,flood_declared_event_count__event,368,0
cash_cover_months,2023,test,operating_ratio_pct__prior,124,0
cash_cover_months,2023,test,cash_cover_months__prior,124,0
cash_cover_months,2023,test,current_ratio__prior,124,0
cash_cover_months,2023,test,own_source_pct__prior,124,0
cash_cover_months,2023,test,debt_service_cover__prior,124,0
cash_cover_months,2023,test,maintenance_ratio_pct__prior,124,2
cash_cover_months,2023,test,population__prior,124,0
cash_cover_months,2023,test,road_km__prior,124,0
cash_cover_months,2023,test,fesm_burned_ha__event,124,0
cash_cover_months,2023,test,bushfire_declared_event_count__event,124,0
cash_cover_months,2023,test,flood_declared_event_count__event,124,0
maintenance_ratio_pct,2021,train,operating_ratio_pct__prior,119,0
maintenance_ratio_pct,2021,train,cash_cover_months__prior,119,0
maintenance_ratio_pct,2021,train,current_ratio__prior,119,0
maintenance_ratio_pct,2021,train,own_source_pct__prior,119,0
maintenance_ratio_pct,2021,train,debt_service_cover__prior,119,0
maintenance_ratio_pct,2021,train,maintenance_ratio_pct__prior,119,0
maintenance_ratio_pct,2021,train,population__prior,119,0
maintenance_ratio_pct,2021,train,road_km__prior,119,0
maintenance_ratio_pct,2021,train,fesm_burned_ha__event,119,0
maintenance_ratio_pct,2021,train,bushfire_declared_event_count__event,119,0
maintenance_ratio_pct,2021,train,flood_declared_event_count__event,119,0
maintenance_ratio_pct,2021,test,operating_ratio_pct__prior,122,0
maintenance_ratio_pct,2021,test,cash_cover_months__prior,122,0
maintenance_ratio_pct,2021,test,current_ratio__prior,122,0
maintenance_ratio_pct,2021,test,own_source_pct__prior,122,0
maintenance_ratio_pct,2021,test,debt_service_cover__prior,122,0
maintenance_ratio_pct,2021,test,maintenance_ratio_pct__prior,122,0
maintenance_ratio_pct,2021,test,population__prior,122,0
maintenance_ratio_pct,2021,test,road_km__prior,122,0
maintenance_ratio_pct,2021,test,fesm_burned_ha__event,122,0
maintenance_ratio_pct,2021,test,bushfire_declared_event_count__event,122,0
maintenance_ratio_pct,2021,test,flood_declared_event_count__event,122,0
maintenance_ratio_pct,2022,train,operating_ratio_pct__prior,239,0
maintenance_ratio_pct,2022,train,cash_cover_months__prior,239,0
maintenance_ratio_pct,2022,train,current_ratio__prior,239,0
maintenance_ratio_pct,2022,train,own_source_pct__prior,239,0
maintenance_ratio_pct,2022,train,debt_service_cover__prior,239,0
maintenance_ratio_pct,2022,train,maintenance_ratio_pct__prior,239,0
maintenance_ratio_pct,2022,train,population__prior,239,0
maintenance_ratio_pct,2022,train,road_km__prior,239,0
maintenance_ratio_pct,2022,train,fesm_burned_ha__event,239,0
maintenance_ratio_pct,2022,train,bushfire_declared_event_count__event,239,0
maintenance_ratio_pct,2022,train,flood_declared_event_count__event,239,0
maintenance_ratio_pct,2022,test,operating_ratio_pct__prior,120,0
maintenance_ratio_pct,2022,test,cash_cover_months__prior,120,0
maintenance_ratio_pct,2022,test,current_ratio__prior,120,0
maintenance_ratio_pct,2022,test,own_source_pct__prior,120,0
maintenance_ratio_pct,2022,test,debt_service_cover__prior,120,0
maintenance_ratio_pct,2022,test,maintenance_ratio_pct__prior,120,0
maintenance_ratio_pct,2022,test,population__prior,120,0
maintenance_ratio_pct,2022,test,road_km__prior,120,0
maintenance_ratio_pct,2022,test,fesm_burned_ha__event,120,0
maintenance_ratio_pct,2022,test,bushfire_declared_event_count__event,120,0
maintenance_ratio_pct,2022,test,flood_declared_event_count__event,120,0
maintenance_ratio_pct,2023,train,operating_ratio_pct__prior,361,0
maintenance_ratio_pct,2023,train,cash_cover_months__prior,361,0
maintenance_ratio_pct,2023,train,current_ratio__prior,361,0
maintenance_ratio_pct,2023,train,own_source_pct__prior,361,0
maintenance_ratio_pct,2023,train,debt_service_cover__prior,361,0
maintenance_ratio_pct,2023,train,maintenance_ratio_pct__prior,361,0
maintenance_ratio_pct,2023,train,population__prior,361,0
maintenance_ratio_pct,2023,train,road_km__prior,361,0
maintenance_ratio_pct,2023,train,fesm_burned_ha__event,361,0
maintenance_ratio_pct,2023,train,bushfire_declared_event_count__event,361,0
maintenance_ratio_pct,2023,train,flood_declared_event_count__event,361,0
maintenance_ratio_pct,2023,test,operating_ratio_pct__prior,122,0
maintenance_ratio_pct,2023,test,cash_cover_months__prior,122,0
maintenance_ratio_pct,2023,test,current_ratio__prior,122,0
maintenance_ratio_pct,2023,test,own_source_pct__prior,122,0
maintenance_ratio_pct,2023,test,debt_service_cover__prior,122,0
maintenance_ratio_pct,2023,test,maintenance_ratio_pct__prior,122,0
maintenance_ratio_pct,2023,test,population__prior,122,0
maintenance_ratio_pct,2023,test,road_km__prior,122,0
maintenance_ratio_pct,2023,test,fesm_burned_ha__event,122,0
maintenance_ratio_pct,2023,test,bushfire_declared_event_count__event,122,0
maintenance_ratio_pct,2023,test,flood_declared_event_count__event,122,0
maintenance_ratio_pct,2024,train,operating_ratio_pct__prior,481,0
maintenance_ratio_pct,2024,train,cash_cover_months__prior,481,0
maintenance_ratio_pct,2024,train,current_ratio__prior,481,0
maintenance_ratio_pct,2024,train,own_source_pct__prior,481,0
maintenance_ratio_pct,2024,train,debt_service_cover__prior,481,0
maintenance_ratio_pct,2024,train,maintenance_ratio_pct__prior,481,0
maintenance_ratio_pct,2024,train,population__prior,481,0
maintenance_ratio_pct,2024,train,road_km__prior,481,0
maintenance_ratio_pct,2024,train,fesm_burned_ha__event,481,0
maintenance_ratio_pct,2024,train,bushfire_declared_event_count__event,481,0
maintenance_ratio_pct,2024,train,flood_declared_event_count__event,481,0
maintenance_ratio_pct,2024,test,operating_ratio_pct__prior,121,0
maintenance_ratio_pct,2024,test,cash_cover_months__prior,121,0
maintenance_ratio_pct,2024,test,current_ratio__prior,121,0
maintenance_ratio_pct,2024,test,own_source_pct__prior,121,0
maintenance_ratio_pct,2024,test,debt_service_cover__prior,121,0
maintenance_ratio_pct,2024,test,maintenance_ratio_pct__prior,121,0
maintenance_ratio_pct,2024,test,population__prior,121,0
maintenance_ratio_pct,2024,test,road_km__prior,121,0
maintenance_ratio_pct,2024,test,fesm_burned_ha__event,121,0
maintenance_ratio_pct,2024,test,bushfire_declared_event_count__event,121,0
maintenance_ratio_pct,2024,test,flood_declared_event_count__event,121,0
