council,council_key,year_start,financial_year,fiscal_source_file,fiscal_source_sheet,fiscal_excel_row,actual_maintenance_aud,required_maintenance_aud,maintenance_gap_aud,maintenance_ratio_pct,outcome_observed,outcome_quality_eligible,maintenance_conflict,cash_cover_months,current_ratio,operating_ratio_pct,own_source_pct,grants_pct,debt_service_cover,population,area_km2,road_km,road_expenditure_aud,classification,fesm_burned_ha,fesm_burned_pct_raw,fesm_extent_only_ha,fesm_min_fire_size_ha_exclusive,fesm_source_file,fesm_excel_total_row,fesm_status,boundary_change_flag,boundary_compatibility,physical_flood_status,verified_zero_all_disaster_exposure,bushfire_declared_event_count,bushfire_agrns,bushfire_declaration_status,flood_declared_event_count,flood_agrns,flood_declaration_status,all_declared_event_count,all_agrns,all_declaration_status,source_list_disagreement_count,open_ended_onset_event_count,known_prior_year_carryover_count,prior_fy_declared_event_count,declaration_vs_fesm_scope_difference,candidate_no_new_declared_event,candidate_strict_scoped_comparison,direct_infrastructure_damage_documented,direct_infrastructure_evidence_ids
Armidale Regional,armidale,2021,2021-22,time-series-data-2021-22.xlsx,Councils,5,25623000.0,24610000.0,-1013000.0,104.1162129215766,True,True,False,18.9649,2.266,8.04,66.92,33.006807694064975,6.6982,29332,7809.4,1857.96,0.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,12.0,verified_zero_mapped_burn_within_source_scope,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1012,listed_event_onset,2,979|1012,listed_event_onset,0.0,2.0,0.0,3.0,False,False,False,,
Armidale Regional,armidale,2022,2022-23,time-series-data-2022-23.xlsx,Councils,5,23971000.0,25583000.0,1612000.0,93.69894070281046,True,True,False,16.2517,3.8897,7.85,54.89,44.77423586701555,6.6053,29360,7809.4,1858.05,18912000.0,Regional Town/City,259.57,0.02,153.13,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,14.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
Armidale Regional,armidale,2023,2023-24,time-series-data-2023-24.xlsx,Councils ,5,22956000.0,28695000.0,5739000.0,80.0,True,True,False,20.448,6.9519,8.07,63.33,36.67210611413857,7.0906,29646,7809.4,1860.96,13548000.0,Regional Town/City,7141.42,0.8300000000000001,827.56,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,14.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,2,1071|1112,listed_event_onset,1,1119,listed_event_onset,3,1071|1112|1119,listed_event_onset,0.0,2.0,0.0,0.0,False,False,False,,
Armidale Regional,armidale,2024,2024-25,time-series-data-2024-2025.xlsx,Councils ,5,0.0,0.0,0.0,,False,False,False,,,,,34.88225990036808,,29646,7809.4,1860.96,9986000.0,Regional Town/City,,,,,,,unknown_source_not_acquired,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1198|1212,listed_event_onset,2,1198|1212,listed_event_onset,0.0,2.0,0.0,3.0,False,False,False,,
Ballina,ballina,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),6,6786973.03,7004333.333,217360.30299999937,96.89677385889196,True,True,False,10.01,4.84,3.12,59.66,39.96559932234541,2.38,43457,484.9,693.0909999999999,11211000.0,Regional Town/City,369.85,0.7399999999999999,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,17.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,1,784,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Ballina,ballina,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,6,6697000.0,6436000.0,-261000.0,104.05531385954008,True,True,False,12.69,3.21,6.96,63.72,36.28,2.69,44208,484.9,699.2380999999999,11215000.0,Regional Town/City,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,834,listed_event_onset,1,834,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Ballina,ballina,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,6,7084000.0,7481000.0,397000.0,94.6932228311723,True,True,False,9.99,2.59,3.39,69.59,30.41,2.59,44628,484.9,703.757,15485000.0,Regional Town/City,924.35,1.87,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,17.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,871,listed_event_onset,1,898,listed_event_onset,2,871|898,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
Ballina,ballina,2020,2020-21,time-series-data-2020-2021.xlsx,Councils,6,7176000.0,7266000.0,90000.0,98.76135425268372,True,True,False,13.12,2.7,5.37,64.08,35.389745150668254,3.18,45217,484.9,714.8335,17333000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,943|960,listed_event_onset,2,943|960,listed_event_onset,0.0,2.0,0.0,2.0,False,False,False,,
Ballina,ballina,2021,2021-22,time-series-data-2021-22.xlsx,Councils,6,7741000.0,8175000.0,434000.0,94.69113149847097,True,True,False,12.6676,2.6347,0.48,65.71,34.22091437594201,2.855,46172,485.0,715.2589999999999,16330000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1012,listed_event_onset,1,1012,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
Ballina,ballina,2022,2022-23,time-series-data-2022-23.xlsx,Councils,6,9782000.0,9325000.0,-457000.0,104.90080428954424,True,True,False,11.5415,2.6055,2.61,69.17,29.73925850619432,3.199,46850,485.0,716.774,16697000.0,Regional Town/City,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,20.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
Ballina,ballina,2023,2023-24,time-series-data-2023-24.xlsx,Councils ,6,9101000.0,9860000.0,759000.0,92.30223123732252,True,True,False,10.768,2.1097,4.14,69.37,30.43713826776472,2.5272,47935,485.0,718.901,22538000.0,Regional Town/City,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,20.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Ballina,ballina,2024,2024-25,time-series-data-2024-2025.xlsx,Councils ,6,9300000.0,10765000.0,1465000.0,86.39108221086856,True,True,False,,,,,21.53201098643188,,47935,485.0,719.3240000000001,15394000.0,Regional Town/City,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1198,listed_event_onset,1,1198,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
Balranald,balranald,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),7,2877000.0,2646000.0,-231000.0,108.73015873015872,True,True,False,11.03,4.64,-5.95,39.82,60.18132753583158,7.23,2341,21690.7,1586.95,4179000.0,Rural,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
Balranald,balranald,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,7,2739000.0,2863000.0,124000.0,95.66887879846315,True,True,False,11.94,3.78,-3.35,35.07,64.93,11.45,2340,21690.7,1593.0200000000002,4992000.0,Rural,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Balranald,balranald,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,7,3188000.0,2562000.0,-626000.0,124.43403590944574,True,True,False,12.64,5.72,-2.65,35.48,64.52000000000001,12.22,2338,21690.7,1593.14,5669000.0,Rural,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Balranald,balranald,2020,2020-21,time-series-data-2020-2021.xlsx,Councils,7,2670000.0,2567000.0,-103000.0,104.01246591351772,True,True,False,20.51,6.14,6.35,34.73,65.27494375555905,16.73,2306,21690.7,1593.14,,Rural,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Balranald,balranald,2021,2021-22,time-series-data-2021-22.xlsx,Councils,7,2258000.0,2435000.0,177000.0,92.73100616016428,True,True,False,24.658,7.1456,11.99,35.46,64.53982985305491,24.3495,2207,21690.7,1593.1,5023000.0,Rural,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,987,listed_event_onset,1,987,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
Balranald,balranald,2022,2022-23,time-series-data-2022-23.xlsx,Councils,7,3953000.0,2129000.0,-1824000.0,185.67402536402068,True,True,False,26.0338,12.4906,20.61,32.98,67.02459437053413,34.1792,2210,21690.7,1593.11,6658000.0,Rural,175.85,0.01,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,26.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1034,listed_event_onset,1,1034,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Balranald,balranald,2023,2023-24,time-series-data-2023-24.xlsx,Councils ,7,9875000.0,5464000.0,-4411000.0,180.72840409956075,True,True,False,20.9322,16.5063,1.06,39.36,60.01061383336281,21.8947,2219,21690.7,1593.11,12210000.0,Rural,3988.69,0.18,132.56,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,26.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
Balranald,balranald,2024,2024-25,time-series-data-2024-2025.xlsx,Councils ,7,7752000.0,3778000.0,-3974000.0,205.18793012175755,True,True,False,,,,,62.80211480362537,,2219,21690.7,1593.11,10098000.0,Rural,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
Bathurst Regional,bathurst,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),8,15995000.0,19628000.0,3633000.0,81.490727532097,True,True,False,10.47,1.14,-6.92,69.3,30.69639875114029,3.66,42779,3817.9,1352.48,15959000.0,Regional Town/City,305.25,0.08,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,27.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,804,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,804,listed_event_onset,0.0,1.0,0.0,3.0,False,False,False,,
Bathurst Regional,bathurst,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,8,28650000.0,19576000.0,-9074000.0,146.35267674703718,True,True,False,8.9,0.87,-15.36,68.29,31.71,2.17,43206,3817.9,1355.64,16341000.0,Regional Town/City,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,845,listed_event_onset,1,845,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Bathurst Regional,bathurst,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,8,34431000.0,21606000.0,-12825000.0,159.3585115245765,True,True,False,7.81,0.95,-21.84,71.37,28.629999999999995,1.05,43618,3817.9,1357.0,16799000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,898,listed_event_onset,1,898,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Bathurst Regional,bathurst,2020,2020-21,time-series-data-2020-2021.xlsx,Councils,8,14887000.0,27172000.0,12285000.0,54.78801707640218,True,True,False,10.24,1.47,-25.35,73.85,23.12657496630305,1.71,43996,3817.9,1360.66,24066000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,960,listed_event_onset,1,960,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Bathurst Regional,bathurst,2021,2021-22,time-series-data-2021-22.xlsx,Councils,8,15454000.0,23470000.0,8016000.0,65.84576054537708,True,True,False,12.2047,1.1488,-20.8,70.46,27.56913954279604,2.4637,43653,3817.9,1369.58,22573000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,987,listed_event_onset,1,987,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
Bathurst Regional,bathurst,2022,2022-23,time-series-data-2022-23.xlsx,Councils,8,20981000.0,18137000.0,-2844000.0,115.68065280917462,True,True,False,9.2174,0.9561,-19.94,71.7,27.36495438543362,2.034,44112,3817.9,1374.39,26669000.0,Regional Town/City,1760.97,0.45,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,32.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,1052,listed_event_onset,1,1034,listed_event_onset,2,1034|1052,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
Bathurst Regional,bathurst,2023,2023-24,time-series-data-2023-24.xlsx,Councils ,8,20684000.0,23824000.0,3140000.0,86.82001343183344,True,True,False,5.9722,0.5943,-8.5,65.38,34.43737095664143,2.6952,44939,3817.9,1370.32,25600000.0,Regional Town/City,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,32.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
Bathurst Regional,bathurst,2024,2024-25,time-series-data-2024-2025.xlsx,Councils ,8,17567000.0,28674000.0,11107000.0,61.26456022877869,True,True,False,,,,,20.85740059070871,,44939,3817.9,1229.3,14494000.0,Regional Town/City,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,1193,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,1193,listed_event_onset,0.0,0.0,0.0,0.0,False,False,False,,
Bayside,bayside,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),9,,,,,False,False,False,,,,,,,170089,49.9,364.79,,Metropolitan,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,32.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
Bayside,bayside,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,9,17373000.0,18220000.0,847000.0,95.35126234906696,True,True,False,29.7,4.7,4.6,78.1,21.9,25.7,174378,49.9,364.79,6403000.0,Metropolitan,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,32.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Bayside,bayside,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,9,19722000.0,20360000.0,638000.0,96.8664047151277,True,True,False,32.23,3.62,2.33,75.0,21.9,23.76,178396,49.9,365.18,7754000.0,Metropolitan,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,32.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,898,listed_event_onset,1,898,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
