source_csv_row,council_key,agrn,event_start,capacity_financial_year,capacity_period_end,lag_days,publication_before_event_verified,operating_ratio_pct,cash_cover_months,current_ratio,own_source_pct,grants_pct,debt_service_cover,debt_service_ratio_pct,population,road_km
73,bogan,916,2020-02-26,2018-19,2019-06-30,241,False,2.05,9.49,7.82,50.98,49.02,23.71,0.9566487085242434,2621,1616.63
74,bogan,917,2020-04-03,2018-19,2019-06-30,278,False,2.05,9.49,7.82,50.98,49.02,23.71,0.9566487085242434,2621,1616.63
75,bogan,960,2021-03-10,2019-20,2020-06-30,253,False,-3.81,9.95,5.44,48.04,51.96,17.54,1.0449432211974197,2580,1616.63
76,bogan,987,2021-11-09,2020-21,2021-06-30,132,False,2.71,9.32,2.94,50.77,49.035440386499545,25.22,0.7854887035387481,2529,1616.63
77,bogan,1025,2022-06-27,2020-21,2021-06-30,362,False,2.71,9.32,2.94,50.77,49.035440386499545,25.22,0.7854887035387481,2529,1616.63
78,bogan,1034,2022-09-14,2021-22,2022-06-30,76,False,7.79,8.9928,2.5403,42.57,57.31727667148737,35.1198,0.6823270194392125,2481,1613.82
79,bogan,1052,2023-03-06,2021-22,2022-06-30,249,False,7.79,8.9928,2.5403,42.57,57.31727667148737,35.1198,0.6823270194392125,2481,1613.82
80,bourke,916,2020-02-26,2018-19,2019-06-30,241,False,2.63,17.65,4.32,24.94,75.06,6.4,4.825622775800712,2630,2453.86
81,bourke,987,2021-11-09,2020-21,2021-06-30,132,False,4.71,17.91,4.74,28.95,70.9891150023663,6.66,5.285020975569631,2625,2454.8599999999997
82,bourke,1025,2022-06-27,2020-21,2021-06-30,362,False,4.71,17.91,4.74,28.95,70.9891150023663,6.66,5.285020975569631,2625,2454.8599999999997
83,bourke,1034,2022-09-14,2021-22,2022-06-30,76,False,0.14,17.446,4.7908,34.68,65.32458358967348,5.1805,4.831016625783592,2417,2454.8599999999997
84,bourke,1105,2024-01-06,2022-23,2023-06-30,190,False,16.82,19.6268,5.3236,30.45,69.43493703584113,9.4106,6.275428430526446,2348,2458.9199999999996
85,bourke,1211,2025-03-22,2023-24,2024-06-30,265,False,2.55,16.6447,7.363,34.54,65.37488550617176,6.4635,6.850341268520061,2349,2458.9199999999996
86,bourke,1278,2026-02-07,2024-25,2025-06-30,222,False,,,,,59.9043323766571,,,2349,2418.6099999999997
87,brewarrina,916,2020-02-26,2018-19,2019-06-30,241,False,6.36,9.13,3.87,40.3,59.7,15.22,1.7390074932843207,1655,1551.6999999999998
88,brewarrina,949,2020-12-02,2019-20,2020-06-30,155,False,28.4,15.31,5.33,24.33,75.67,30.72,1.5332197614991483,1611,1551.6999999999998
89,brewarrina,960,2021-03-10,2019-20,2020-06-30,253,False,28.4,15.31,5.33,24.33,75.67,30.72,1.5332197614991483,1611,1551.6999999999998
90,brewarrina,987,2021-11-09,2020-21,2021-06-30,132,False,3.74,21.16,5.09,14.87,85.0052176705108,15.61,1.8633540372670807,1553,1551.6999999999998
91,brewarrina,1025,2022-06-27,2020-21,2021-06-30,362,False,3.74,21.16,5.09,14.87,85.0052176705108,15.61,1.8633540372670807,1553,1551.6999999999998
92,brewarrina,1034,2022-09-14,2021-22,2022-06-30,76,False,6.74,26.0829,9.9645,9.76,90.2392524930864,20.8291,1.684059014033825,1488,1551.6999999999998
93,brewarrina,1052,2023-03-06,2021-22,2022-06-30,249,False,6.74,26.0829,9.9645,9.76,90.2392524930864,20.8291,1.684059014033825,1488,1551.6999999999998
94,brewarrina,1211,2025-03-22,2023-24,2024-06-30,265,False,-2.93,14.0636,5.2565,32.57,67.42532457226295,13.866,2.267201556041819,1408,1551.6999999999998
95,brokenhill,987,2021-11-09,2020-21,2021-06-30,132,False,-3.62,12.27,4.12,72.44,27.557470522975308,4.57,6.350253952767655,17269,250.96
96,brokenhill,1014,2022-03-15,2020-21,2021-06-30,258,False,-3.62,12.27,4.12,72.44,27.557470522975308,4.57,6.350253952767655,17269,250.96
97,brokenhill,1149,2024-10-17,2023-24,2024-06-30,109,False,2.58,10.4464,2.8377,67.56,32.23807994126015,3.3044,7.266916770876754,17541,278.82
98,byron,943,2020-12-10,2019-20,2020-06-30,163,False,-7.09,8.76,3.08,65.41,34.59,0.54,28.106992044420597,35081,607.6700000000001
99,byron,960,2021-03-10,2019-20,2020-06-30,253,False,-7.09,8.76,3.08,65.41,34.59,0.54,28.106992044420597,35081,607.6700000000001
100,byron,1012,2022-02-22,2020-21,2021-06-30,237,False,-7.15,9.36,2.41,72.44,27.55600028087915,2.14,7.293093544253458,35773,608.5999999999999
101,byron,1119,2024-04-01,2022-23,2023-06-30,276,False,4.37,8.026,2.5219,62.73,37.26612385110595,3.8069,7.408619749045281,36510,609.65
102,byron,1135,2023-10-14,2022-23,2023-06-30,106,False,4.37,8.026,2.5219,62.73,37.26612385110595,3.8069,7.408619749045281,36510,609.65
103,byron,1172,2024-11-25,2023-24,2024-06-30,148,False,4.28,14.6824,3.7506,66.73,33.2673467071833,4.2577,6.407720980250986,37826,610.7099999999999
104,byron,1198,2025-03-03,2023-24,2024-06-30,246,False,4.28,14.6824,3.7506,66.73,33.2673467071833,4.2577,6.407720980250986,37826,610.7099999999999
105,cabonne,853,2019-01-05,2017-18,2018-06-30,189,False,4.18,24.29,5.71,57.24,42.76327782958385,35.46,0.9514398644833428,13605,1930.27
106,cabonne,938,2020-08-18,2019-20,2020-06-30,49,False,-0.52,21.48,6.02,54.52,45.48,34.29,0.9369895985558324,13634,1930.27
107,cabonne,960,2021-03-10,2019-20,2020-06-30,253,False,-0.52,21.48,6.02,54.52,45.48,34.29,0.9369895985558324,13634,1930.27
108,cabonne,976,2021-06-10,2019-20,2020-06-30,345,False,-0.52,21.48,6.02,54.52,45.48,34.29,0.9369895985558324,13634,1930.27
109,cabonne,987,2021-11-09,2020-21,2021-06-30,132,False,-18.0,5.18,8.33,51.03,47.94455283815055,28.56,0.6964964119881807,13677,1933.27
110,cabonne,1025,2022-06-27,2020-21,2021-06-30,362,False,-18.0,5.18,8.33,51.03,47.94455283815055,28.56,0.6964964119881807,13677,1933.27
111,cabonne,1030,2022-08-04,2021-22,2022-06-30,35,False,-10.44,3.3589,7.3379,53.24,46.36624120864808,30.6182,0.6831110117495094,13760,2218.6
112,cabonne,1034,2022-09-14,2021-22,2022-06-30,76,False,-10.44,3.3589,7.3379,53.24,46.36624120864808,30.6182,0.6831110117495094,13760,2218.6
113,cabonne,1052,2023-03-06,2021-22,2022-06-30,249,False,-10.44,3.3589,7.3379,53.24,46.36624120864808,30.6182,0.6831110117495094,13760,2218.6
114,cabonne,1055,2023-02-17,2021-22,2022-06-30,232,False,-10.44,3.3589,7.3379,53.24,46.36624120864808,30.6182,0.6831110117495094,13760,2218.6
115,cabonne,1205,2024-12-04,2023-24,2024-06-30,157,False,-23.55,5.8401,4.884,52.56000000000001,46.49362703661346,14.9575,0.5494505494505495,13897,2195.77
116,camden,960,2021-03-10,2019-20,2020-06-30,253,False,-14.31,17.32,2.77,38.09,61.91,2.34,5.924677095424981,101437,716.808
117,camden,1012,2022-02-22,2020-21,2021-06-30,237,False,-25.33,23.1,2.86,31.4,68.02882528289874,1.71,4.086540728654827,107806,740.54
118,camden,1025,2022-06-27,2020-21,2021-06-30,362,False,-25.33,23.1,2.86,31.4,68.02882528289874,1.71,4.086540728654827,107806,740.54
119,camden,1119,2024-04-01,2022-23,2023-06-30,276,False,-7.63,25.9112,2.8125,49.62,48.97411592031434,3.5049,4.751702070676458,127806,773.58
120,camden,1129,2024-06-04,2022-23,2023-06-30,340,False,-7.63,25.9112,2.8125,49.62,48.97411592031434,3.5049,4.751702070676458,127806,773.58
121,camden,1212,2025-05-18,2023-24,2024-06-30,322,False,-13.63,21.5585,2.5669,46.23,53.45749808034766,2.292,5.207519202263846,141133,790.078
122,camden,1238,2025-08-19,2024-25,2025-06-30,50,False,,,,,54.58382556698024,,,141133,804.148
132,carrathool,1030,2022-08-04,2021-22,2022-06-30,35,False,23.98,17.6636,10.5759,27.17,72.51212513648714,17.0578,2.6664527514840364,2871,2610.55
133,carrathool,1034,2022-09-14,2021-22,2022-06-30,76,False,23.98,17.6636,10.5759,27.17,72.51212513648714,17.0578,2.6664527514840364,2871,2610.55
134,carrathool,1282,2026-02-06,2024-25,2025-06-30,221,False,,,,,51.55663766264867,,,2767,2661.92
147,centraldarling,917,2020-04-03,2018-19,2019-06-30,278,False,1.14,2.05,2.93,43.67,56.33,17.26,0.95734126984127,1837,2395.82
148,centraldarling,960,2021-03-10,2019-20,2020-06-30,253,False,12.81,4.41,3.95,52.08,47.92,17.59,1.5925802756531056,1839,2395.82
149,centraldarling,987,2021-11-09,2020-21,2021-06-30,132,False,-0.4,4.21,3.29,38.46,61.42933459963198,8.06,1.9691845170988351,1829,2395.82
150,centraldarling,1001,2022-01-05,2020-21,2021-06-30,189,False,-0.4,4.21,3.29,38.46,61.42933459963198,8.06,1.9691845170988351,1829,2395.82
151,centraldarling,1034,2022-09-14,2021-22,2022-06-30,76,False,7.01,7.5772,3.1209,33.12,66.5601544070341,12.527,1.8580959896692733,1760,2395.8199999999997
152,centraldarling,1141,2024-02-05,2022-23,2023-06-30,220,False,15.4,4.8913,2.939,23.18,76.6990968371866,43.8209,1.172148355493352,1749,2395.62
153,centraldarling,1149,2024-10-17,2023-24,2024-06-30,109,False,0.73,4.8046,3.1194,19.97,80.0318630273715,24.2245,1.625207296849088,1767,2395.96
154,centraldarling,1211,2025-03-22,2023-24,2024-06-30,265,False,0.73,4.8046,3.1194,19.97,80.0318630273715,24.2245,1.625207296849088,1767,2395.96
155,centraldarling,1278,2026-02-07,2024-25,2025-06-30,222,False,,,,,70.57414034541777,,,1767,2392.6
156,cessnock,803,2018-01-13,2016-17,2017-06-30,197,False,3.97,6.3072,2.4487,63.37,36.623474809416805,8.1082,2.1388757427564813,56762,1025.6899999999998
157,cessnock,842,2018-11-22,2017-18,2018-06-30,145,False,-3.14,6.35,2.66,52.16,47.844067018795634,4.78,2.2948766454878733,57521,1051.12
158,cessnock,960,2021-03-10,2019-20,2020-06-30,253,False,2.43,9.12,2.63,63.95,36.05,7.99,2.4154836727640454,59985,1072.21176
159,cessnock,1012,2022-02-22,2020-21,2021-06-30,237,False,-5.19,8.18,3.84,54.75,44.917543039063325,5.45,2.270721807165127,61256,1080.12
160,cessnock,1025,2022-06-27,2020-21,2021-06-30,362,False,-5.19,8.18,3.84,54.75,44.917543039063325,5.45,2.270721807165127,61256,1080.12
161,cessnock,1090,2023-09-20,2022-23,2023-06-30,82,False,-18.55,10.4903,2.9791,51.27,48.67184885845924,-0.2088,3.3803190314170823,65878,1109.48
162,cessnock,1092,2023-12-14,2022-23,2023-06-30,167,False,-18.55,10.4903,2.9791,51.27,48.67184885845924,-0.2088,3.3803190314170823,65878,1109.48
163,cessnock,1170,2025-01-15,2023-24,2024-06-30,199,False,-5.94,12.1085,2.0275,40.21,59.73152420766371,11.8249,1.5814541530882495,69352,1095.4606
164,cessnock,1212,2025-05-18,2023-24,2024-06-30,322,False,-5.94,12.1085,2.0275,40.21,59.73152420766371,11.8249,1.5814541530882495,69352,1095.4606
165,cessnock,1275,2025-12-08,2024-25,2025-06-30,161,False,,,,,49.614711727371045,,,69352,1117.1
166,clarencevalley,943,2020-12-10,2019-20,2020-06-30,163,False,-1.43,13.98,3.23,65.45,34.55,3.33,10.558280775519735,51662,2451.1499999999996
167,clarencevalley,954,2021-02-19,2019-20,2020-06-30,234,False,-1.43,13.98,3.23,65.45,34.55,3.33,10.558280775519735,51662,2451.1499999999996
168,clarencevalley,960,2021-03-10,2019-20,2020-06-30,253,False,-1.43,13.98,3.23,65.45,34.55,3.33,10.558280775519735,51662,2451.1499999999996
169,clarencevalley,1012,2022-02-22,2020-21,2021-06-30,237,False,-3.88,13.36,3.98,64.59,35.4070892986654,3.12,11.330084718313408,51730,2451.13
170,clarencevalley,1071,2023-08-21,2022-23,2023-06-30,52,False,-5.64,13.7217,3.632,53.9,46.09693923834752,3.4443,10.885093972300565,54662,2456.96
171,clarencevalley,1075,2023-10-13,2022-23,2023-06-30,105,False,-5.64,13.7217,3.632,53.9,46.09693923834752,3.4443,10.885093972300565,54662,2456.96
172,clarencevalley,1119,2024-04-01,2022-23,2023-06-30,276,False,-5.64,13.7217,3.632,53.9,46.09693923834752,3.4443,10.885093972300565,54662,2456.96
173,clarencevalley,1121,2024-01-21,2022-23,2023-06-30,205,False,-5.64,13.7217,3.632,53.9,46.09693923834752,3.4443,10.885093972300565,54662,2456.96
174,clarencevalley,1162,2024-09-24,2023-24,2024-06-30,86,False,-12.13,20.0571,3.4794,55.58,44.4245838451438,3.3916,9.700925854970288,56037,2836.0
175,clarencevalley,1198,2025-03-03,2023-24,2024-06-30,246,False,-12.13,20.0571,3.4794,55.58,44.4245838451438,3.3916,9.700925854970288,56037,2836.0
176,clarencevalley,1212,2025-05-18,2023-24,2024-06-30,322,False,-12.13,20.0571,3.4794,55.58,44.4245838451438,3.3916,9.700925854970288,56037,2836.0
177,clarencevalley,1235,2025-09-25,2024-25,2025-06-30,87,False,,,,,47.7870387312018,,,56037,2842.0
184,coffsharbour,943,2020-12-10,2019-20,2020-06-30,163,False,-0.09,8.7,8.77,75.06,24.94,2.34,14.162352756223823,77277,889.2729999999999
185,coffsharbour,954,2021-02-19,2019-20,2020-06-30,234,False,-0.09,8.7,8.77,75.06,24.94,2.34,14.162352756223823,77277,889.2729999999999
186,coffsharbour,960,2021-03-10,2019-20,2020-06-30,253,False,-0.09,8.7,8.77,75.06,24.94,2.34,14.162352756223823,77277,889.2729999999999
187,coffsharbour,980,2021-10-20,2020-21,2021-06-30,112,False,4.21,9.53,6.49,75.88,23.92142310457592,2.48,13.078541179866018,77648,897.63
188,coffsharbour,1012,2022-02-22,2020-21,2021-06-30,237,False,4.21,9.53,6.49,75.88,23.92142310457592,2.48,13.078541179866018,77648,897.63
189,coffsharbour,1198,2025-03-03,2023-24,2024-06-30,246,False,10.46,15.0326,12.6682,72.42,27.451552586924333,3.6649,11.27251403998894,81248,916.9755
190,coffsharbour,1212,2025-05-18,2023-24,2024-06-30,322,False,10.46,15.0326,12.6682,72.42,27.451552586924333,3.6649,11.27251403998894,81248,916.9755
191,coolamon,1034,2022-09-14,2021-22,2022-06-30,76,False,8.53,25.2972,14.9749,46.41,53.579175704989154,252.8261,0.1224315979985095,4401,1399.74
192,coonamble,918,2020-04-10,2018-19,2019-06-30,285,False,5.47,17.33,7.28,51.04,48.96,133.73,0.2365679450434466,4014,1657.0400000000002
193,coonamble,960,2021-03-10,2019-20,2020-06-30,253,False,-12.2,18.72,8.0,53.33,46.67,68.98,0.3197969543147207,3958,1657.0400000000002
194,coonamble,987,2021-11-09,2020-21,2021-06-30,132,False,7.5,20.3,7.74,49.16,50.79641227866698,138.84,0.2665967396529872,3907,1818.41
195,coonamble,1034,2022-09-14,2021-22,2022-06-30,76,False,13.33,24.2064,7.0875,52.2,47.7926285945727,112.9326,0.3488964679132855,3834,1818.41
196,coonamble,1052,2023-03-06,2021-22,2022-06-30,249,False,13.33,24.2064,7.0875,52.2,47.7926285945727,112.9326,0.3488964679132855,3834,1818.41
197,coonamble,1206,2025-01-28,2023-24,2024-06-30,212,False,4.27,13.7603,5.3653,44.32,54.531932014923555,82.844,0.4460449318656136,3871,1818.41
204,cowra,987,2021-11-09,2020-21,2021-06-30,132,False,0.77,11.08,4.33,57.36,41.933374365286966,3.61,6.276452978218231,12730,1270.27
205,cowra,1025,2022-06-27,2020-21,2021-06-30,362,False,0.77,11.08,4.33,57.36,41.933374365286966,3.61,6.276452978218231,12730,1270.27
206,cowra,1034,2022-09-14,2021-22,2022-06-30,76,False,6.5,13.652,4.1572,57.74,41.78016284233901,4.6322,6.104651162790697,12753,1270.27
207,cowra,1052,2023-03-06,2021-22,2022-06-30,249,False,6.5,13.652,4.1572,57.74,41.78016284233901,4.6322,6.104651162790697,12753,1270.27
208,cowra,1055,2023-02-17,2021-22,2022-06-30,232,False,6.5,13.652,4.1572,57.74,41.78016284233901,4.6322,6.104651162790697,12753,1270.27
220,dungog,960,2021-03-10,2019-20,2020-06-30,253,False,-13.55,19.27,6.52,47.93,52.07,8.33,3.020782986950217,9423,728.1600000000001
221,dungog,1012,2022-02-22,2020-21,2021-06-30,237,False,-13.91,17.45,4.24,42.74,57.25857890036995,7.08,2.530955108274696,9664,728.1600000000001
222,dungog,1025,2022-06-27,2020-21,2021-06-30,362,False,-13.91,17.45,4.24,42.74,57.25857890036995,7.08,2.530955108274696,9664,728.1600000000001
223,dungog,1090,2023-09-20,2022-23,2023-06-30,82,False,-25.16,11.329,2.0613,31.99,67.94294456055677,2.1631,3.9158203329494294,9722,730.76
224,dungog,1119,2024-04-01,2022-23,2023-06-30,276,False,-25.16,11.329,2.0613,31.99,67.94294456055677,2.1631,3.9158203329494294,9722,730.76
225,dungog,1170,2025-01-15,2023-24,2024-06-30,199,False,-25.82,17.6194,2.3805,37.69,62.31095536702323,1.9942,7.905601712625517,9905,753.56
226,dungog,1198,2025-03-03,2023-24,2024-06-30,246,False,-25.82,17.6194,2.3805,37.69,62.31095536702323,1.9942,7.905601712625517,9905,753.56
227,dungog,1212,2025-05-18,2023-24,2024-06-30,322,False,-25.82,17.6194,2.3805,37.69,62.31095536702323,1.9942,7.905601712625517,9905,753.56
228,dungog,1216,2025-07-31,2024-25,2025-06-30,31,False,,,,,61.84847461443206,,,9905,754.86
229,dungog,1245,2025-11-09,2024-25,2025-06-30,132,False,,,,,61.84847461443206,,,9905,754.86
233,eurobodalla,923,2020-08-05,2019-20,2020-06-30,36,False,8.51,16.78,3.47,71.47,28.53,4.52,7.724955681910128,38473,1018.63
234,eurobodalla,936,2020-10-20,2019-20,2020-06-30,112,False,8.51,16.78,3.47,71.47,28.53,4.52,7.724955681910128,38473,1018.63
235,eurobodalla,959,2020-12-26,2019-20,2020-06-30,179,False,8.51,16.78,3.47,71.47,28.53,4.52,7.724955681910128,38473,1018.63
236,eurobodalla,960,2021-03-10,2019-20,2020-06-30,253,False,8.51,16.78,3.47,71.47,28.53,4.52,7.724955681910128,38473,1018.63
237,eurobodalla,970,2021-05-05,2019-20,2020-06-30,309,False,8.51,16.78,3.47,71.47,28.53,4.52,7.724955681910128,38473,1018.63
238,eurobodalla,987,2021-11-09,2020-21,2021-06-30,132,False,-1.28,17.85,2.43,59.52,40.47698954288058,4.64,6.136667599763616,38952,1018.67
239,eurobodalla,1012,2022-02-22,2020-21,2021-06-30,237,False,-1.28,17.85,2.43,59.52,40.47698954288058,4.64,6.136667599763616,38952,1018.67
240,eurobodalla,1034,2022-09-14,2021-22,2022-06-30,76,False,6.14,16.1836,3.6345,56.14,43.85735811150176,3.9937,8.039395965674801,40453,1019.252
241,eurobodalla,1086,2023-11-28,2022-23,2023-06-30,151,False,5.12,17.6921,2.9413,55.33,44.66787186862705,5.0313,7.745305033892655,40755,1020.93
242,eurobodalla,1100,2023-12-25,2022-23,2023-06-30,178,False,5.12,17.6921,2.9413,55.33,44.66787186862705,5.0313,7.745305033892655,40755,1020.93
243,eurobodalla,1263,2026-01-07,2024-25,2025-06-30,191,False,,,,,30.31066737750206,,,41142,1026.3071
244,fairfield,960,2021-03-10,2019-20,2020-06-30,253,False,3.22,5.06,1.91,77.25,22.75,50.79,0.4556064909863037,211695,684.37
