attempt_manifest,url,file,status,error
archive_retry_manifest.json,https://webarchive.nla.gov.au/awa/20170101000000/http://www.emergency.nsw.gov.au/publications/natural-disaster-declarations/2014-2015.html,nla_2014.html,200,
archive_retry_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15231,mpes_2014_retry.pdf,200,
archive_retry_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/19365,semc_2016_retry.pdf,200,
raa_2017_attempt.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/17714,,200,
mpes_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,,200,
mpes_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14741,,200,
mpes_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15231,,429,
initial_manifest.json,https://data.gov.au/data/organization/national-emergency-management-agency?res_format=CSV,nema_catalog.html,200,
initial_manifest.json,https://datasets.seed.nsw.gov.au/api/3/action/package_show?id=historical-fire-extent-and-severity-mapping-fesm-statewide-201213,fesm_archive_2012.json,200,
initial_manifest.json,https://www.environment.nsw.gov.au/topics/animals-and-plants/native-vegetation/landcover-science/past-landcover-reporting,fesm_reports.html,200,
raa_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14785,raa_2013.pdf,200,
raa_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15718,raa_2015.pdf,200,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/caa3bf05-9411-4538-9cf7-23ab3cac3b87/download/drfa_activation_history_by_location_20240202.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/8c7acead-f3ed-415e-a389-347c85cd1df0/download/drfa_activation_history_location_2024_feb_02.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/1daadd2a-8281-4506-a4e3-8c299977df53/download/drfa_activation_history_location_2024_feb_02.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/0fbabf56-55aa-4b87-a2f8-a4a681ff5e33/download/drfa_activation_history_lga_2024_feb_02_friday.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/cc22ef25-c661-4550-9363-a257b903ae70/download/drfa_activation_history_lga_2024_feb_02.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/f2d55839-2204-4b45-9c94-8262ac4e983e/download/drfa_activation_history_lga_2024-01-15.xlsx,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/f4506099-421c-481a-b1f6-70fba512da8c/download/drfa_activation_history_lga_2023-06-30.xlsx,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/00dec3c9-eb3d-488c-acc6-52754935c6c5/download/drfa_activation_history_lga_2023-11-20.xlsx,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/bb4b3ee8-a1f2-4baf-8ec0-0c133b9114ba/download/drfa_activation_history_lga_2024_feb_02.csv,,404,
nema_recovery_attempts.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/6bb3a7c6-00b1-4347-95fe-5bdc36b76c67/download/drfa_activation_history_lga_2024_feb_02.csv,,404,
raa_2016_download_attempt.json,https://www.parliament.nsw.gov.au/tp/files/72400/NSW%20Rural%20Assistance%20Authority%20Annual%20Report.PDF,,403,
fesm2016_spatial_manifest.json,https://datasets.seed.nsw.gov.au/dataset/eeaf2006-db96-4218-a124-43b19cd15765/resource/43c71151-d790-423a-8436-457036c470cb/download/fireextentandseveritymapping_fesmv3_factsheet_december2020.docx.pdf,fesm_v3_factsheet.pdf,200,
fesm2016_spatial_manifest.json,https://datasets.seed.nsw.gov.au/dataset/eeaf2006-db96-4218-a124-43b19cd15765/resource/90cb3547-196f-480b-a0c7-9d834f794129/download/fire_fesm_2016_17.zip,fesm_2016_vector.zip,200,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2012-13,nsw_fy_2012.html,404,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2013-14,nsw_fy_2013.html,404,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2014-15,nsw_fy_2014.html,404,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2015-16,nsw_fy_2015.html,404,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2016-17,nsw_fy_2016.html,404,
historical_links_manifest.json,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2017-18,nsw_fy_2017.html,404,
historical_links_manifest.json,https://www.emergency.nsw.gov.au/publications/natural-disaster-declarations/2014-2015.html,emergency_old_2014.html,200,
historical_links_manifest.json,https://web.archive.org/cdx/search/cdx?url=data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/462acfff-f2e0-4446-a0fb-f20f8a19f487/download/*&output=json&filter=statuscode:200&collapse=digest,,failed,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=40)"
semc_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14943,semc_2013.pdf,200,
semc_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/19364,semc_2014.pdf,200,
semc_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/19365,semc_2016.pdf,429,
older_manifest.json,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/462acfff-f2e0-4446-a0fb-f20f8a19f487/download/drfa_activation_history_by_location_2024_may_01.csv,nema_2024.csv,404,
older_manifest.json,https://data.gov.au/data/api/3/action/resource_show?id=462acfff-f2e0-4446-a0fb-f20f8a19f487,nema_old_resource.json,302,
older_manifest.json,https://data.gov.au/data/dataset/drfa-activation-history-by-lga,nema_dataset.html,200,
finish_sources_manifest.json,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15213,raa_2014.pdf,200,
finish_sources_manifest.json,https://www.environment.nsw.gov.au/sites/default/files/2025-01/fire-extent-severity-mapping-2020-21-2016-17-220206.pdf,fesm_2016_report.pdf,200,
