source_name,normalised_name,council_key,match_status,alias_rule
Marrickville,marrickville,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Mid Coast,midcoast,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Mid-Western,midwestern,midwestern,included_fixed_103,normalise_punctuation_and_council_suffixes
Mid-Western Regional,midwestern,midwestern,included_fixed_103,normalise_punctuation_and_council_suffixes
Mid-Western Regional Council,midwestern,midwestern,included_fixed_103,normalise_punctuation_and_council_suffixes
Moree,moree,moreeplains,included_fixed_103,explicit_spelling_or_short_name_alias
Moree Plains,moreeplains,moreeplains,included_fixed_103,normalise_punctuation_and_council_suffixes
Mosman,mosman,mosman,included_fixed_103,normalise_punctuation_and_council_suffixes
Murray,murray,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Murray River,murrayriver,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Murrumbidgee,murrumbidgee,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Muswellbrook,muswellbrook,muswellbrook,included_fixed_103,normalise_punctuation_and_council_suffixes
Nambucca,nambucca,nambuccavalley,included_fixed_103,normalise_punctuation_and_council_suffixes
Narrabri,narrabri,narrabri,included_fixed_103,normalise_punctuation_and_council_suffixes
Narrandera,narrandera,narrandera,included_fixed_103,normalise_punctuation_and_council_suffixes
Narromine,narromine,narromine,included_fixed_103,normalise_punctuation_and_council_suffixes
Newcastle,newcastle,newcastle,included_fixed_103,normalise_punctuation_and_council_suffixes
Newcastle City,newcastle,newcastle,included_fixed_103,normalise_punctuation_and_council_suffixes
Northern Beaches,northernbeaches,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Oberon,oberon,oberon,included_fixed_103,normalise_punctuation_and_council_suffixes
Orange,orange,orange,included_fixed_103,normalise_punctuation_and_council_suffixes
Palerang,palerang,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Parkes,parkes,parkes,included_fixed_103,normalise_punctuation_and_council_suffixes
Parramatta,parramatta,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Penrith,penrith,penrith,included_fixed_103,normalise_punctuation_and_council_suffixes
Pittwater,pittwater,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Port Macquaire-Hastings,portmacquairehastings,portmacquariehastings,included_fixed_103,explicit_spelling_or_short_name_alias
Port Macquarie,portmacquarie,portmacquariehastings,included_fixed_103,explicit_spelling_or_short_name_alias
Port Macquarie Hastings,portmacquariehastings,portmacquariehastings,included_fixed_103,normalise_punctuation_and_council_suffixes
Port Macquarie- Hastings,portmacquariehastings,portmacquariehastings,included_fixed_103,normalise_punctuation_and_council_suffixes
Port Macquarie-Hastings,portmacquariehastings,portmacquariehastings,included_fixed_103,normalise_punctuation_and_council_suffixes
Port Stephens,portstephens,portstephens,included_fixed_103,normalise_punctuation_and_council_suffixes
Queanbeyan,queanbeyan,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Queanbeyan-Palerang,queanbeyanpalerang,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Randwick,randwick,randwick,included_fixed_103,normalise_punctuation_and_council_suffixes
Richmond Valley,richmondvalley,richmondvalley,included_fixed_103,normalise_punctuation_and_council_suffixes
Rockdale,rockdale,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Ryde,ryde,ryde,included_fixed_103,normalise_punctuation_and_council_suffixes
Sellharbour,sellharbour,shellharbour,included_fixed_103,explicit_spelling_or_short_name_alias
Shellharbour,shellharbour,shellharbour,included_fixed_103,normalise_punctuation_and_council_suffixes
Shoalhaven,shoalhaven,shoalhaven,included_fixed_103,normalise_punctuation_and_council_suffixes
Shoalhaven City,shoalhaven,shoalhaven,included_fixed_103,normalise_punctuation_and_council_suffixes
Singleton,singleton,singleton,included_fixed_103,normalise_punctuation_and_council_suffixes
Snowy River,snowyriver,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Snowy Valley,snowyvalley,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Strathfield,strathfield,strathfield,included_fixed_103,normalise_punctuation_and_council_suffixes
Sutherland,sutherland,sutherland,included_fixed_103,normalise_punctuation_and_council_suffixes
Temora,temora,temora,included_fixed_103,normalise_punctuation_and_council_suffixes
Tenterfield,tenterfield,tenterfield,included_fixed_103,normalise_punctuation_and_council_suffixes
The Hills,hills,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
The Unincorporated Area,unincorporatedarea,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Tumbarumba,tumbarumba,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Tumut,tumut,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Tweed,tweed,tweed,included_fixed_103,normalise_punctuation_and_council_suffixes
Unincorporated Area,unincorporatedarea,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Unincorporated Area of NSW,unincorporatedareansw,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Upper Hunter,upperhunter,upperhunter,included_fixed_103,normalise_punctuation_and_council_suffixes
Upper Lachlan,upperlachlan,upperlachlan,included_fixed_103,normalise_punctuation_and_council_suffixes
Urana,urana,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Wagga Wagga,waggawagga,waggawagga,included_fixed_103,normalise_punctuation_and_council_suffixes
Wakool,wakool,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Walcha,walcha,walcha,included_fixed_103,normalise_punctuation_and_council_suffixes
Walgett,walgett,walgett,included_fixed_103,normalise_punctuation_and_council_suffixes
Warren,warren,warren,included_fixed_103,normalise_punctuation_and_council_suffixes
Warringah,warringah,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Warrumbungle,warrumbungle,warrumbungle,included_fixed_103,normalise_punctuation_and_council_suffixes
Warrumbungle Shire,warrumbungle,warrumbungle,included_fixed_103,normalise_punctuation_and_council_suffixes
Waverley,waverley,waverley,included_fixed_103,normalise_punctuation_and_council_suffixes
Weddin,weddin,weddin,included_fixed_103,normalise_punctuation_and_council_suffixes
Wellington,wellington,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Wentworth,wentworth,wentworth,included_fixed_103,normalise_punctuation_and_council_suffixes
Western Plains,westernplains,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Willoughby,willoughby,willoughby,included_fixed_103,normalise_punctuation_and_council_suffixes
Wingecarribee,wingecarribee,wingecarribee,included_fixed_103,normalise_punctuation_and_council_suffixes
Wollondilly,wollondilly,wollondilly,included_fixed_103,normalise_punctuation_and_council_suffixes
Wollongong,wollongong,wollongong,included_fixed_103,normalise_punctuation_and_council_suffixes
Woollahra,woollahra,woollahra,included_fixed_103,normalise_punctuation_and_council_suffixes
Wyong,wyong,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Yass Valley,yassvalley,yassvalley,included_fixed_103,normalise_punctuation_and_council_suffixes
Young,young,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
