council_key,year_start,financial_year,fesm_burned_ha,fesm_burned_pct_raw,fesm_extent_only_ha,fesm_min_fire_size_ha_exclusive,fesm_source_file,fesm_excel_total_row,fesm_status,boundary_change_flag,boundary_compatibility,physical_flood_status,verified_zero_all_disaster_exposure,bushfire_declared_event_count,bushfire_agrns,bushfire_declaration_status,flood_declared_event_count,flood_agrns,flood_declaration_status,all_declared_event_count,all_agrns,all_declaration_status,source_list_disagreement_count,open_ended_onset_event_count,known_prior_year_carryover_count,prior_fy_declared_event_count,declaration_vs_fesm_scope_difference,candidate_no_new_declared_event,candidate_strict_scoped_comparison,direct_infrastructure_damage_documented,direct_infrastructure_evidence_ids
ballina,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1198,listed_event_onset,1,1198,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
balranald,2017,2017-18,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
balranald,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
balranald,2019,2019-20,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
balranald,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
balranald,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,22.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,987,listed_event_onset,1,987,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
balranald,2022,2022-23,175.85,0.01,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,26.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1034,listed_event_onset,1,1034,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
balranald,2023,2023-24,3988.69,0.18,132.56,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,26.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
balranald,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
bathurst,2017,2017-18,305.25,0.08,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,27.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,804,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,804,listed_event_onset,0.0,1.0,0.0,3.0,False,False,False,,
bathurst,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,845,listed_event_onset,1,845,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
bathurst,2019,2019-20,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,898,listed_event_onset,1,898,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
bathurst,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,960,listed_event_onset,1,960,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
bathurst,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,27.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,987,listed_event_onset,1,987,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
bathurst,2022,2022-23,1760.97,0.45,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,32.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,1052,listed_event_onset,1,1034,listed_event_onset,2,1034|1052,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
bathurst,2023,2023-24,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,32.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
bathurst,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,1193,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,1193,listed_event_onset,0.0,0.0,0.0,0.0,False,False,False,,
begavalley,2017,2017-18,1343.35,0.21,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,37.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,798,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,798,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
begavalley,2018,2018-19,8852.4,1.4,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,37.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,820,listed_event_onset,0,,no_listed_event_onset_not_physical_zero,1,820,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
begavalley,2019,2019-20,339459.06,53.83,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,37.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,871,listed_event_onset,1,898,listed_event_onset,2,871|898,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
begavalley,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,37.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,5,922|923|936|960|970,listed_event_onset,5,922|923|936|960|970,listed_event_onset,0.0,5.0,0.0,2.0,False,False,False,,
begavalley,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,37.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,987|1012,listed_event_onset,2,987|1012,listed_event_onset,0.0,2.0,0.0,5.0,False,False,False,,
begavalley,2022,2022-23,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,44.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1034,listed_event_onset,1,1034,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
begavalley,2023,2023-24,7165.84,1.14,205.47,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,44.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,1070,listed_event_onset,2,1086|1100,listed_event_onset,3,1070|1086|1100,listed_event_onset,0.0,3.0,0.0,1.0,False,False,False,,
begavalley,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1212,listed_event_onset,3,1200|1212|1217,listed_event_onset,0.0,3.0,0.0,3.0,False,False,False,,
bellingen,2017,2017-18,550.2,0.35,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,42.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
bellingen,2018,2018-19,73.59,0.05,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,42.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,834,listed_event_onset,1,834,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
bellingen,2019,2019-20,17265.35,10.76,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,42.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,871,listed_event_onset,1,898,listed_event_onset,2,871|898,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
bellingen,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,42.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,943|960,listed_event_onset,2,943|960,listed_event_onset,0.0,2.0,0.0,2.0,False,False,False,,
bellingen,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,42.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1012,listed_event_onset,1,1012,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
bellingen,2022,2022-23,22.76,0.02,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,50.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
bellingen,2023,2023-24,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,50.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
bellingen,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1198|1212,listed_event_onset,2,1198|1212,listed_event_onset,0.0,2.0,0.0,0.0,False,False,False,,
berrigan,2017,2017-18,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,47.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
berrigan,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,47.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,911,listed_event_onset,1,911,listed_event_onset,0.0,0.0,0.0,0.0,False,False,False,,
berrigan,2019,2019-20,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,47.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
berrigan,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,47.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
berrigan,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,47.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,987|1001,listed_event_onset,2,987|1001,listed_event_onset,0.0,2.0,0.0,0.0,False,False,False,,
berrigan,2022,2022-23,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,56.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1034,listed_event_onset,1,1034,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
berrigan,2023,2023-24,98.7,0.05,98.7,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,56.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
berrigan,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
blacktown,2017,2017-18,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,52.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
blacktown,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,52.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,833|834,listed_event_onset,2,833|834,listed_event_onset,0.0,2.0,0.0,0.0,False,False,False,,
blacktown,2019,2019-20,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,52.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,898,listed_event_onset,1,898,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
blacktown,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,52.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,960,listed_event_onset,1,960,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
blacktown,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,52.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1012|1025,listed_event_onset,2,1012|1025,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
blacktown,2022,2022-23,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,62.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
blacktown,2023,2023-24,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,62.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1119,listed_event_onset,1,1119,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
blacktown,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,1,1170,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
bland,2017,2017-18,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,57.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
bland,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,57.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
bland,2019,2019-20,0.0,0,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,57.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
bland,2020,2020-21,58.6,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,57.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
bland,2021,2021-22,62.72,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,57.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,987|1001,listed_event_onset,2,987|1001,listed_event_onset,0.0,2.0,0.0,0.0,False,False,False,,
bland,2022,2022-23,2835.64,0.33,347.6,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,68.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1030|1034,listed_event_onset,2,1030|1034,listed_event_onset,0.0,2.0,0.0,2.0,False,False,False,,
bland,2023,2023-24,793.0899999999999,0.08,636.79,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,68.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
