variable,definition,unit,missingness_rule,scope
bushfire_count_is_lower_bound,True means observed count must not be treated as a complete annual event count,boolean,"True even for unknown cells in partial years; false in later years only denotes inherited V1 count semantics, not fresh certification",Bushfire-labelled events
bushfire_declaration_status,Explicit evidence/status accompanying declaration measures,category,Never infer physical absence from administrative absence,Bushfire-labelled events
bushfire_event_ids,Internal source-row identifiers for reconstructed records; AGRN-prefixed original identifiers later,semicolon-delimited identifiers,"Blank for no recovered event, including unknown cells; consult status",Bushfire-labelled events
bushfire_agrns,Actual Australian Government Reference Numbers only,identifiers,Historical reports omit AGRNs; all historical cells blank; internal IDs are not invented AGRNs,Bushfire-labelled events
flood_declared,1 = at least one listed council event; 0 = no listed event in scoped complete source; blank = unknown,0 / 1 / blank,"Unlisted councils in partial inventories are blank, not zero","Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_declared_event_count,"Event count only where source inventory supports a scoped total; distinct source entries, not independent physical disasters or necessarily unique AGRNs",count,Entirely blank for 2013-14 to 2016-17 because full counts are uncertified,"Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_observed_event_count,Count of distinct recovered event entries naming council; lower bound when inventory incomplete,count,Blank if no positive evidence in an incomplete inventory; zero only in scoped complete source,"Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_count_is_lower_bound,True means observed count must not be treated as a complete annual event count,boolean,"True even for unknown cells in partial years; false in later years only denotes inherited V1 count semantics, not fresh certification","Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_declaration_status,Explicit evidence/status accompanying declaration measures,category,Never infer physical absence from administrative absence,"Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_event_ids,Internal source-row identifiers for reconstructed records; AGRN-prefixed original identifiers later,semicolon-delimited identifiers,"Blank for no recovered event, including unknown cells; consult status","Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
flood_agrns,Actual Australian Government Reference Numbers only,identifiers,Historical reports omit AGRNs; all historical cells blank; internal IDs are not invented AGRNs,"Events explicitly labelled flood/flooding, including compound storm-flood events; storm-only not automatically flood"
all_declared,1 = at least one listed council event; 0 = no listed event in scoped complete source; blank = unknown,0 / 1 / blank,"Unlisted councils in partial inventories are blank, not zero","All non-agricultural-only natural-disaster event records, including other hazards"
all_declared_event_count,"Event count only where source inventory supports a scoped total; distinct source entries, not independent physical disasters or necessarily unique AGRNs",count,Entirely blank for 2013-14 to 2016-17 because full counts are uncertified,"All non-agricultural-only natural-disaster event records, including other hazards"
all_observed_event_count,Count of distinct recovered event entries naming council; lower bound when inventory incomplete,count,Blank if no positive evidence in an incomplete inventory; zero only in scoped complete source,"All non-agricultural-only natural-disaster event records, including other hazards"
all_count_is_lower_bound,True means observed count must not be treated as a complete annual event count,boolean,"True even for unknown cells in partial years; false in later years only denotes inherited V1 count semantics, not fresh certification","All non-agricultural-only natural-disaster event records, including other hazards"
all_declaration_status,Explicit evidence/status accompanying declaration measures,category,Never infer physical absence from administrative absence,"All non-agricultural-only natural-disaster event records, including other hazards"
all_event_ids,Internal source-row identifiers for reconstructed records; AGRN-prefixed original identifiers later,semicolon-delimited identifiers,"Blank for no recovered event, including unknown cells; consult status","All non-agricultural-only natural-disaster event records, including other hazards"
all_agrns,Actual Australian Government Reference Numbers only,identifiers,Historical reports omit AGRNs; all historical cells blank; internal IDs are not invented AGRNs,"All non-agricultural-only natural-disaster event records, including other hazards"
