target,test_fy,node,depth,is_leaf,split_variable,threshold,training_n,prediction,prediction_unit,path
maintenance_ratio_pct,2024-25,0,0,False,maintenance_ratio_pct__prior,117.49959564208984,481,106.17938961188446,percentage points,all training rows
maintenance_ratio_pct,2024-25,1,1,False,population__prior,5998.5,407,101.29196462766834,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5
maintenance_ratio_pct,2024-25,2,2,False,road_km__prior,1553.594970703125,57,115.6024157164637,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior <= 5998.5
maintenance_ratio_pct,2024-25,3,3,True,,,26,102.27086599297681,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior <= 5998.5 AND road_km__prior <= 1553.59
maintenance_ratio_pct,2024-25,4,3,True,,,31,126.78371548454939,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior <= 5998.5 AND road_km__prior > 1553.59
maintenance_ratio_pct,2024-25,5,2,False,maintenance_ratio_pct__prior,75.01477813720703,350,98.96140545035027,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior > 5998.5
maintenance_ratio_pct,2024-25,6,3,True,,,22,82.60698088716634,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior > 5998.5 AND maintenance_ratio_pct__prior <= 75.0148
maintenance_ratio_pct,2024-25,7,3,True,,,328,100.05834856129556,percentage points,all training rows AND maintenance_ratio_pct__prior <= 117.5 AND population__prior > 5998.5 AND maintenance_ratio_pct__prior > 75.0148
maintenance_ratio_pct,2024-25,8,1,False,operating_ratio_pct__prior,-2.4200000762939453,74,133.0602270250732,percentage points,all training rows AND maintenance_ratio_pct__prior > 117.5
maintenance_ratio_pct,2024-25,9,2,True,,,25,111.72792864157799,percentage points,all training rows AND maintenance_ratio_pct__prior > 117.5 AND operating_ratio_pct__prior <= -2.42
maintenance_ratio_pct,2024-25,10,2,False,road_km__prior,1046.7950134277344,49,143.94405273093813,percentage points,all training rows AND maintenance_ratio_pct__prior > 117.5 AND operating_ratio_pct__prior > -2.42
maintenance_ratio_pct,2024-25,11,3,True,,,27,160.94526890096697,percentage points,all training rows AND maintenance_ratio_pct__prior > 117.5 AND operating_ratio_pct__prior > -2.42 AND road_km__prior <= 1046.8
maintenance_ratio_pct,2024-25,12,3,True,,,22,123.07892379499363,percentage points,all training rows AND maintenance_ratio_pct__prior > 117.5 AND operating_ratio_pct__prior > -2.42 AND road_km__prior > 1046.8
