council_name,grant_share_5yr_pct,operating_surplus_pct,net_financial_liabilities_pct,printed_page,source_id,pdf_page,period_end,publication_date,confidence,quality_note,grant_period_note
Cloncurry Shire Council,54,-20,-10,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Croydon Shire Council,78,4.20,-147.20,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Flinders Shire Council,45,21.99,-53.75,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Fraser Coast Regional Council,22,0.21,-23.95,55,qao_appendixI,4,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Gladstone Regional Council,15,-11.96,31.18,55,qao_appendixI,4,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Goondiwindi Regional Council,33,1.85,-73.77,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Gympie Regional Council,23,0.61,0.94,55,qao_appendixI,4,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Ipswich City Council,29,1.28,73.43,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Kowanyama Aboriginal Shire Council,71,-41,3,56,qao_appendixI,5,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Lockyer Valley Regional Council,23,12.30,38.23,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Logan City Council,28,0.35,-19.87,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Maranoa Regional Council,44,6.13,-43.58,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Mareeba Shire Council,40,14,-89,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Moreton Bay Regional Council,24,15.10,15,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Murweh Shire Council,59,-10.07,-1.07,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Noosa Shire Council,14,7.48,-19.89,55,qao_appendixI,4,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
North Burnett Regional Council,52,-31.80,-26.17,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Northern Peninsula Area Regional Council,54,-28,-10,56,qao_appendixI,5,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Palm Island Aboriginal Shire Council,54,-23.80,-2.93,56,qao_appendixI,5,2020-06-30,2022-05-11,HIGH: manually read rendered table,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Paroo Shire Council,67,-2.05,-14.98,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Quilpie Shire Council,63,-6,-67,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Richmond Shire Council,60,-12.67,4.25,59,qao_appendixI,8,2020-06-30,2022-05-11,HIGH: manually read rendered table,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Scenic Rim Regional Council,32,-3,6,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Somerset Regional Council,26,2,-83,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
South Burnett Regional Council,25,-1.60,9.10,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Southern Downs Regional Council,28,0.61,-18.80,58,qao_appendixI,7,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Toowoomba Regional Council,21,4.25,53.14,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Torres Strait Island Regional Council,57,-112,-39,56,qao_appendixI,5,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Western Downs Regional Council,28,8.10,-117.50,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
