public_record_id,funding_round,funding_stream,applicant,council_key,applicant_type,project_asset_label,application_id,project_id,source_id,source_url,source_locator,source_version_date,status,eligibility_status,label_confidence,submission_date,decision_date,amount_requested_aud,amount_approved_aud,event,asset_type,assessment_score,recommendation,bcr,quality_note,repeated_label,same_label_row_count,supplemental_source_ids
QRA2022_T1_R011,2022 / 2021–22 event season,D,Central Highlands Regional Council,QLD_central_highlands,LOCAL_GOVERNMENT,Wyntoon Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 11",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R012,2022 / 2021–22 event season,D,Central Highlands Regional Council,QLD_central_highlands,LOCAL_GOVERNMENT,Wyuna Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 12",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R013,2022 / 2021–22 event season,D,Carpentaria Shire Council,QLD_carpentaria,LOCAL_GOVERNMENT,Dunbar - Kowanyama Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 13",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R014,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Maryborough - Hervey Bay Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 14",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R015,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Gold Coast - Springbrook Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 15",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R016,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Beechmont Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 16",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R017,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Moonie Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 17",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R018,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Currumbin Creek - Tomewin Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 18",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R019,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Toowoomba - Cecil Plains Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 19",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R020,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Currumbin Creek Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 20",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R021,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Nerang - Murwillumbah Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 21",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R022,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Beaudesert - Nerang Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 22",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R023,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Tamborine - Oxenforoad Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 23",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R024,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Mount Sylvia Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 24",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R025,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Isis Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 25",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R026,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Castlereagh Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 26",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R027,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Burnett Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 27",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R028,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Mount Lindesay Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 28",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R029,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Lamington National Park Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 29",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R030,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Moonie Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 30",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R031,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Murgon - Gayndah Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 31",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R032,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Dalby - Cecil Plains Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 32",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R033,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Leichharoadt Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 33",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R034,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Booyal - Dallarnil Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 34",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R035,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Barwon Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 35",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R036,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Wide Bay Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 36",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R037,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Burnett Highway,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 37",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R038,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Cunningham Arterial Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 38",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R039,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Bauple - Woolooga Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 39",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R040,2022 / 2021–22 event season,D,Department of Transport and Main Roads,,STATE_AGENCY,Running Creek Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 40",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R041,2022 / 2021–22 event season,D,Fraser Coast Regional Council,QLD_fraser_coast,LOCAL_GOVERNMENT,Teebar Hall Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 41",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R042,2022 / 2021–22 event season,D,Fraser Coast Regional Council,QLD_fraser_coast,LOCAL_GOVERNMENT,Gigoomgan Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 42",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R043,2022 / 2021–22 event season,D,Fraser Coast Regional Council,QLD_fraser_coast,LOCAL_GOVERNMENT,Adelaide Street,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 43",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R044,2022 / 2021–22 event season,D,City of Gold Coast,QLD_gold_coast,LOCAL_GOVERNMENT,Gold Coast Springbrook Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 44",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R045,2022 / 2021–22 event season,D,City of Gold Coast,QLD_gold_coast,LOCAL_GOVERNMENT,"Smithroad,Bonogin Road",,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 45",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R046,2022 / 2021–22 event season,D,Goondiwindi Regional Council,QLD_goondiwindi,LOCAL_GOVERNMENT,Kildonan Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 46",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R047,2022 / 2021–22 event season,D,Goondiwindi Regional Council,QLD_goondiwindi,LOCAL_GOVERNMENT,Kioma Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 47",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R048,2022 / 2021–22 event season,D,Goondiwindi Regional Council,QLD_goondiwindi,LOCAL_GOVERNMENT,Kondar Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 48",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R049,2022 / 2021–22 event season,D,Gladstone Regional Council,QLD_gladstone,LOCAL_GOVERNMENT,Baldaw Road Captain Creek,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 49",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R050,2022 / 2021–22 event season,D,Gladstone Regional Council,QLD_gladstone,LOCAL_GOVERNMENT,Blackman Gap Road Colosseum,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 50",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R051,2022 / 2021–22 event season,D,Gladstone Regional Council,QLD_gladstone,LOCAL_GOVERNMENT,Bootmaker Drive Roundhill,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 51",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R052,2022 / 2021–22 event season,D,Gladstone Regional Council,QLD_gladstone,LOCAL_GOVERNMENT,Bunker Road Roundhill,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 52",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R053,2022 / 2021–22 event season,D,Gladstone Regional Council,QLD_gladstone,LOCAL_GOVERNMENT,Cross Road Euleilah,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 53",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
