council_key,council_name,year_start,financial_year,period_start,period_end,reporting_months,source_file,source_sheet,source_excel_row,actual_maintenance_aud,required_maintenance_aud,maintenance_ratio_pct,maintenance_conflict,maintenance_basis,fesm_burned_ha,fesm_status,fesm_source_file,fesm_asof_forecast_status,bushfire_declared,flood_declared,all_declared,bushfire_declaration_status,flood_declaration_status,all_agrns,declaration_inventory_status,declaration_source_files,physical_flood_status,verified_zero_all_disaster_exposure,index_event_year,event_group,role,relative_year,pre_cash_cover_months,pre_operating_ratio_pct,pre_current_ratio,pre_own_source_pct,pre_debt_service_cover,pre_debt_service_cover_requires_review,pre_population,pre_road_km,pre_actual_maintenance_aud,pre_maintenance_ratio_pct,pre_fiscal_year,pre_information_vintage,pre_fiscal_source_file,pre_fiscal_source_sheet,pre_fiscal_source_excel_row,low_pre_cash_cover,weak_pre_operating_position,planned_routine_maintenance_aud,actual_routine_maintenance_aud,planned_routine_status,actual_routine_status,disaster_reconstruction_expenditure_aud,disaster_reconstruction_status,maintenance_deviation,primary_outcome_eligible,primary_exclusion_reason,secondary_only,causal_eligible,routine_separation_status,price_basis,evidence_ids
griffith,Griffith,2020,2020-21,2020-07-01,2021-06-30,12,time-series-data-2020-2021.xlsx,Councils,52,7191000.0,7156000.0,100.48910005589715,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2020-21.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,1,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
griffith,Griffith,2021,2021-22,2021-07-01,2022-06-30,12,time-series-data-2021-22.xlsx,Councils,52,7191000.0,7156000.0,100.48910005589715,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",43.83,mapped_burn_positive,fire-extent-severity-mapping-results-2021-22.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,1001,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,2,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2016,2016-17,2016-07-01,2017-06-30,12,time-series-data-2016-17.xls,2016-17 DATA,65,4144000.0,4323000.0,95.8593569280592,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fesm_2016_vector.zip,ineligible_retrospective_product_postdates_historical_targets,,,,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,,partial_reconstruction_RAA_annual_reports,raa_2016.pdf;raa_2017.pdf_checked_no_prior_FY_rows,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-3,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2017,2017-18,2017-07-01,2018-06-30,12,time-series-data-2017-2018.xls,2017-18 DATA (Final),65,4730000.0,5019000.0,94.24188085275952,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2017-18.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-2,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2018,2018-19,2018-07-01,2019-06-30,12,time-series-data-2018-2019.xlsx,2018_19_Councils,65,5535000.0,5161000.0,107.24665762449138,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",299.64,mapped_burn_positive,fire-extent-severity-mapping-results-2018-19.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-1,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2019,2019-20,2019-07-01,2020-06-30,12,time-series-data-2019-2020.xlsx,Councils,65,5671000.0,5671000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2019-20.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,0,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2020,2020-21,2020-07-01,2021-06-30,12,time-series-data-2020-2021.xlsx,Councils,65,,,,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2020-21.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,922|923,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,1,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
kiama,Kiama,2021,2021-22,2021-07-01,2022-06-30,12,time-series-data-2021-22.xlsx,Councils,65,5420000.0,54200000.0,,True,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2021-22.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,1012|1025,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,2,12.7,-0.3,1.9,65.9,6.8,False,23006,268.08000000000004,5535000.0,107.24665762449138,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,65,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
lismore,Lismore,2018,2018-19,2018-07-01,2019-06-30,12,time-series-data-2018-2019.xlsx,2018_19_Councils,72,10739000.0,11526000.0,93.17195904910636,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2018-19.xlsx,not_reaudited_in_this_extension,1.0,0.0,1.0,listed_event_onset,no_listed_event_onset_not_physical_zero,823,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,-3,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
lismore,Lismore,2019,2019-20,2019-07-01,2020-06-30,12,time-series-data-2019-2020.xlsx,Councils,72,10713000.0,11734000.0,91.29878984148628,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",3059.42,mapped_burn_positive,fire-extent-severity-mapping-results-2019-20.xlsx,not_reaudited_in_this_extension,1.0,1.0,1.0,listed_event_onset,listed_event_onset,871|898,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,-2,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
lismore,Lismore,2020,2020-21,2020-07-01,2021-06-30,12,time-series-data-2020-2021.xlsx,Councils,72,10394000.0,12073000.0,86.09293464756067,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2020-21.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,943|954|960,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,-1,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E001;E004;E007;E010
lismore,Lismore,2021,2021-22,2021-07-01,2022-06-30,12,time-series-data-2021-22.xlsx,Councils,72,10368000.0,12931000.0,80.17941381177016,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2021-22.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,987|1012,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,0,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E002;E005;E008;E021;E022;E023;E024;E025
lismore,Lismore,2022,2022-23,2022-07-01,2023-06-30,12,time-series-data-2022-23.xlsx,Councils,71,18122000.0,16944000.0,106.952313503305,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2022-23.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,1034,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,1,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E003;E006;E009;E026;E027;E028
lismore,Lismore,2023,2023-24,2023-07-01,2024-06-30,12,time-series-data-2023-24.xlsx,Councils ,71,22141000.0,18172000.0,121.8412942989214,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2023-24.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,1101|1119,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2021,northern_rivers_floods_2022,treated,2,13.33,-9.93,1.84,64.37,3.04,False,43667,1233.6,10394000.0,86.09293464756067,2020,prior-period economic values; historical publication availability not certified,time-series-data-2020-2021.xlsx,Councils,72,0,1,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E029;E030
