target,history,test_year,test_fy,status,train_candidate_n,train_n,train_excluded_n,test_candidate_n,test_n,test_excluded_n,training_target_years,train_target_max,embargoed_eligible_rows,test_excluded__no_exact_prior_year,test_excluded__missing_target,train_excluded__missing_target,test_excluded__missing_eligible_persistence,train_excluded__missing_eligible_persistence,test_excluded__no_exact_target_year,test_excluded__outside_history_window,train_excluded__outside_history_window,test_excluded__cash_definition_not_comparable,train_excluded__cash_definition_not_comparable,test_excluded__maintenance_prior_conflict,test_excluded__maintenance_target_conflict,train_excluded__maintenance_prior_conflict,train_excluded__maintenance_target_conflict
maintenance_ratio_pct,long,2021,2021-22,evaluated,618,607,11,103,102,1,2014|2015|2016|2017|2018|2019,2019.0,100,,,2.0,,2.0,,,,,,,1.0,4.0,3.0
maintenance_ratio_pct,long,2022,2022-23,evaluated,721,707,14,103,100,3,2014|2015|2016|2017|2018|2019|2020,2020.0,102,,1.0,3.0,1.0,2.0,,,,,,1.0,,5.0,4.0
maintenance_ratio_pct,long,2023,2023-24,evaluated,824,809,15,103,102,1,2014|2015|2016|2017|2018|2019|2020|2021,2021.0,100,,,3.0,,2.0,,,,,,1.0,,5.0,5.0
maintenance_ratio_pct,long,2024,2024-25,evaluated,927,909,18,103,101,2,2014|2015|2016|2017|2018|2019|2020|2021|2022,2022.0,102,,1.0,4.0,1.0,3.0,,,,,,,,6.0,5.0
maintenance_ratio_pct,long,2025,2025-26,skipped_insufficient_train_or_test,1030,1011,19,103,0,103,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2023.0,101,,,4.0,,3.0,103.0,,,,,,,7.0,5.0
maintenance_ratio_pct,short_2017_onward,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
maintenance_ratio_pct,short_2017_onward,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
maintenance_ratio_pct,short_2017_onward,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
maintenance_ratio_pct,short_2017_onward,2016,2016-17,skipped_insufficient_train_or_test,103,0,103,103,0,103,,,0,,,,,,,103.0,103.0,,,,,,
maintenance_ratio_pct,short_2017_onward,2017,2017-18,skipped_insufficient_train_or_test,206,0,206,103,0,103,,,0,,,,,,,103.0,206.0,,,,,,
maintenance_ratio_pct,short_2017_onward,2018,2018-19,skipped_insufficient_train_or_test,309,0,309,103,0,103,,,0,,,,,,,103.0,309.0,,,,,,
maintenance_ratio_pct,short_2017_onward,2019,2019-20,skipped_insufficient_train_or_test,412,0,412,103,101,2,,,0,,,,1.0,,,,412.0,,,1.0,,,
maintenance_ratio_pct,short_2017_onward,2020,2020-21,skipped_insufficient_train_or_test,515,0,515,103,100,3,,,101,,1.0,,,,,,515.0,,,1.0,1.0,,
maintenance_ratio_pct,short_2017_onward,2021,2021-22,evaluated,618,101,517,103,102,1,2019,2019.0,100,,,,,1.0,,,515.0,,,,1.0,1.0,
maintenance_ratio_pct,short_2017_onward,2022,2022-23,evaluated,721,201,520,103,100,3,2019|2020,2020.0,102,,1.0,1.0,1.0,1.0,,,515.0,,,1.0,,2.0,1.0
maintenance_ratio_pct,short_2017_onward,2023,2023-24,evaluated,824,303,521,103,102,1,2019|2020|2021,2021.0,100,,,1.0,,1.0,,,515.0,,,1.0,,2.0,2.0
maintenance_ratio_pct,short_2017_onward,2024,2024-25,evaluated,927,403,524,103,101,2,2019|2020|2021|2022,2022.0,102,,1.0,2.0,1.0,2.0,,,515.0,,,,,3.0,2.0
maintenance_ratio_pct,short_2017_onward,2025,2025-26,skipped_insufficient_train_or_test,1030,505,525,103,0,103,2019|2020|2021|2022|2023,2023.0,101,,,2.0,,2.0,103.0,,515.0,,,,,4.0,2.0
