council_key,prior_year,event_year,target_year,exclusion_reason,target
cessnock,2014,2015,2016,eligible,operating_ratio_pct
cessnock,2015,2016,2017,eligible,operating_ratio_pct
cessnock,2016,2017,2018,eligible,operating_ratio_pct
cessnock,2017,2018,2019,eligible,operating_ratio_pct
cessnock,2018,2019,2020,eligible,operating_ratio_pct
cessnock,2019,2020,2021,eligible,operating_ratio_pct
cessnock,2020,2021,2022,eligible,operating_ratio_pct
cessnock,2021,2022,2023,eligible,operating_ratio_pct
cessnock,2022,2023,2024,missing_target,operating_ratio_pct
cessnock,2023,2024,2025,no_exact_target_year,operating_ratio_pct
clarencevalley,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
clarencevalley,2012,2013,2014,eligible,operating_ratio_pct
clarencevalley,2013,2014,2015,eligible,operating_ratio_pct
clarencevalley,2014,2015,2016,eligible,operating_ratio_pct
clarencevalley,2015,2016,2017,eligible,operating_ratio_pct
clarencevalley,2016,2017,2018,eligible,operating_ratio_pct
clarencevalley,2017,2018,2019,eligible,operating_ratio_pct
clarencevalley,2018,2019,2020,eligible,operating_ratio_pct
clarencevalley,2019,2020,2021,eligible,operating_ratio_pct
clarencevalley,2020,2021,2022,eligible,operating_ratio_pct
clarencevalley,2021,2022,2023,eligible,operating_ratio_pct
clarencevalley,2022,2023,2024,missing_target,operating_ratio_pct
clarencevalley,2023,2024,2025,no_exact_target_year,operating_ratio_pct
coffsharbour,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
coffsharbour,2012,2013,2014,eligible,operating_ratio_pct
coffsharbour,2013,2014,2015,eligible,operating_ratio_pct
coffsharbour,2014,2015,2016,eligible,operating_ratio_pct
coffsharbour,2015,2016,2017,eligible,operating_ratio_pct
coffsharbour,2016,2017,2018,eligible,operating_ratio_pct
coffsharbour,2017,2018,2019,eligible,operating_ratio_pct
coffsharbour,2018,2019,2020,eligible,operating_ratio_pct
coffsharbour,2019,2020,2021,eligible,operating_ratio_pct
coffsharbour,2020,2021,2022,eligible,operating_ratio_pct
coffsharbour,2021,2022,2023,eligible,operating_ratio_pct
coffsharbour,2022,2023,2024,missing_target,operating_ratio_pct
coffsharbour,2023,2024,2025,no_exact_target_year,operating_ratio_pct
coolamon,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
coolamon,2012,2013,2014,eligible,operating_ratio_pct
coolamon,2013,2014,2015,eligible,operating_ratio_pct
coolamon,2014,2015,2016,eligible,operating_ratio_pct
coolamon,2015,2016,2017,eligible,operating_ratio_pct
coolamon,2016,2017,2018,eligible,operating_ratio_pct
coolamon,2017,2018,2019,eligible,operating_ratio_pct
coolamon,2018,2019,2020,eligible,operating_ratio_pct
coolamon,2019,2020,2021,eligible,operating_ratio_pct
coolamon,2020,2021,2022,eligible,operating_ratio_pct
coolamon,2021,2022,2023,eligible,operating_ratio_pct
coolamon,2022,2023,2024,missing_target,operating_ratio_pct
coolamon,2023,2024,2025,no_exact_target_year,operating_ratio_pct
coonamble,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
coonamble,2012,2013,2014,eligible,operating_ratio_pct
coonamble,2013,2014,2015,eligible,operating_ratio_pct
coonamble,2014,2015,2016,eligible,operating_ratio_pct
coonamble,2015,2016,2017,eligible,operating_ratio_pct
coonamble,2016,2017,2018,eligible,operating_ratio_pct
coonamble,2017,2018,2019,eligible,operating_ratio_pct
coonamble,2018,2019,2020,eligible,operating_ratio_pct
coonamble,2019,2020,2021,eligible,operating_ratio_pct
coonamble,2020,2021,2022,eligible,operating_ratio_pct
coonamble,2021,2022,2023,eligible,operating_ratio_pct
coonamble,2022,2023,2024,missing_target,operating_ratio_pct
coonamble,2023,2024,2025,no_exact_target_year,operating_ratio_pct
cowra,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
cowra,2012,2013,2014,eligible,operating_ratio_pct
cowra,2013,2014,2015,eligible,operating_ratio_pct
cowra,2014,2015,2016,eligible,operating_ratio_pct
cowra,2015,2016,2017,eligible,operating_ratio_pct
cowra,2016,2017,2018,eligible,operating_ratio_pct
cowra,2017,2018,2019,eligible,operating_ratio_pct
cowra,2018,2019,2020,eligible,operating_ratio_pct
cowra,2019,2020,2021,eligible,operating_ratio_pct
cowra,2020,2021,2022,eligible,operating_ratio_pct
cowra,2021,2022,2023,eligible,operating_ratio_pct
cowra,2022,2023,2024,missing_target,operating_ratio_pct
cowra,2023,2024,2025,no_exact_target_year,operating_ratio_pct
dungog,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
dungog,2012,2013,2014,eligible,operating_ratio_pct
dungog,2013,2014,2015,eligible,operating_ratio_pct
dungog,2014,2015,2016,eligible,operating_ratio_pct
dungog,2015,2016,2017,eligible,operating_ratio_pct
dungog,2016,2017,2018,eligible,operating_ratio_pct
dungog,2017,2018,2019,eligible,operating_ratio_pct
dungog,2018,2019,2020,eligible,operating_ratio_pct
dungog,2019,2020,2021,eligible,operating_ratio_pct
dungog,2020,2021,2022,eligible,operating_ratio_pct
dungog,2021,2022,2023,eligible,operating_ratio_pct
dungog,2022,2023,2024,missing_target,operating_ratio_pct
dungog,2023,2024,2025,no_exact_target_year,operating_ratio_pct
eurobodalla,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
eurobodalla,2012,2013,2014,eligible,operating_ratio_pct
eurobodalla,2013,2014,2015,eligible,operating_ratio_pct
eurobodalla,2014,2015,2016,eligible,operating_ratio_pct
eurobodalla,2015,2016,2017,eligible,operating_ratio_pct
eurobodalla,2016,2017,2018,eligible,operating_ratio_pct
eurobodalla,2017,2018,2019,eligible,operating_ratio_pct
eurobodalla,2018,2019,2020,eligible,operating_ratio_pct
eurobodalla,2019,2020,2021,eligible,operating_ratio_pct
eurobodalla,2020,2021,2022,eligible,operating_ratio_pct
eurobodalla,2021,2022,2023,eligible,operating_ratio_pct
eurobodalla,2022,2023,2024,missing_target,operating_ratio_pct
eurobodalla,2023,2024,2025,no_exact_target_year,operating_ratio_pct
fairfield,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
fairfield,2012,2013,2014,eligible,operating_ratio_pct
fairfield,2013,2014,2015,eligible,operating_ratio_pct
fairfield,2014,2015,2016,eligible,operating_ratio_pct
fairfield,2015,2016,2017,eligible,operating_ratio_pct
fairfield,2016,2017,2018,eligible,operating_ratio_pct
fairfield,2017,2018,2019,eligible,operating_ratio_pct
fairfield,2018,2019,2020,eligible,operating_ratio_pct
fairfield,2019,2020,2021,eligible,operating_ratio_pct
fairfield,2020,2021,2022,eligible,operating_ratio_pct
fairfield,2021,2022,2023,eligible,operating_ratio_pct
fairfield,2022,2023,2024,missing_target,operating_ratio_pct
fairfield,2023,2024,2025,no_exact_target_year,operating_ratio_pct
forbes,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
forbes,2012,2013,2014,eligible,operating_ratio_pct
forbes,2013,2014,2015,eligible,operating_ratio_pct
forbes,2014,2015,2016,eligible,operating_ratio_pct
forbes,2015,2016,2017,eligible,operating_ratio_pct
forbes,2016,2017,2018,eligible,operating_ratio_pct
forbes,2017,2018,2019,eligible,operating_ratio_pct
forbes,2018,2019,2020,eligible,operating_ratio_pct
forbes,2019,2020,2021,eligible,operating_ratio_pct
forbes,2020,2021,2022,eligible,operating_ratio_pct
forbes,2021,2022,2023,eligible,operating_ratio_pct
forbes,2022,2023,2024,missing_target,operating_ratio_pct
forbes,2023,2024,2025,no_exact_target_year,operating_ratio_pct
gilgandra,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
gilgandra,2012,2013,2014,eligible,operating_ratio_pct
gilgandra,2013,2014,2015,eligible,operating_ratio_pct
gilgandra,2014,2015,2016,eligible,operating_ratio_pct
gilgandra,2015,2016,2017,eligible,operating_ratio_pct
gilgandra,2016,2017,2018,eligible,operating_ratio_pct
gilgandra,2017,2018,2019,eligible,operating_ratio_pct
gilgandra,2018,2019,2020,eligible,operating_ratio_pct
gilgandra,2019,2020,2021,eligible,operating_ratio_pct
gilgandra,2020,2021,2022,eligible,operating_ratio_pct
gilgandra,2021,2022,2023,eligible,operating_ratio_pct
gilgandra,2022,2023,2024,missing_target,operating_ratio_pct
gilgandra,2023,2024,2025,no_exact_target_year,operating_ratio_pct
gleninnessevern,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
gleninnessevern,2012,2013,2014,eligible,operating_ratio_pct
gleninnessevern,2013,2014,2015,eligible,operating_ratio_pct
gleninnessevern,2014,2015,2016,eligible,operating_ratio_pct
gleninnessevern,2015,2016,2017,eligible,operating_ratio_pct
gleninnessevern,2016,2017,2018,eligible,operating_ratio_pct
gleninnessevern,2017,2018,2019,eligible,operating_ratio_pct
gleninnessevern,2018,2019,2020,eligible,operating_ratio_pct
gleninnessevern,2019,2020,2021,eligible,operating_ratio_pct
gleninnessevern,2020,2021,2022,missing_target,operating_ratio_pct
gleninnessevern,2021,2022,2023,eligible,operating_ratio_pct
gleninnessevern,2022,2023,2024,missing_target,operating_ratio_pct
gleninnessevern,2023,2024,2025,no_exact_target_year,operating_ratio_pct
goulburnmulwaree,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
goulburnmulwaree,2012,2013,2014,eligible,operating_ratio_pct
goulburnmulwaree,2013,2014,2015,eligible,operating_ratio_pct
goulburnmulwaree,2014,2015,2016,eligible,operating_ratio_pct
goulburnmulwaree,2015,2016,2017,eligible,operating_ratio_pct
goulburnmulwaree,2016,2017,2018,eligible,operating_ratio_pct
goulburnmulwaree,2017,2018,2019,eligible,operating_ratio_pct
goulburnmulwaree,2018,2019,2020,eligible,operating_ratio_pct
goulburnmulwaree,2019,2020,2021,eligible,operating_ratio_pct
goulburnmulwaree,2020,2021,2022,eligible,operating_ratio_pct
goulburnmulwaree,2021,2022,2023,eligible,operating_ratio_pct
goulburnmulwaree,2022,2023,2024,missing_target,operating_ratio_pct
goulburnmulwaree,2023,2024,2025,no_exact_target_year,operating_ratio_pct
greaterhume,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
greaterhume,2012,2013,2014,eligible,operating_ratio_pct
greaterhume,2013,2014,2015,eligible,operating_ratio_pct
greaterhume,2014,2015,2016,eligible,operating_ratio_pct
greaterhume,2015,2016,2017,eligible,operating_ratio_pct
greaterhume,2016,2017,2018,eligible,operating_ratio_pct
greaterhume,2017,2018,2019,eligible,operating_ratio_pct
greaterhume,2018,2019,2020,eligible,operating_ratio_pct
greaterhume,2019,2020,2021,eligible,operating_ratio_pct
greaterhume,2020,2021,2022,eligible,operating_ratio_pct
greaterhume,2021,2022,2023,eligible,operating_ratio_pct
greaterhume,2022,2023,2024,missing_target,operating_ratio_pct
