target,spec,history,outer_year,inner_year,train_n,validation_n,train_target_max,validation_event_year
operating_ratio_pct,fiscal_plus_fire,long,2023,2021,614,103,2019,2020
operating_ratio_pct,fiscal_plus_disaster,long,2023,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2023,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_disaster,long,2023,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_disaster,long,2023,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_disaster,long,2023,2020,512,102,2018,2019
operating_ratio_pct,fiscal_plus_disaster,long,2023,2021,614,103,2019,2020
operating_ratio_pct,fiscal_only,short_2017_onward,2023,2021,102,103,2019,2020
operating_ratio_pct,fiscal_plus_fire,short_2017_onward,2023,2021,102,103,2019,2020
operating_ratio_pct,fiscal_plus_disaster,short_2017_onward,2023,2021,102,103,2019,2020
cash_cover_months,fiscal_only,long,2019,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_fire,long,2019,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_disaster,long,2019,2017,103,102,2015,2016
cash_cover_months,fiscal_only,long,2020,2017,103,102,2015,2016
cash_cover_months,fiscal_only,long,2020,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_fire,long,2020,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_fire,long,2020,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_disaster,long,2020,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_disaster,long,2020,2018,205,103,2016,2017
cash_cover_months,fiscal_only,long,2021,2017,103,102,2015,2016
cash_cover_months,fiscal_only,long,2021,2018,205,103,2016,2017
cash_cover_months,fiscal_only,long,2021,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_fire,long,2021,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_fire,long,2021,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_fire,long,2021,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_disaster,long,2021,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_disaster,long,2021,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_disaster,long,2021,2019,307,102,2017,2018
cash_cover_months,fiscal_only,long,2022,2017,103,102,2015,2016
cash_cover_months,fiscal_only,long,2022,2018,205,103,2016,2017
cash_cover_months,fiscal_only,long,2022,2019,307,102,2017,2018
cash_cover_months,fiscal_only,long,2022,2020,410,102,2018,2019
cash_cover_months,fiscal_plus_fire,long,2022,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_fire,long,2022,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_fire,long,2022,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_fire,long,2022,2020,410,102,2018,2019
cash_cover_months,fiscal_plus_disaster,long,2022,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_disaster,long,2022,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_disaster,long,2022,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_disaster,long,2022,2020,410,102,2018,2019
cash_cover_months,fiscal_only,long,2023,2017,103,102,2015,2016
cash_cover_months,fiscal_only,long,2023,2018,205,103,2016,2017
cash_cover_months,fiscal_only,long,2023,2019,307,102,2017,2018
cash_cover_months,fiscal_only,long,2023,2020,410,102,2018,2019
cash_cover_months,fiscal_only,long,2023,2021,512,103,2019,2020
cash_cover_months,fiscal_plus_fire,long,2023,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_fire,long,2023,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_fire,long,2023,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_fire,long,2023,2020,410,102,2018,2019
cash_cover_months,fiscal_plus_fire,long,2023,2021,512,103,2019,2020
cash_cover_months,fiscal_plus_disaster,long,2023,2017,103,102,2015,2016
cash_cover_months,fiscal_plus_disaster,long,2023,2018,205,103,2016,2017
cash_cover_months,fiscal_plus_disaster,long,2023,2019,307,102,2017,2018
cash_cover_months,fiscal_plus_disaster,long,2023,2020,410,102,2018,2019
cash_cover_months,fiscal_plus_disaster,long,2023,2021,512,103,2019,2020
cash_cover_months,fiscal_only,short_2017_onward,2023,2021,102,103,2019,2020
cash_cover_months,fiscal_plus_fire,short_2017_onward,2023,2021,102,103,2019,2020
cash_cover_months,fiscal_plus_disaster,short_2017_onward,2023,2021,102,103,2019,2020
maintenance_ratio_pct,fiscal_only,long,2018,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2018,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2018,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2019,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2019,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2019,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2019,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2019,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2019,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2020,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2020,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2020,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_fire,long,2020,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2020,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2020,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_disaster,long,2020,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2020,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2020,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_only,long,2021,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2021,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2021,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_only,long,2021,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_fire,long,2021,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2021,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2021,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_fire,long,2021,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_disaster,long,2021,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2021,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2021,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_disaster,long,2021,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_only,long,2022,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2022,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2022,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_only,long,2022,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_only,long,2022,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_fire,long,2022,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2022,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2022,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_fire,long,2022,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_fire,long,2022,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_disaster,long,2022,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2022,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2022,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_disaster,long,2022,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_disaster,long,2022,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_only,long,2023,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2023,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2023,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_only,long,2023,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_only,long,2023,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_only,long,2023,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_fire,long,2023,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_disaster,long,2023,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_only,long,2024,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_only,long,2024,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_only,long,2024,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_only,long,2024,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_only,long,2024,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_only,long,2024,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_only,long,2024,2022,707,100,2020,2021
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_plus_fire,long,2024,2022,707,100,2020,2021
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2016,100,102,2014,2015
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2017,202,100,2015,2016
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2018,304,102,2016,2017
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2019,404,101,2017,2018
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2020,506,100,2018,2019
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2021,607,102,2019,2020
maintenance_ratio_pct,fiscal_plus_disaster,long,2024,2022,707,100,2020,2021
maintenance_ratio_pct,fiscal_only,short_2017_onward,2023,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_plus_fire,short_2017_onward,2023,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_plus_disaster,short_2017_onward,2023,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_only,short_2017_onward,2024,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_only,short_2017_onward,2024,2022,201,100,2020,2021
maintenance_ratio_pct,fiscal_plus_fire,short_2017_onward,2024,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_plus_fire,short_2017_onward,2024,2022,201,100,2020,2021
maintenance_ratio_pct,fiscal_plus_disaster,short_2017_onward,2024,2021,101,102,2019,2020
maintenance_ratio_pct,fiscal_plus_disaster,short_2017_onward,2024,2022,201,100,2020,2021
