council_key,council_name,event_year,fesm_burned_ha__event,bushfire_declared__event,flood_declared__event,fesm_status__event,fesm_min_fire_size_ha_exclusive__event,fesm_sensor__event,bushfire_declaration_status__event,flood_declaration_status__event,year_start__prior,operating_ratio_pct__prior,cash_cover_months__prior,current_ratio__prior,own_source_pct__prior,debt_service_cover__prior,maintenance_ratio_pct__prior,population__prior,road_km__prior,reporting_months__prior,cash_definition_status__prior,maintenance_conflict__prior,operating_definition_regime__prior,year_start__future,operating_ratio_pct__future,cash_cover_months__future,maintenance_ratio_pct__future,reporting_months__future,maintenance_conflict__future,operating_definition_regime__future,prior_year,target_year
ballina,Ballina,2020,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2019.0,3.39,9.99,2.59,69.59,2.59,94.6932228311723,44628.0,703.757,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2021.0,0.48,12.6676,94.69113149847097,12.0,False,AASB15/1058 and lease regime,2019,2021
ballina,Ballina,2021,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2020.0,5.37,13.12,2.7,64.08,3.18,98.76135425268372,45217.0,714.8335,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2022.0,2.61,11.5415,104.90080428954424,12.0,False,AASB15/1058 and lease regime,2020,2022
ballina,Ballina,2022,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2021.0,0.48,12.6676,2.6347,65.71,2.855,94.69113149847097,46172.0,715.2589999999999,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2023.0,4.14,10.768,92.30223123732252,12.0,False,AASB15/1058 and lease regime,2021,2023
ballina,Ballina,2023,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2022.0,2.61,11.5415,2.6055,69.17,3.199,104.90080428954424,46850.0,716.774,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2024.0,,,86.39108221086856,12.0,False,Six fiscal ratios not collected by OLG,2022,2024
ballina,Ballina,2024,,0.0,1.0,unknown_source_not_acquired,,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2023.0,4.14,10.768,2.1097,69.37,2.5272,92.30223123732252,47935.0,718.901,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,,,,,,,,2023,2025
balranald,Balranald,2012,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,no_listed_event_in_complete_published_list_not_physical_zero,no_listed_event_in_complete_published_list_not_physical_zero,,,,,,,,,,,,,,2013.0,-68.44,6.2689,107.75782688766114,12.0,False,Early OLG/TCorp definitions; revaluation exclusions described,2011,2013
balranald,Balranald,2013,157.1644623077817,,,observed_positive_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2012.0,-59.91,,2.361,26.27,4.3082,109.25414364640883,2343.0,,12.0,Earlier measure excludes term deposits and uses different expense denominator; not converted,False,Early OLG/TCorp definitions; revaluation exclusions described,2014.0,-38.63,5.8367,112.82646546720837,12.0,False,Pre-AASB15/1058,2012,2014
balranald,Balranald,2014,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2013.0,-68.44,6.2689,1.4088,39.06,1.2892,107.75782688766114,2371.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Early OLG/TCorp definitions; revaluation exclusions described,2015.0,-16.1,8.13,54.765225476522545,12.0,False,Pre-AASB15/1058,2013,2015
balranald,Balranald,2015,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2014.0,-38.63,5.8367,1.9461,36.22,5.9759,112.82646546720837,2400.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2016.0,6.84,9.4104,84.6938775510204,12.0,False,Pre-AASB15/1058,2014,2016
balranald,Balranald,2016,268.99810810649353,,1.0,observed_positive_mapped_burn_within_source_scope,100.0,Landsat 8,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2015.0,-16.1,8.13,2.92,34.9,9.77,54.765225476522545,2422.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2017.0,-5.95,11.03,108.73015873015872,12.0,False,Pre-AASB15/1058,2015,2017
balranald,Balranald,2017,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2016.0,6.84,9.4104,6.172000000000001,31.89,15.2647,84.6938775510204,2310.0,1586.95,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2018.0,-3.35,11.94,95.66887879846315,12.0,False,Pre-AASB15/1058,2016,2018
balranald,Balranald,2018,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2017.0,-5.95,11.03,4.64,39.82,7.23,108.73015873015872,2341.0,1586.95,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2019.0,-2.65,12.64,124.43403590944574,12.0,False,AASB15/1058 and lease regime,2017,2019
balranald,Balranald,2019,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2018.0,-3.35,11.94,3.78,35.07,11.45,95.66887879846315,2340.0,1593.0200000000002,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2020.0,6.35,20.51,104.01246591351772,12.0,False,AASB15/1058 and lease regime,2018,2020
balranald,Balranald,2020,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2019.0,-2.65,12.64,5.72,35.48,12.22,124.43403590944574,2338.0,1593.14,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2021.0,11.99,24.658,92.73100616016428,12.0,False,AASB15/1058 and lease regime,2019,2021
balranald,Balranald,2021,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2020.0,6.35,20.51,6.14,34.73,16.73,104.01246591351772,2306.0,1593.14,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2022.0,20.61,26.0338,185.67402536402068,12.0,False,AASB15/1058 and lease regime,2020,2022
balranald,Balranald,2022,175.85,0.0,1.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2021.0,11.99,24.658,7.1456,35.46,24.3495,92.73100616016428,2207.0,1593.1,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2023.0,1.06,20.9322,180.72840409956075,12.0,False,AASB15/1058 and lease regime,2021,2023
balranald,Balranald,2023,3988.69,0.0,0.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2022.0,20.61,26.0338,12.4906,32.98,34.1792,185.67402536402068,2210.0,1593.11,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2024.0,,,205.18793012175755,12.0,False,Six fiscal ratios not collected by OLG,2022,2024
balranald,Balranald,2024,,0.0,0.0,unknown_source_not_acquired,,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2023.0,1.06,20.9322,16.5063,39.36,21.8947,180.72840409956075,2219.0,1593.11,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,,,,,,,,2023,2025
bathurst,Bathurst Regional,2012,0.0,1.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,observed_positive_in_complete_published_list,no_listed_event_in_complete_published_list_not_physical_zero,,,,,,,,,,,,,,2013.0,-6.29,13.6658,56.52216142713763,12.0,False,Early OLG/TCorp definitions; revaluation exclusions described,2011,2013
bathurst,Bathurst Regional,2013,3318.5051695627662,1.0,,observed_positive_mapped_burn_within_source_scope,100.0,Landsat,observed_positive_partial_inventory_count_lower_bound,unknown_incomplete_inventory_no_positive_record,2012.0,6.02,,2.4837,61.12,5.7614,45.6398931799507,40253.0,,12.0,Earlier measure excludes term deposits and uses different expense denominator; not converted,False,Early OLG/TCorp definitions; revaluation exclusions described,2014.0,-1.26,9.3538,54.25984803578165,12.0,False,Pre-AASB15/1058,2012,2014
bathurst,Bathurst Regional,2014,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2013.0,-6.29,13.6658,3.908,78.03,3.2673,56.52216142713763,41051.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Early OLG/TCorp definitions; revaluation exclusions described,2015.0,-6.91,8.36,51.73880173880174,12.0,False,Pre-AASB15/1058,2013,2015
bathurst,Bathurst Regional,2015,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2014.0,-1.26,9.3538,2.5455,77.04,4.1048,54.25984803578165,41682.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2016.0,-5.45,10.022,158.77780906786822,12.0,False,Pre-AASB15/1058,2014,2016
bathurst,Bathurst Regional,2016,344.1844733278337,1.0,1.0,observed_positive_mapped_burn_within_source_scope,100.0,Landsat 8,observed_positive_partial_inventory_count_lower_bound,observed_positive_partial_inventory_count_lower_bound,2015.0,-6.91,8.36,1.88,75.73,3.95,51.73880173880174,42231.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2017.0,-6.92,10.47,81.490727532097,12.0,False,Pre-AASB15/1058,2015,2017
bathurst,Bathurst Regional,2017,305.25,1.0,0.0,mapped_burn_positive,100.0,Sentinel 2 (original mapping scope varies by year),listed_event_onset,no_listed_event_onset_not_physical_zero,2016.0,-5.45,10.022,2.2717,62.4,4.1209,158.77780906786822,42389.0,1347.6799999999998,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2018.0,-15.36,8.9,146.35267674703718,12.0,False,Pre-AASB15/1058,2016,2018
bathurst,Bathurst Regional,2018,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2017.0,-6.92,10.47,1.14,69.3,3.66,81.490727532097,42779.0,1352.48,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2019.0,-21.84,7.81,159.3585115245765,12.0,False,AASB15/1058 and lease regime,2017,2019
bathurst,Bathurst Regional,2019,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2018.0,-15.36,8.9,0.87,68.29,2.17,146.35267674703718,43206.0,1355.64,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2020.0,-25.35,10.24,54.78801707640218,12.0,False,AASB15/1058 and lease regime,2018,2020
bathurst,Bathurst Regional,2020,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2019.0,-21.84,7.81,0.95,71.37,1.05,159.3585115245765,43618.0,1357.0,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2021.0,-20.8,12.2047,65.84576054537708,12.0,False,AASB15/1058 and lease regime,2019,2021
bathurst,Bathurst Regional,2021,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2020.0,-25.35,10.24,1.47,73.85,1.71,54.78801707640218,43996.0,1360.66,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2022.0,-19.94,9.2174,115.68065280917462,12.0,False,AASB15/1058 and lease regime,2020,2022
bathurst,Bathurst Regional,2022,1760.97,1.0,1.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),listed_event_onset,listed_event_onset,2021.0,-20.8,12.2047,1.1488,70.46,2.4637,65.84576054537708,43653.0,1369.58,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2023.0,-8.5,5.9722,86.82001343183344,12.0,False,AASB15/1058 and lease regime,2021,2023
bathurst,Bathurst Regional,2023,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2022.0,-19.94,9.2174,0.9561,71.7,2.034,115.68065280917462,44112.0,1374.39,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2024.0,,,61.26456022877869,12.0,False,Six fiscal ratios not collected by OLG,2022,2024
bathurst,Bathurst Regional,2024,,1.0,0.0,unknown_source_not_acquired,,Sentinel 2 (original mapping scope varies by year),listed_event_onset,no_listed_event_onset_not_physical_zero,2023.0,-8.5,5.9722,0.5943,65.38,2.6952,86.82001343183344,44939.0,1370.32,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,,,,,,,,2023,2025
begavalley,Bega Valley,2012,0.0,1.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,observed_positive_in_complete_published_list,no_listed_event_in_complete_published_list_not_physical_zero,,,,,,,,,,,,,,2013.0,-8.870000000000001,10.0037,94.35831180017226,12.0,False,Early OLG/TCorp definitions; revaluation exclusions described,2011,2013
begavalley,Bega Valley,2013,363.9928947048224,,,observed_positive_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2012.0,-3.9,,2.5038,63.849999999999994,5.0849,85.82823223891671,33259.0,,12.0,Earlier measure excludes term deposits and uses different expense denominator; not converted,False,Early OLG/TCorp definitions; revaluation exclusions described,2014.0,-0.72,11.8546,81.00812439940596,12.0,False,Pre-AASB15/1058,2012,2014
begavalley,Bega Valley,2014,0.0,,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2013.0,-8.870000000000001,10.0037,1.9367,79.55,4.1647,94.35831180017226,33313.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Early OLG/TCorp definitions; revaluation exclusions described,2015.0,-3.15,11.05,354.2518479057069,12.0,False,Pre-AASB15/1058,2013,2015
begavalley,Bega Valley,2015,2752.356463292791,,1.0,observed_positive_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2014.0,-0.72,11.8546,1.3125,74.52,4.5824,81.00812439940596,33468.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2016.0,-2.89,9.9787,95.82789643568437,12.0,False,Pre-AASB15/1058,2014,2016
begavalley,Bega Valley,2016,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat 8,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2015.0,-3.15,11.05,1.29,74.62,5.04,354.2518479057069,33475.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2017.0,1.14,12.83,80.59558951206807,12.0,False,Pre-AASB15/1058,2015,2017
