source_id,url
richmond_budgets,https://richmondvalley.nsw.gov.au/council/governance/budgets-and-financial-reports/
richmond_recovery,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Rebuilding-the-Richmond-Valley-2022-25-Recovery-Plan-May-2022_0.pdf
lismore_damage,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Council-Releases-2022-Flood-Response-Report
lismore_agreement,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Lismore-Secures-Historic-Funding-Agreement-for-860-Million-Roads-and-Bridges-Rebuild
ra_payments,https://www.nsw.gov.au/media-releases/new-agreements-deliver-296-million-of-road-repair-funding-just-three-months
lismore_ar2022,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual-report-2022.pdf
lismore_ar2021,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual-report-2021.pdf
lismore_ar2020,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/annual-report-2019-2020.pdf
lismore_ar2019,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/annual-report-2018-2019.pdf
lismore_fs2022,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf
lismore_fs2024,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2024.pdf
lismore_budget2023,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/2022-2023-budget-by-program.pdf
lismore_budget2024,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/2023-2024-budget-by-program.pdf
richmond_ar2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual-Report-2021-2022-FINAL.pdf
richmond_ar2021,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/RVC-Annual-Report-2020-21-WEB-Final.pdf
richmond_ar2020,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/11/RVC-Annual-Report-2019-2020-FINAL_WEB.pdf
richmond_ar2019,https://richmondvalley.nsw.gov.au/wp-content/uploads/2019/11/RVC-Annual-Report-2019_FINAL.pdf
richmond_plan2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf
richmond_plan2021,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/10/Operational-Plan-2020-2021-including-Financial-Estimates-2020-2024-Adopted-by-Council-23-June-2020-1.pdf
richmond_plan2023,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/06/Operational-Plan-including-Financial-Estimates-2022-2026-presented-to-Council-28-June-2022_1.pdf
richmond_fs2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf
lismore_plan2022_index,https://yoursay.lismore.nsw.gov.au/2021-22-operational-plan-and-budget/widgets/337480/documents
wagga_ar2022,https://wagga.nsw.gov.au/imagesfiles/documents/the-council/planning-and-reporting/annual-reports/WWCC_AnnualReport_2021_22_WEB.pdf
wagga_performance2022,https://wagga.nsw.gov.au/__data/assets/pdf_file/0008/215819/Operational-Performance-Report-2021.22.pdf
kiama_ar2020,https://www.kiama.nsw.gov.au/files/sharedassets/public/v/1/council/council-plans-amp-reports/annual-report-2019-2020.pdf
griffith_finance,https://www.griffith.nsw.gov.au/Council/Forms-and-documents/Finance-and-budget
euro_roadplan2019,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0008/156608/Agenda-Public.pdf
lismore_draft2022,https://yoursay.lismore.nsw.gov.au/68830/widgets/337480/documents/202976
griffith_fs2020,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-general-purpose-report.pdf
griffith_ss2020,https://www.griffith.nsw.gov.au/files/sharedassets/public/v/1/cm-documents/2019-2020-special-schedule.pdf
euro_cap_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160418/Quarterly-Budget-Review-attachment.pdf
euro_fs2020,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0006/163095/Annual_Financial_Statements-2020-Web.pdf
euro_q1_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0003/158016/Minutes-26-November-2019.pdf
euro_q2_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0004/159106/Minutes-25-February-2020.pdf
euro_q3_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160571/Minutes-28-May-2020.pdf
lismore_flood_history,https://www.lismore.nsw.gov.au/Community/Natural-hazards-and-emergency-information/Flood-information-for-Lismore1/Flood-history
euro_annual2020,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0011/163001/E.ANNUAL-REPORT-2019-2020-FINAL.pdf
