agrn,source_fy,lga_raw,council,source_url,repair_note,out_of_scope,extension_note
860,2018-19,Snowy Valleys,Snowy Valleys,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
845,2018-19,Bathurst,Bathurst Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
845,2018-19,Goulburn Mulwaree,Goulburn Mulwaree,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
845,2018-19,Hilltops,Hilltops,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
845,2018-19,Snowy Valleys,Snowy Valleys,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
853,2018-19,Cabonne,Cabonne,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
853,2018-19,Parkes,Parkes,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
866,2018-19,Newcastle,Newcastle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
855,2018-19,Tamworth,Tamworth Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
851,2018-19,Glen Innes Severn,Glen Innes Severn,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Armidale,Armidale Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Ballina,Ballina,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Bellingen,Bellingen,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Blacktown,Blacktown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Camden,Camden,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Canada Bay,Canada Bay,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Canterbury-Bankstown,Canterbury-Bankstown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Central Coast,Central Coast,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Clarence Valley,Clarence Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Cumberland,Cumberland,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Dubbo,Dubbo Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Dungog,Dungog,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Fairfield,Fairfield,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Hornsby,Hornsby,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Lithgow,Lithgow,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Liverpool,Liverpool,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Mid-Coast,Mid-Coast,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Muswellbrook,Muswellbrook,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Nambucca Valley,Nambucca Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Northern Beaches,Northern Beaches,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Parramatta,Parramatta,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Penrith,Penrith,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Ryde,Ryde,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Sydney,Sydney,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Tamworth,Tamworth Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,The Hills,The Hills,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Upper Hunter,Upper Hunter,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Upper Lachlan,Upper Lachlan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Walcha,Walcha,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Warrumbungle,Warrumbungle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Waverley,Waverley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
834,2018-19,Woollahra,Woollahra,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Blacktown,Blacktown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Cabonne,Cabonne,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Campbelltown,Campbelltown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Canterbury-Bankstown,Canterbury-Bankstown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Clarence Valley,Clarence Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Hornsby,Hornsby,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Inverell,Inverell,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Lachlan,Lachlan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Orange,Orange,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Parramatta,Parramatta,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Ryde,Ryde,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Sutherland,Sutherland,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,The Hills,The Hills,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
833,2018-19,Wollondilly,Wollondilly,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
847,2018-19,Armidale,Armidale Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
842,2018-19,Cessnock,Cessnock,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
842,2018-19,Port Stephens,Port Stephens,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
841,2018-19,Tamworth,Tamworth Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
820,2018-19,Bega Valley,Bega Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
820,2018-19,Eurobodalla,Eurobodalla,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
819,2018-19,Cessnock,Cessnock,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
819,2018-19,Port Stephens,Port Stephens,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
824,2018-19,Clarence Valley,Clarence Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
824,2018-19,Glen Innes Severn,Glen Innes Severn,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
823,2018-19,Kyogle,Kyogle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
823,2018-19,Lismore,Lismore,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
823,2018-19,Richmond Valley,Richmond Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
818,2018-19,Shoalhaven,Shoalhaven,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
918,2019-20,Coonamble,Coonamble,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
918,2019-20,Gilgandra,Gilgandra,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
918,2019-20,Lachlan,Lachlan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
918,2019-20,Parkes,Parkes,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
918,2019-20,Warren,Warren,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
918,2019-20,Warrumbungle,Warrumbungle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
917,2019-20,Bogan,Bogan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
917,2019-20,Central Darling,Central Darling,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
917,2019-20,Cobar,Cobar,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
917,2019-20,Gilgandra,Gilgandra,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
917,2019-20,Parkes,Parkes,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
919,2019-20,Cabonne,Cabonne,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
916,2019-20,Bogan,Bogan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
916,2019-20,Bourke,Bourke,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
916,2019-20,Brewarrina,Brewarrina,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Armidale,Armidale Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Ballina,Ballina,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Bathurst,Bathurst Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Bayside,Bayside,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Bega Valley,Bega Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Bellingen,Bellingen,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Blacktown,Blacktown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Blayney,Blayney,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Blue Mountains,Blue Mountains,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Burwood,Burwood,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Byron,Byron,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Cabonne,Cabonne,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Camden,Camden,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Campbelltown,Campbelltown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Canada Bay,Canada Bay,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Canterbury-Bankstown,Canterbury-Bankstown,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Central Coast,Central Coast,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Cessnock,Cessnock,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Clarence Valley,Clarence Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Coffs Harbour,Coffs Harbour,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Coonamble,Coonamble,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Cumberland,Cumberland,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Dungog,Dungog,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Eurobodalla,Eurobodalla,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Fairfield,Fairfield,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Georges River,Georges River,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Gilgandra,Gilgandra,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Glen Innes Severn,Glen Innes Severn,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Goulburn Mulwaree,Goulburn Mulwaree,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Hawkesbury,Hawkesbury,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Hornsby,Hornsby,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Hunter's Hill,Hunters Hill,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Inner West,Inner West,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Kempsey,Kempsey,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Ku-ring-gai,Ku-ring-gai,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Kyogle,Kyogle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Lake Macquarie,Lake Macquarie,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Lane Cove,Lane Cove,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Lismore,Lismore,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Lithgow,Lithgow,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Liverpool,Liverpool,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Liverpool Plains,Liverpool Plains,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Lord Howe Island,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,True,
898,2019-20,Maitland,Maitland,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Mid-Coast,Mid-Coast,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Mid-Western,Mid-Western Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Mosman,Mosman,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Nambucca Valley,Nambucca Valley,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Narromine,Narromine,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Narrabri,Narrabri,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Newcastle,Newcastle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,North Sydney,North Sydney,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
898,2019-20,Northern Beaches,Northern Beaches,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2019-20,,False,
