evidence_id,project_id,year_start,source_id,source_page,measure,amount_aud,funding_status,verification,limitation
BA_finalbudget_4767,ballina:reference:4767,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,55000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4768,ballina:reference:4768,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,65000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4769,ballina:reference:4769,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,50000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4770,ballina:reference:4770,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,25000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4771,ballina:reference:4771,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,15000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_5488,ballina:reference:5488,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,28000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_6501,ballina:reference:6501,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,53000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_6503,ballina:reference:6503,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,90000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_6531,ballina:reference:6531,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,250000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_6545,ballina:reference:6545,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,94000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_2372,ballina:reference:2372,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,186000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_2544,ballina:reference:2544,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,10000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
SV_original_document_fitzroy_toilets,snowyvalleys:candidate:fitzroy_toilets,2021,snowy_original2021,PDF11;printed49,original_plan_project_allocation,300000.0,adoption_resolution_identified_amendment_audit_pending,PDF_page_image_verified,CB05 is a category code not unique project ID; Q2 expenditure recognition still unresolved
SV_original_document_khancoban_toilets,snowyvalleys:candidate:khancoban_toilets,2021,snowy_original2021,PDF11;printed49,original_plan_project_allocation,161818.0,adoption_resolution_identified_amendment_audit_pending,PDF_page_image_verified,CB05 is a category code not unique project ID; Q2 expenditure recognition still unresolved
