project_id,council_key,official_project_id,analyst_record_id,project_label,unit_status,identifier_status,spending_class,cross_document_link_status,original_completion_date,actual_completion_date,deferral_decision_date,rephased_to_fy,completion_status,fixed_pre_event_portfolio_verified,source_id,source_page
lismore:candidate:P017,lismore,,P017,Regional Block Grant capital to operational,project_or_program_scope_requires_verification,not_available_analyst_record_only,scope_transfer,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P018,lismore,,P018,Roads capital delayed projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P019,lismore,,P019,Fixing Local Roads,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P020,lismore,,P020,Black Spot Program,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P021,lismore,,P021,Safer Roads,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P022,lismore,,P022,Drainage capital delayed projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P023,lismore,,P023,Waste phytocapping and leachate dam,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,lismore_oc_10052022_att_excluded_direct,165
lismore:candidate:P024,lismore,,P024,Water capital delayed projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,lismore_oc_10052022_att_excluded_direct,166
lismore:candidate:P025,lismore,,P025,Wastewater capital delayed projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,lismore_oc_10052022_att_excluded_direct,166
lismore:candidate:P026,lismore,,P026,Airport capital projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,166
lismore:candidate:P027,lismore,,P027,Oakes Crozier grant projects,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,166
waggawagga:job:45049,waggawagga,45049,P028,LMC Treatment of Re-use Water,project_or_program_scope_requires_verification,source_job_number,ordinary_candidate,within_review_exact_job_id,,,,2023-24,unknown,0,wagga_q2,Capital Works Timing Adjustments
waggawagga:job:45109,waggawagga,45109,P029,LMC Implement a Wifi Network,project_or_program_scope_requires_verification,source_job_number,non_infrastructure_or_scope_review,within_review_exact_job_id,,,,2022-23,unknown,0,wagga_q2,Capital Works Timing Adjustments
eurobodalla:candidate:P030,eurobodalla,,P030,Catalina Service Reservoir,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,euro_cap_q3,5
eurobodalla:candidate:P031,eurobodalla,,P031,Airport capital works,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,euro_cap_q3,6
eurobodalla:candidate:P032,eurobodalla,,P032,Batemans Bay Regional Aquatic Arts Leisure Centre,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,euro_cap_q3,6
snowyvalleys:candidate:bombowlee_land,snowyvalleys,,SV_bombowlee_land,Bombowlee Land Acquisition,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,79
snowyvalleys:candidate:tintaldra_culvert,snowyvalleys,,SV_tintaldra_culvert,Tintaldra Road Culvert Replacement,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,79
snowyvalleys:candidate:withers_bridge,snowyvalleys,,SV_withers_bridge,Withers Bridge,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,completed_reported,0,snowy_ar2122,79
snowyvalleys:candidate:bombowlee_complex,snowyvalleys,,SV_bombowlee_complex,Bombowlee Creek/Taradale Complex,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,79
snowyvalleys:candidate:tumbarumba_generator,snowyvalleys,,SV_tumbarumba_generator,Generator for SVC Tumbarumba Office,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate_scope_overlap_flag,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
snowyvalleys:candidate:tumbarumba_solar,snowyvalleys,,SV_tumbarumba_solar,Solar Panels for SVC Tumbarumba Office,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
snowyvalleys:candidate:khancoban_toilets,snowyvalleys,,SV_khancoban_toilets,Khancoban Toilets (LRCI Phase 2),named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,completed_reported,0,snowy_ar2122,81
snowyvalleys:candidate:fitzroy_toilets,snowyvalleys,,SV_fitzroy_toilets,Fitzroy Street Toilets (LRCI Phase 2),named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
snowyvalleys:candidate:ournie_hall,snowyvalleys,,SV_ournie_hall,Ournie Community Hall,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
snowyvalleys:candidate:office_refurbishment,snowyvalleys,,SV_office_refurbishment,Office Buildings Refurbishment,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate_bundle,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
snowyvalleys:candidate:snowview,snowyvalleys,,SV_snowview,Snow View Estate Stage 3 Civil Works,named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,ordinary_candidate,candidate_name_match_quarterly_to_annual_no_stable_id,,,,2022-23,underway,0,snowy_ar2122,81
snowyvalleys:candidate:batlow_caravan,snowyvalleys,,SV_batlow_caravan,Batlow Caravan Park (NSW Bushfire Recovery),named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,disaster_recovery_labelled,candidate_name_match_quarterly_to_annual_no_stable_id,,,,2022-23,underway,0,snowy_ar2122,81
snowyvalleys:candidate:tumut_aerodrome,snowyvalleys,,SV_tumut_aerodrome,Tumut Aerodrome (NSW Bushfire Recovery),named_work_candidate_scope_not_certified,analyst_label_no_official_project_ID,disaster_recovery_labelled_scope_overlap_flag,same_annual_report_row_only,,,,,underway,0,snowy_ar2122,81
ballina:reference:2160,ballina,2160,BA2020_2160,Wollongbar Skate Park,reported_reference_project_or_program_crossyear_continuity_unverified,reference_nonunique_requires_category_and_name,ordinary_candidate,different_DA_site_descriptions_requires_scope_and_ledger_crosswalk,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:6532,ballina,6532,BA2020_6532,Wollongbar District Park,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,reference_repeats_across_years_asset_scope_not_certified,,,2021-01-28,2021/22,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4586,ballina,4586,BA2020_4586,Various Shelters and BBQs,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,not_in_original_annual_allocation;scope_or_program_review,official_reference_matched_across_quarterly_and_year_end_schedules,,,2021-04-22,2021/22,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4588,ballina,4588,BA2020_4588,Fawcett Park Shelters and BBQs,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,not_in_original_annual_allocation,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4589,ballina,4589,BA2020_4589,Missingham Park Shelters and BBQs,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,not_in_original_annual_allocation,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4767,ballina,4767,BA2020_4767,Condon Park Ballina Surface,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4768,ballina,4768,BA2020_4768,Coastal Grove Ballina Heights Surface,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4769,ballina,4769,BA2020_4769,Meldrum Park Ballina Shade Shelter,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4770,ballina,4770,BA2020_4770,Missingham Park Ballina Design,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate;scope_or_program_review,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:4771,ballina,4771,BA2020_4771,Compton Drive Ballina Dog Exercise Area,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:5488,ballina,5488,BA2020_5488,Crown Reserve Improvements,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate;scope_or_program_review,reference_repeats_across_years_asset_scope_not_certified,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:6501,ballina,6501,BA2020_6501,Killen Falls Plan of Management,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate;scope_or_program_review,reference_repeats_across_years_asset_scope_not_certified,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:6503,ballina,6503,BA2020_6503,Ocean Breeze Reserve Lennox Head Equipment,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,reference_repeats_across_years_asset_scope_not_certified,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:6531,ballina,6531,BA2020_6531,Ross Park Lennox Head Redevelopment,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,reference_repeats_across_years_asset_scope_not_certified,,,2021-01-28,2021/22,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:6545,ballina,6545,BA2020_6545,Riverview Park Ballina Equipment,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate,official_reference_matched_across_quarterly_and_year_end_schedules,,,,,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:2372,ballina,2372,BA2020_2372,Pop Denison Ballina Master Plan,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,ordinary_candidate;scope_or_program_review,reference_repeats_across_years_asset_scope_not_certified,,,2021-01-28,2021/22,target_or_status_only,0,ballina_capital_june2021,PDF1;printed375
ballina:reference:2544,ballina,2544,BA2020_2544,Elizabeth Anne Brown Park Alstonville Monument,reported_reference_project_or_program_crossyear_continuity_unverified,official_review_reference_not_certified_asset_id,not_in_original_annual_allocation,single_year_end_schedule,,,,,reported_complete_date_unknown,0,ballina_capital_june2021,PDF1;printed375
