council_key,council_name,jurisdiction,universe
newcastle,Newcastle,NSW,inherited_V2_continuing_council_screen
northsydney,North Sydney,NSW,inherited_V2_continuing_council_screen
oberon,Oberon,NSW,inherited_V2_continuing_council_screen
orange,Orange,NSW,inherited_V2_continuing_council_screen
parkes,Parkes,NSW,inherited_V2_continuing_council_screen
penrith,Penrith,NSW,inherited_V2_continuing_council_screen
portmacquariehastings,Port Macquarie-Hastings,NSW,inherited_V2_continuing_council_screen
portstephens,Port Stephens,NSW,inherited_V2_continuing_council_screen
randwick,Randwick,NSW,inherited_V2_continuing_council_screen
richmondvalley,Richmond Valley,NSW,inherited_V2_continuing_council_screen
ryde,Ryde,NSW,inherited_V2_continuing_council_screen
shellharbour,Shellharbour,NSW,inherited_V2_continuing_council_screen
shoalhaven,Shoalhaven,NSW,inherited_V2_continuing_council_screen
singleton,Singleton,NSW,inherited_V2_continuing_council_screen
strathfield,Strathfield,NSW,inherited_V2_continuing_council_screen
sutherland,Sutherland,NSW,inherited_V2_continuing_council_screen
sydney,Sydney,NSW,inherited_V2_continuing_council_screen
tamworth,Tamworth Regional,NSW,inherited_V2_continuing_council_screen
temora,Temora,NSW,inherited_V2_continuing_council_screen
tenterfield,Tenterfield,NSW,inherited_V2_continuing_council_screen
tweed,Tweed,NSW,inherited_V2_continuing_council_screen
upperhunter,Upper Hunter,NSW,inherited_V2_continuing_council_screen
upperlachlan,Upper Lachlan,NSW,inherited_V2_continuing_council_screen
uralla,Uralla,NSW,inherited_V2_continuing_council_screen
waggawagga,Wagga Wagga,NSW,inherited_V2_continuing_council_screen
walcha,Walcha,NSW,inherited_V2_continuing_council_screen
walgett,Walgett,NSW,inherited_V2_continuing_council_screen
warren,Warren,NSW,inherited_V2_continuing_council_screen
warrumbungle,Warrumbungle,NSW,inherited_V2_continuing_council_screen
waverley,Waverley,NSW,inherited_V2_continuing_council_screen
weddin,Weddin,NSW,inherited_V2_continuing_council_screen
wentworth,Wentworth,NSW,inherited_V2_continuing_council_screen
willoughby,Willoughby,NSW,inherited_V2_continuing_council_screen
wingecarribee,Wingecarribee,NSW,inherited_V2_continuing_council_screen
wollondilly,Wollondilly,NSW,inherited_V2_continuing_council_screen
wollongong,Wollongong,NSW,inherited_V2_continuing_council_screen
woollahra,Woollahra,NSW,inherited_V2_continuing_council_screen
yassvalley,Yass Valley,NSW,inherited_V2_continuing_council_screen
snowyvalleys,Snowy Valleys,NSW,extension_candidate_outside_103_continuing_councils_entity_history_requires_audit
