council_key,budget_year_start,fiscal_year_start,variable,value,unit,period_end,lag_years,known_original_decision_date,period_precedes_known_original_decision,publication_date,availability_status,definition_status,inclusion_reason,model_eligible,source_id
eurobodalla,2019,2018,cash_cover_months,14.07,months,2019-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
eurobodalla,2019,2018,current_ratio,1.96,ratio,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
eurobodalla,2019,2018,own_source_pct,68.91,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
eurobodalla,2019,2018,grants_pct,31.090000000000003,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
eurobodalla,2019,2018,debt_service_cover,3.37,ratio,2019-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
eurobodalla,2019,2018,population,38288.0,persons,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
eurobodalla,2019,2018,road_km,1014.4979999999999,kilometres,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
eurobodalla,2019,2017,operating_ratio_pct,5.79,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
eurobodalla,2019,2017,cash_cover_months,14.77,months,2018-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
eurobodalla,2019,2017,current_ratio,2.51,ratio,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
eurobodalla,2019,2017,own_source_pct,74.52,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
eurobodalla,2019,2017,grants_pct,25.478117675757726,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
eurobodalla,2019,2017,debt_service_cover,3.34,ratio,2018-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
eurobodalla,2019,2017,population,38083.0,persons,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
eurobodalla,2019,2017,road_km,1010.0099999999999,kilometres,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
lismore,2021,2020,operating_ratio_pct,-9.93,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
lismore,2021,2020,cash_cover_months,13.33,months,2021-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
lismore,2021,2020,current_ratio,1.84,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
lismore,2021,2020,own_source_pct,64.37,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
lismore,2021,2020,grants_pct,35.64249720044793,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
lismore,2021,2020,debt_service_cover,3.04,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
lismore,2021,2020,population,43667.0,persons,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
lismore,2021,2020,road_km,1233.6,kilometres,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
lismore,2021,2019,operating_ratio_pct,2.63,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
lismore,2021,2019,cash_cover_months,9.68,months,2020-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
lismore,2021,2019,current_ratio,2.33,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
lismore,2021,2019,own_source_pct,66.72,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
lismore,2021,2019,grants_pct,33.28,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
lismore,2021,2019,debt_service_cover,2.54,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
lismore,2021,2019,population,43692.0,persons,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
lismore,2021,2019,road_km,1230.8799999999999,kilometres,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
richmondvalley,2021,2020,operating_ratio_pct,-4.1,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
richmondvalley,2021,2020,cash_cover_months,11.31,months,2021-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
richmondvalley,2021,2020,current_ratio,3.42,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
richmondvalley,2021,2020,own_source_pct,64.26,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
richmondvalley,2021,2020,grants_pct,35.268661091954826,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
richmondvalley,2021,2020,debt_service_cover,4.26,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
richmondvalley,2021,2020,population,23490.0,persons,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
richmondvalley,2021,2020,road_km,1079.08,kilometres,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
richmondvalley,2021,2019,operating_ratio_pct,-1.62,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
richmondvalley,2021,2019,cash_cover_months,8.18,months,2020-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
richmondvalley,2021,2019,current_ratio,3.83,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
richmondvalley,2021,2019,own_source_pct,65.25,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
richmondvalley,2021,2019,grants_pct,34.75,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
richmondvalley,2021,2019,debt_service_cover,4.52,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
richmondvalley,2021,2019,population,23465.0,persons,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
richmondvalley,2021,2019,road_km,1078.6599999999999,kilometres,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
snowyvalleys,2021,2020,operating_ratio_pct,,percent,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Prior operating balance relative to revenue,0,
snowyvalleys,2021,2020,cash_cover_months,,months,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Liquidity buffer; preserve cash definition caveat,0,
snowyvalleys,2021,2020,current_ratio,,ratio,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,
snowyvalleys,2021,2020,own_source_pct,,percent,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,
snowyvalleys,2021,2020,grants_pct,,percent,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,
snowyvalleys,2021,2020,debt_service_cover,,ratio,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Debt servicing capacity; preserve quality flags,0,
snowyvalleys,2021,2020,population,,persons,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Council service scale,0,
snowyvalleys,2021,2020,road_km,,kilometres,,1,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Infrastructure network scale,0,
snowyvalleys,2021,2019,operating_ratio_pct,,percent,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Prior operating balance relative to revenue,0,
snowyvalleys,2021,2019,cash_cover_months,,months,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Liquidity buffer; preserve cash definition caveat,0,
snowyvalleys,2021,2019,current_ratio,,ratio,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,
snowyvalleys,2021,2019,own_source_pct,,percent,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,
snowyvalleys,2021,2019,grants_pct,,percent,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,
snowyvalleys,2021,2019,debt_service_cover,,ratio,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Debt servicing capacity; preserve quality flags,0,
snowyvalleys,2021,2019,population,,persons,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Council service scale,0,
snowyvalleys,2021,2019,road_km,,kilometres,,2,,,,missing_council_fiscal_record,inherited_definition_requires_comparability_check,Infrastructure network scale,0,
waggawagga,2021,2020,operating_ratio_pct,-6.72,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
waggawagga,2021,2020,cash_cover_months,12.78,months,2021-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
waggawagga,2021,2020,current_ratio,2.54,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
waggawagga,2021,2020,own_source_pct,61.04,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
waggawagga,2021,2020,grants_pct,38.90605953818335,percent,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
waggawagga,2021,2020,debt_service_cover,4.27,ratio,2021-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
waggawagga,2021,2020,population,65770.0,persons,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
waggawagga,2021,2020,road_km,2307.2799999999997,kilometres,2021-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
waggawagga,2021,2019,operating_ratio_pct,-4.98,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,AASB15/1058 and lease regime,Prior operating balance relative to revenue,0,inherited_fiscal_v2
waggawagga,2021,2019,cash_cover_months,11.76,months,2020-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
waggawagga,2021,2019,current_ratio,2.43,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
waggawagga,2021,2019,own_source_pct,66.78,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
waggawagga,2021,2019,grants_pct,33.22,percent,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
waggawagga,2021,2019,debt_service_cover,4.56,ratio,2020-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
waggawagga,2021,2019,population,65258.0,persons,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
waggawagga,2021,2019,road_km,2301.7399999999993,kilometres,2020-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
